ID	altID	Group	ClassUpper	ClassLower
nimesulide	nimesulide	Chem	chem	Inhibit eicosanoid biosynthesis
nitrofurantoin	nitrofurantoin	Chem	chem	Inhibit precursor synthesis
nitrofurazone	nitrofurazone	Chem	chem	Inhibit mitochondrial function
omeprazole	omeprazole	Chem	chem	Reduce stomach HCl secretion
papaverine	papaverine	Chem	chem	Enhance kinase mediated signal transduction
papaverine	papaverine	Chem	chem	Reduce muscle contractile force
pemoline	pemoline	Chem	chem	Prolong/enhance neural transmission
perhexiline	perhexiline	Chem	chem	Reduce muscle contractile force
perhexiline	perhexiline	Chem	chem	Inhibit lipid beta-oxidation
perhexiline	perhexiline	Chem	chem	Block neural transmission
phenacetin	phenacetin	Chem	chem	Inhibit eicosanoid biosynthesis
phenobarbital	phenobarbital	Chem	chem	Modulate neural transmission
phenylbutazone	phenylbutazone	Chem	chem	Inhibit eicosanoid biosynthesis
phenytoin	phenytoin	Chem	chem	Block neural transmission
phenytoin	phenytoin	Chem	chem	Modulate channel gating
promethazine	promethazine	Chem	chem	Modulate G-protein coupled signal transduction
promethazine	promethazine	Chem	chem	Block neural transmission
propylthiouracil	propylthiouracil	Chem	chem	Inhibit thyroid hormone biosynthesis
puromycin aminonucleoside	puromycin aminonucleoside	Chem	chem	Inhibit ribosomal protein synthesis
quinidine	quinidine	Chem	chem	interferes with liver P450 enzyme funciton
quinidine	quinidine	Chem	chem	Block neural transmission
ranitidine	ranitidine	Chem	chem	Reduce stomach HCl secretion
simvastatin	simvastatin	Chem	chem	Inhibit cholesterol biosynthesis
sulfasalazine	sulfasalazine	Chem	chem	Inhibit inflammatory response
sulindac	sulindac	Chem	chem	Inhibit eicosanoid biosynthesis
sulpiride	sulpiride	Chem	chem	Block neural transmission
tacrine	tacrine	Chem	chem	Enhance cholinergic transmission
tamoxifen	tamoxifen	Chem	chem	Modulate gene transcription
tannic acid	tannic acid	Chem	chem	Scavenges hydrogen peroxide and free radicals
terbinafine	terbinafine	Chem	chem	Inhibit fungal / microbial cell membrane biosynthesis
tetracycline	tetracycline	Chem	chem	Inhibit ribosomal protein synthesis
theophylline	theophylline	Chem	chem	Modulate G-protein coupled signal transduction
theophylline	theophylline	Chem	chem	Enhance kinase mediated signal transduction
theophylline	theophylline	Chem	chem	Reduce bronchoconstriction
thioacetamide	thioacetamide	Chem	chem	Modulate gene transcription
thioridazine	thioridazine	Chem	chem	Block neural transmission
ticlopidine	ticlopidine	Chem	chem	Inhibit platelet aggregation
tolbutamide	tolbutamide	Chem	chem	Trigger insulin release in pancreatic beta cells
triamterene	triamterene	Chem	chem	Inhibit NaCl/ fluid reabsorption in kidney
triazolam	triazolam	Chem	chem	Modulate neural transmission
trimethadione	trimethadione	Chem	chem	Modulate channel gating
valproic acid	valproic acid	Chem	chem	Prolong/enhance neural transmission
valproic acid	valproic acid	Chem	chem	Modulate channel gating
moxisylyte	moxisylyte	Chem	chem	ChemUnk
methyltestosterone	methyltestosterone	Chem	chem	ChemUnk
monocrotaline	monocrotaline	Chem	chem	ChemUnk
vitamin_A	vitamin_A	Chem	chem	ChemUnk
chlormezanone	chlormezanone	Chem	chem	ChemUnk
mefenamic_acid	mefenamic_acid	Chem	chem	ChemUnk
TNFa	TNFa	Chem	chem	ChemUnk
nicotinic_acid	nicotinic_acid	Chem	chem	ChemUnk
galactosamine	galactosamine	Chem	chem	ChemUnk
LPS	LPS	Chem	chem	ChemUnk
erythromycin_ethylsuccinate	erythromycin_ethylsuccinate	Chem	chem	ChemUnk
buthionine_sulfoximine	buthionine_sulfoximine	Chem	chem	ChemUnk
phorone	phorone	Chem	chem	ChemUnk
cycloheximide	cycloheximide	Chem	chem	ChemUnk
tiopronin	tiopronin	Chem	chem	ChemUnk
tunicamycin	tunicamycin	Chem	chem	ChemUnk
diethyl_maleate	diethyl_maleate	Chem	chem	ChemUnk
penicillamine	penicillamine	Chem	chem	ChemUnk
phalloidin	phalloidin	Chem	chem	ChemUnk
tannic_acid	tannic_acid	Chem	chem	ChemUnk
chlormadinone	chlormadinone	Chem	chem	ChemUnk
bromoethylamine	bromoethylamine	Chem	chem	ChemUnk
benziodarone	benziodarone	Chem	chem	ChemUnk
nitrosodiethylamine	nitrosodiethylamine	Chem	chem	ChemUnk
bucetin	bucetin	Chem	chem	ChemUnk
phenylanthranilic_acid	phenylanthranilic_acid	Chem	chem	ChemUnk
puromycin_aminonucleoside	puromycin_aminonucleoside	Chem	chem	ChemUnk
acetamidofluorene	acetamidofluorene	Chem	chem	ChemUnk
cyclosporine_A	cyclosporine_A	Chem	chem	ChemUnk
adapin	adapin	Chem	chem	ChemUnk
valproic_acid	valproic_acid	Chem	chem	ChemUnk
hexachlorobenzene	hexachlorobenzene	Chem	chem	ChemUnk
naphthyl_isothiocyanate	naphthyl_isothiocyanate	Chem	chem	ChemUnk
rifampicin	rifampicin	Chem	chem	ChemUnk
carbon_tetrachloride	carbon_tetrachloride	Chem	chem	ChemUnk
ethionine	ethionine	Chem	chem	ChemUnk
allyl_alcohol	allyl_alcohol	Chem	chem	ChemUnk
WY-14643	WY-14643	Chem	chem	ChemUnk
bromobenzene	bromobenzene	Chem	chem	ChemUnk
glibenclamide	glibenclamide	Chem	chem	ChemUnk
2-nitrofluorene	2-nitrofluorene	Chem	chem	ChemUnk
2,4-dinitrophenol	2,4-dinitrophenol	Chem	chem	ChemUnk
N-nitrosomorpholine	N-nitrosomorpholine	Chem	chem	ChemUnk
N-methyl-N-nitrosourea	N-methyl-N-nitrosourea	Chem	chem	ChemUnk
aflatoxin_B1	aflatoxin_B1	Chem	chem	ChemUnk
amphotericin_B	amphotericin_B	Chem	chem	ChemUnk
fluoxetine_hydrochloride	fluoxetine_hydrochloride	Chem	chem	ChemUnk
rotenone	rotenone	Chem	chem	ChemUnk
butylated_hydroxyanisole	butylated_hydroxyanisole	Chem	chem	ChemUnk
dexamethasone	dexamethasone	Chem	chem	ChemUnk
rosiglitazone_maleate	rosiglitazone_maleate	Chem	chem	ChemUnk
methylene_dianiline	methylene_dianiline	Chem	chem	ChemUnk
propranolol	propranolol	Chem	chem	ChemUnk
3-methylcholanthrene	3-methylcholanthrene	Chem	chem	ChemUnk
bortezomib	bortezomib	Chem	chem	ChemUnk
desmopressin_acetate	desmopressin_acetate	Chem	chem	ChemUnk
imatinib,_methanesulfonate_salt	imatinib,_methanesulfonate_salt	Chem	chem	ChemUnk
gefitinib	gefitinib	Chem	chem	ChemUnk
1%_cholesterol_+_0.25%_sodium_cholate	1%_cholesterol_+_0.25%_sodium_cholate	Chem	chem	ChemUnk
acetamide	acetamide	Chem	chem	ChemUnk
cytotoxicity	cytotoxicity	AO	AO	AO
inflammation	inflammation	AO	AO	AO
proliferation	proliferation	AO	AO	AO
altered metabolic activity	altered metabolic activity	AO	AO	AO
NA	NA	AO	AO	AO
lipid dysregulation	lipid dysregulation	AO	AO	AO
cholestasis	cholestasis	AO	AO	AO
Accumulation..foam.cell	Accumulation, foam cell	Pheno	Pathology	cytotoxicity
Accumulation..foam.cell	Accumulation, foam cell	Pheno	Pathology	inflammation
Adenoma..hepatocellular	Adenoma, hepatocellular	Pheno	Pathology	proliferation
Alteration..cytoplasmic	Alteration, cytoplasmic	Pheno	Pathology	altered metabolic activity
Alteration..nuclear	Alteration, nuclear	Pheno	Pathology	NA
Altered.hepatocellular.foci	Altered hepatocellular foci	Pheno	Pathology	proliferation
Anisonucleosis	Anisonucleosis	Pheno	Pathology	proliferation
Atrophy	Atrophy	Pheno	Pathology	altered metabolic activity
Atrophy	Atrophy	Pheno	Pathology	cytotoxicity
Atypia..nuclear	Atypia, nuclear	Pheno	Pathology	proliferation
Bacterium	Bacterium	Pheno	Pathology	NA
Cellular.foci	Cellular foci	Pheno	Pathology	proliferation
Cellular.infiltration	Cellular infiltration	Pheno	Pathology	inflammation
Cellular.infiltration..mononuclear.cell	Cellular infiltration, mononuclear cell	Pheno	Pathology	inflammation
Cellular.infiltration..neutrophil	Cellular infiltration, neutrophil	Pheno	Pathology	inflammation
Change..acidophilic	Change, acidophilic	Pheno	Pathology	altered metabolic activity
Change..basophilic	Change, basophilic	Pheno	Pathology	altered metabolic activity
Change..eosinophilic	Change, eosinophilic	Pheno	Pathology	altered metabolic activity
Congestion	Congestion	Pheno	Pathology	NA
Cyst	Cyst	Pheno	Pathology	NA
DEAD	DEAD	Pheno	Pathology	NA
Degeneration	Degeneration	Pheno	Pathology	cytotoxicity
Degeneration..acidophilic..eosinophilic	Degeneration, acidophilic, eosinophilic	Pheno	Pathology	cytotoxicity
Degeneration..fatty	Degeneration, fatty	Pheno	Pathology	altered metabolic activity
Degeneration..fatty	Degeneration, fatty	Pheno	Pathology	cytotoxicity
Degeneration..fatty	Degeneration, fatty	Pheno	Pathology	lipid dysregulation
Degeneration..granular	Degeneration, granular	Pheno	Pathology	cytotoxicity
Degeneration..granular..eosinophilic	Degeneration, granular, eosinophilic	Pheno	Pathology	cytotoxicity
Degeneration..hydropic	Degeneration, hydropic	Pheno	Pathology	cytotoxicity
Degeneration..vacuolar	Degeneration, vacuolar	Pheno	Pathology	cytotoxicity
Deposit..glycogen	Deposit, glycogen	Pheno	Pathology	altered metabolic activity
Deposit..hemosiderin	Deposit, hemosiderin	Pheno	Pathology	proliferation
Deposit..lipid	Deposit, lipid	Pheno	Pathology	lipid dysregulation
Deposit..pigment	Deposit, pigment	Pheno	Pathology	cholestasis
Dilatation	Dilatation	Pheno	Pathology	NA
Disarrangement	Disarrangement	Pheno	Pathology	NA
Ectopic.tissue	Ectopic tissue	Pheno	Pathology	NA
Edema	Edema	Pheno	Pathology	inflammation
Fibrosis	Fibrosis	Pheno	Pathology	cytotoxicity
Giant.cell	Giant cell	Pheno	Pathology	inflammation
Granuloma	Granuloma	Pheno	Pathology	inflammation
Ground.glass.appearance	Ground glass appearance	Pheno	Pathology	altered metabolic activity
Ground.glass.appearance	Ground glass appearance	Pheno	Pathology	lipid dysregulation
Hematopoiesis..extramedullary	Hematopoiesis, extramedullary	Pheno	Pathology	NA
Hemorrhage	Hemorrhage	Pheno	Pathology	NA
Hyperplasia	Hyperplasia	Pheno	Pathology	proliferation
Hypertrophy	Hypertrophy	Pheno	Pathology	altered metabolic activity
Inclusion.body..intracytoplasmic	Inclusion body, intracytoplasmic	Pheno	Pathology	NA
Increased.mitosis	Increased mitosis	Pheno	Pathology	proliferation
Inflammation	Inflammation	Pheno	Pathology	inflammation
Inflammation..foreign.body	Inflammation, foreign body	Pheno	Pathology	inflammation
Inflammation..suppurative	Inflammation, suppurative	Pheno	Pathology	inflammation
Lesion.NOS	Lesion,NOS	Pheno	Pathology	NA
Microgranuloma	Microgranuloma	Pheno	Pathology	inflammation
Mineralization	Mineralization	Pheno	Pathology	NA
Necrosis	Necrosis	Pheno	Pathology	cytotoxicity
Necrosis..fibrinoid	Necrosis, fibrinoid	Pheno	Pathology	NA
Nodule..hepatodiaphragmatic	Nodule, hepatodiaphragmatic	Pheno	Pathology	NA
Phagocytosis	Phagocytosis	Pheno	Pathology	inflammation
Proliferation	Proliferation	Pheno	Pathology	proliferation
Proliferation..bile.duct	Proliferation, bile duct	Pheno	Pathology	cytotoxicity
Proliferation..Kupffer.cell	Proliferation, Kupffer cell	Pheno	Pathology	cytotoxicity
Proliferation..Kupffer.cell	Proliferation, Kupffer cell	Pheno	Pathology	inflammation
Proliferation..oval.cell	Proliferation, oval cell	Pheno	Pathology	cytotoxicity
Pyknosis	Pyknosis	Pheno	Pathology	cytotoxicity
Scar	Scar	Pheno	Pathology	cytotoxicity
Single.cell.necrosis	Single cell necrosis	Pheno	Pathology	cytotoxicity
Swelling	Swelling	Pheno	Pathology	cytotoxicity
Thrombus	Thrombus	Pheno	Pathology	NA
Vacuolization..cytoplasmic	Vacuolization, cytoplasmic	Pheno	Pathology	altered metabolic activity
Vacuolization..cytoplasmic	Vacuolization, cytoplasmic	Pheno	Pathology	cytotoxicity
Vacuolization..nuclear	Vacuolization, nuclear	Pheno	Pathology	NA
A.G	albumin globulin ratio	Pheno	Lab	NA
ALP.IU.L.	alkaline phosphatase	Pheno	Lab	cholestasis
ALT.IU.L.	alanine aminotransferase	Pheno	Lab	cytotoxicity
APTT.s.	activated partial thromboplastin time	Pheno	Lab	NA
AST.IU.L.	aspartate aminotransferase	Pheno	Lab	cytotoxicity
Bas...	basophil	Pheno	Lab	NA
BUN.mg.dL.	blood urea nitrogen	Pheno	Lab	NA
Ca.mg.dL.	calcium	Pheno	Lab	NA
Cl.meq.L.	chlorine	Pheno	Lab	NA
CRE.mg.dL.	creatinine	Pheno	Lab	NA
DBIL.mg.dL.	direct bilirubin	Pheno	Lab	cholestasis
Eos...	eosinophil	Pheno	Lab	NA
Fbg.mg.dL.	fibrinogen	Pheno	Lab	NA
GLC.mg.dL.	glucose	Pheno	Lab	NA
GTP.IU.L.	g-glutamyltranspeptidase	Pheno	Lab	cholestasis
Hb.g.dL.	hemoglobin	Pheno	Lab	NA
Ht...	hematocrit value	Pheno	Lab	NA
IP.mg.dL.	inorganic phosphorus	Pheno	Lab	NA
K.meq.L.	potassium	Pheno	Lab	NA
LDH.IU.L.	lactate dehydrogenase	Pheno	Lab	cytotoxicity
LIVER.g.	Liver weight	Pheno	Lab	NA
Lym...	lymphocyte	Pheno	Lab	NA
MCH.pg.	mean corpuscular hemoglobin	Pheno	Lab	NA
MCHC...	mean corpuscular hemoglobin concentration	Pheno	Lab	NA
MCV.fL.	mean corpuscular volume	Pheno	Lab	NA
Mono...	monocyte	Pheno	Lab	NA
Na.meq.L.	sodium	Pheno	Lab	NA
Neu...	neutrophil	Pheno	Lab	NA
PL.mg.dL.	phospholipid	Pheno	Lab	lipid dysregulation
Plat.x10_4.uL.	platelet count	Pheno	Lab	NA
PT.s.	prothrombin time	Pheno	Lab	NA
RALB.g.dL.	albumin	Pheno	Lab	NA
RBC.x10_4.ul.	red blood cell count	Pheno	Lab	NA
Ret...	reticulocyte	Pheno	Lab	NA
TBIL.mg.dL.	total bilirubin	Pheno	Lab	cholestasis
TC.mg.dL.	total cholesterol	Pheno	Lab	lipid dysregulation
TERMINAL_BW.g.	Body weight	Pheno	Lab	NA
TG.mg.dL.	triglyceride	Pheno	Lab	lipid dysregulation
TP.g.dL.	total protein	Pheno	Lab	NA
WBC.x10_2.uL.	white blood cell count	Pheno	Lab	NA
R-RNO-1059683	Interleukin-6 signaling	Reactome	Immune System	Cytokine Signaling in Immune system
R-RNO-109688	Cleavage of Growing Transcript in the Termination Region 	Reactome	Gene Expression	RNA Polymerase II Transcription
R-RNO-109704	PI3K Cascade	Reactome	Signal Transduction	Signaling by Insulin receptor
R-RNO-109977	Repair synthesis for gap-filling by DNA polymerase in TC-NER	Reactome	DNA Repair	Nucleotide Excision Repair
R-RNO-109979	Gap-filling DNA repair synthesis and ligation in TC-NER	Reactome	DNA Repair	Nucleotide Excision Repair
R-RNO-110056	MAPK3 (ERK1) activation	Reactome	Signal Transduction	MAPK family signaling cascades
R-RNO-110302	Formation of transcription-coupled NER (TC-NER) repair complex	Reactome	DNA Repair	Nucleotide Excision Repair
R-RNO-110304	Dual incision reaction in TC-NER	Reactome	DNA Repair	Nucleotide Excision Repair
R-RNO-110312	Translesion synthesis by REV1	Reactome	DNA Repair	DNA Damage Bypass
R-RNO-110314	Recognition of DNA damage by PCNA-containing replication complex	Reactome	DNA Repair	DNA Damage Bypass
R-RNO-110320	Translesion Synthesis by POLH	Reactome	DNA Repair	DNA Damage Bypass
R-RNO-110329	Cleavage of the damaged pyrimidine 	Reactome	DNA Repair	Base Excision Repair
R-RNO-110331	Cleavage of the damaged purine	Reactome	DNA Repair	Base Excision Repair
R-RNO-110357	Displacement of DNA glycosylase by APEX1	Reactome	DNA Repair	Base Excision Repair
R-RNO-110362	POLB-Dependent Long Patch Base Excision Repair	Reactome	DNA Repair	Base Excision Repair
R-RNO-110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	Reactome	DNA Repair	Base Excision Repair
R-RNO-111367	SLBP independent Processing of Histone Pre-mRNAs	Reactome	Gene Expression	Processing of Capped Intronless Pre-mRNA
R-RNO-111446	Activation of BIM and translocation to mitochondria 	Reactome	Programmed Cell Death	Apoptosis
R-RNO-111447	Activation of BAD and translocation to mitochondria 	Reactome	Programmed Cell Death	Apoptosis
R-RNO-111448	Activation of NOXA and translocation to mitochondria	Reactome	Programmed Cell Death	Apoptosis
R-RNO-111452	Activation and oligomerization of BAK protein	Reactome	Programmed Cell Death	Apoptosis
R-RNO-111453	BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	Reactome	Programmed Cell Death	Apoptosis
R-RNO-111457	Release of apoptotic factors from the mitochondria	Reactome	Programmed Cell Death	Apoptosis
R-RNO-111458	Formation of apoptosome	Reactome	Programmed Cell Death	Apoptosis
R-RNO-111459	Activation of caspases through apoptosome-mediated cleavage	Reactome	Programmed Cell Death	Apoptosis
R-RNO-111465	Apoptotic cleavage of cellular proteins	Reactome	Programmed Cell Death	Apoptosis
R-RNO-111885	Opioid Signalling	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-111931	PKA-mediated phosphorylation of CREB	Reactome	Signal Transduction	DAG and IP3 signaling
R-RNO-111932	CaMK IV-mediated phosphorylation of CREB	Reactome	Signal Transduction	DAG and IP3 signaling
R-RNO-111933	Calmodulin induced events	Reactome	Signal Transduction	DAG and IP3 signaling
R-RNO-111957	Cam-PDE 1 activation	Reactome	Signal Transduction	DAG and IP3 signaling
R-RNO-111995	phospho-PLA2 pathway	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-111997	CaM pathway	Reactome	Signal Transduction	DAG and IP3 signaling
R-RNO-111997	CaM pathway	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-112043	PLC beta mediated events	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-112303	Electric Transmission Across Gap Junctions	Reactome	Neuronal System	Transmission across Electrical Synapses 
R-RNO-112308	Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels	Reactome	Neuronal System	Transmission across Chemical Synapses
R-RNO-112311	Neurotransmitter Clearance In The Synaptic Cleft	Reactome	Neuronal System	Transmission across Chemical Synapses
R-RNO-112382	Formation of RNA Pol II elongation complex 	Reactome	Gene Expression	RNA Polymerase II Transcription
R-RNO-112409	RAF-independent MAPK1/3 activation	Reactome	Signal Transduction	MAPK family signaling cascades
R-RNO-112411	MAPK1 (ERK2) activation	Reactome	Signal Transduction	MAPK family signaling cascades
R-RNO-112412	SOS-mediated signalling	Reactome	Signal Transduction	Signaling by Insulin receptor
R-RNO-113418	Formation of the Early Elongation Complex	Reactome	Gene Expression	RNA Polymerase II Transcription
R-RNO-113501	Inhibition of replication initiation of damaged DNA by RB1/E2F1	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-113507	E2F-enabled inhibition of pre-replication complex formation	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-113510	E2F mediated regulation of DNA replication	Reactome	Cell Cycle	Cell Cycle, Mitotic
R-RNO-114294	Activation, translocation and oligomerization of BAX	Reactome	Programmed Cell Death	Apoptosis
R-RNO-114508	Effects of PIP2 hydrolysis	Reactome	Signal Transduction	Signaling by GPCR
R-RNO-114508	Effects of PIP2 hydrolysis	Reactome	Hemostasis	Platelet activation, signaling and aggregation
R-RNO-114516	Disinhibition of SNARE formation	Reactome	Hemostasis	Platelet activation, signaling and aggregation
R-RNO-114604	GPVI-mediated activation cascade	Reactome	Hemostasis	Platelet activation, signaling and aggregation
R-RNO-114608	Platelet degranulation 	Reactome	Hemostasis	Platelet activation, signaling and aggregation
R-RNO-1169091	Activation of NF-kappaB in B cells	Reactome	Immune System	Adaptive Immune System
R-RNO-1169092	Activation of RAS in B cells	Reactome	Immune System	Adaptive Immune System
R-RNO-1169408	ISG15 antiviral mechanism	Reactome	Immune System	Cytokine Signaling in Immune system
R-RNO-1170546	Prolactin receptor signaling	Reactome	Immune System	Cytokine Signaling in Immune system
R-RNO-1170546	Prolactin receptor signaling	Reactome	Signal Transduction	Signaling by ERBB4
R-RNO-1181150	Signaling by NODAL	Reactome	Developmental Biology	Developmental Biology
R-RNO-1221632	Meiotic synapsis	Reactome	Cell Cycle	Meiosis
R-RNO-1222556	Phagosomal maturation (early endosomal stage)	Reactome	Disease	Infectious disease
R-RNO-1227986	Signaling by ERBB2	Reactome	Signal Transduction	Signal Transduction
R-RNO-1234158	Regulation of gene expression by Hypoxia-inducible Factor	Reactome	Cellular responses to stress	Cellular response to hypoxia
R-RNO-1234162	Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha	Reactome	Cellular responses to stress	Cellular response to hypoxia
R-RNO-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	Reactome	Cellular responses to stress	Cellular response to hypoxia
R-RNO-1236394	Signaling by ERBB4	Reactome	Signal Transduction	Signal Transduction
R-RNO-1236973	Cross-presentation of particulate exogenous antigens (phagosomes)	Reactome	Immune System	Adaptive Immune System
R-RNO-1236974	ER-Phagosome pathway	Reactome	Immune System	Adaptive Immune System
R-RNO-1236977	Endosomal/Vacuolar pathway	Reactome	Immune System	Adaptive Immune System
R-RNO-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	Reactome	Immune System	Adaptive Immune System
R-RNO-1237044	Erythrocytes take up carbon dioxide and release oxygen	Reactome	Metabolism	O2/CO2 exchange in erythrocytes
