V1	V1.name	V2	V2.name	SINGLE_REPEAT_TYPE	TYPE	support	interest	Padj	UniProtID	treatment	DOSE_LEVEL	SACRIFICE_PERIOD	Change	ID
R-RNO-1482883	Acyl chain remodeling of DAG and TAG	A.G	albumin globulin ratio	Repeat	pheno2reactome	0.00444839857651246	0.0212328280512301	NA	NA	NA	NA	NA	NA	A1977
gefitinib	gefitinib	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_gefitinib_Low_6hr_Single	Low	6 hr	Increase	A9730
rosiglitazone_maleate	rosiglitazone_maleate	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_rosiglitazone_maleate_High_8day_Repeat	High	8 day	Increase	A11580
puromycin_aminonucleoside	puromycin_aminonucleoside	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_puromycin_aminonucleoside_High_8day_Repeat	High	8 day	Decrease	A11477
nimesulide	nimesulide	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_nimesulide_High_24hr_Single	High	24 hr	Increase	A10926
butylated_hydroxyanisole	butylated_hydroxyanisole	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_butylated_hydroxyanisole_Middle_8day_Repeat	Middle	8 day	Decrease	A8212
Lesion.NOS	Lesion,NOS	A.G	albumin globulin ratio	Repeat	pheno2pheno	0.00355871886120996	NA	NA	NA	NA	NA	NA	NA	A16445
thioridazine	thioridazine	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_thioridazine_Low_8day_Repeat	Low	8 day	Increase	A11906
gefitinib	gefitinib	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_gefitinib_Middle_3hr_Single	Middle	3 hr	Increase	A9735
R-RNO-77111	Synthesis of Ketone Bodies	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0311894222145069	NA	NA	NA	NA	NA	NA	A392
R-RNO-5607761	Dectin-1 mediated noncanonical NF-kB signaling	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A142
methylene_dianiline	methylene_dianiline	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_methylene_dianiline_Middle_24hr_Single	Middle	24 hr	Decrease	A10634
R-RNO-5687128	MAPK6/MAPK4 signaling	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0937418626855308	NA	NA	NA	NA	NA	NA	A27
Change..eosinophilic	Change, eosinophilic	A.G	albumin globulin ratio	Repeat	pheno2pheno	0.00444839857651246	NA	NA	NA	NA	NA	NA	NA	A17084
R-RNO-3065679	SUMO is proteolytically processed	A.G	albumin globulin ratio	Single	pheno2reactome	0.00266903914590747	0.053897909252669	NA	NA	NA	NA	NA	NA	A570
imatinib,_methanesulfonate_salt	imatinib,_methanesulfonate_salt	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_imatinib_methanesulfonate_salt_Middle_6hr_Single	Middle	6 hr	Increase	A9970
R-RNO-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A272
R-RNO-1169091	Activation of NF-kappaB in B cells	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0937418626855308	NA	NA	NA	NA	NA	NA	A29
R-RNO-879518	Transport of organic anions	A.G	albumin globulin ratio	Single	pheno2reactome	0.00355871886120996	0.0127870547799373	NA	NA	NA	NA	NA	NA	A1062
Change..eosinophilic	Change, eosinophilic	A.G	albumin globulin ratio	Single	pheno2pheno	0.00444839857651246	NA	NA	NA	NA	NA	NA	NA	A16169
nimesulide	nimesulide	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_nimesulide_High_9hr_Single	High	9 hr	Increase	A10940
R-RNO-5610783	Degradation of GLI2 by the proteasome	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A212
rosiglitazone_maleate	rosiglitazone_maleate	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_rosiglitazone_maleate_High_24hr_Single	High	24 hr	Increase	A11576
bortezomib	bortezomib	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_bortezomib_Middle_9hr_Single	Middle	9 hr	Increase	A8097
R-RNO-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A122
imatinib,_methanesulfonate_salt	imatinib,_methanesulfonate_salt	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_imatinib_methanesulfonate_salt_Middle_9hr_Single	Middle	9 hr	Increase	A9972
ethanol	ethanol	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_ethanol_Middle_9hr_Single	Middle	9 hr	Increase	A9282
R-RNO-5610785	GLI3 is processed to GLI3R by the proteasome	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A202
nimesulide	nimesulide	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_nimesulide_Low_4day_Repeat	Low	4 day	Increase	A10947
ethanol	ethanol	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_ethanol_Control_9hr_Single	Control	9 hr	Increase	A9271
bortezomib	bortezomib	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_bortezomib_High_9hr_Single	High	9 hr	Increase	A8082
imatinib,_methanesulfonate_salt	imatinib,_methanesulfonate_salt	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_imatinib_methanesulfonate_salt_Control_6hr_Single	Control	6 hr	Increase	A9946
puromycin_aminonucleoside	puromycin_aminonucleoside	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_puromycin_aminonucleoside_Middle_15day_Repeat	Middle	15 day	Decrease	A11493
Ht...	hematocrit value	A.G	albumin globulin ratio	Single	pheno2pheno	0.00444839857651246	NA	NA	NA	NA	NA	NA	NA	A16166
benzbromarone	benzbromarone	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_benzbromarone_High_8day_Repeat	High	8 day	Increase	A8009
LDH.IU.L.	lactate dehydrogenase	A.G	albumin globulin ratio	Repeat	pheno2pheno	0.00444839857651246	NA	NA	NA	NA	NA	NA	NA	A17083
imatinib,_methanesulfonate_salt	imatinib,_methanesulfonate_salt	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_imatinib_methanesulfonate_salt_Middle_3hr_Single	Middle	3 hr	Increase	A9969
rotenone	rotenone	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_rotenone_High_15day_Repeat	High	15 day	Increase	A11594
fluphenazine	fluphenazine	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_fluphenazine_Middle_15day_Repeat	Middle	15 day	Increase	A9585
fluoxetine_hydrochloride	fluoxetine_hydrochloride	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_fluoxetine_hydrochloride_Low_15day_Repeat	Low	15 day	Increase	A9544
R-RNO-5358346	Hedgehog ligand biogenesis	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A312
2,4-dinitrophenol	2,4-dinitrophenol	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_24dinitrophenol_Middle_8day_Repeat	Middle	8 day	Increase	A7446
fluoxetine_hydrochloride	fluoxetine_hydrochloride	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_fluoxetine_hydrochloride_Control_8day_Repeat	Control	8 day	Increase	A9533
ethionamide	ethionamide	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_ethionamide_High_15day_Repeat	High	15 day	Increase	A9387
R-RNO-983168	Antigen processing: Ubiquitination & Proteasome degradation	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A342
Ground.glass.appearance	Ground glass appearance	A.G	albumin globulin ratio	Repeat	pheno2pheno	0.00444839857651246	NA	NA	NA	NA	NA	NA	NA	A16961
ethionamide	ethionamide	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_ethionamide_Control_15day_Repeat	Control	15 day	Increase	A9380
vitamin_A	vitamin_A	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_vitamin_A_High_15day_Repeat	High	15 day	Decrease	A11984
R-RNO-390522	Striated Muscle Contraction	A.G	albumin globulin ratio	Single	pheno2reactome	0.00266903914590747	0.107995996441281	NA	NA	NA	NA	NA	NA	A373
rosiglitazone_maleate	rosiglitazone_maleate	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_rosiglitazone_maleate_High_4day_Repeat	High	4 day	Increase	A11578
R-RNO-2142816	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)	A.G	albumin globulin ratio	Single	pheno2reactome	0.00266903914590747	0.0307130147432638	NA	NA	NA	NA	NA	NA	A684
amphotericin_B	amphotericin_B	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_amphotericin_B_Control_15day_Repeat	Control	15 day	Decrease	A7857
Single.cell.necrosis	Single cell necrosis	A.G	albumin globulin ratio	Single	pheno2pheno	0.00622775800711744	NA	NA	NA	NA	NA	NA	NA	A16172
Ht...	hematocrit value	A.G	albumin globulin ratio	Repeat	pheno2pheno	0.00444839857651246	NA	NA	NA	NA	NA	NA	NA	A17081
BUN.mg.dL.	blood urea nitrogen	A.G	albumin globulin ratio	Single	pheno2pheno	0.00800711743772242	NA	NA	NA	NA	NA	NA	NA	A16170
simvastatin	simvastatin	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_simvastatin_High_8day_Repeat	High	8 day	Increase	A11631
nimesulide	nimesulide	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_nimesulide_High_29day_Repeat	High	29 day	Increase	A10929
methylene_dianiline	methylene_dianiline	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_methylene_dianiline_High_15day_Repeat	High	15 day	Decrease	A10525
R-RNO-195253	Degradation of beta-catenin by the destruction complex	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A302
meloxicam	meloxicam	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_meloxicam_High_8day_Repeat	High	8 day	Decrease	A10363
nimesulide	nimesulide	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_nimesulide_High_3hr_Single	High	3 hr	Increase	A10931
R-RNO-1482883	Acyl chain remodeling of DAG and TAG	A.G	albumin globulin ratio	Single	pheno2reactome	0.00444839857651246	0.0212328280512301	NA	NA	NA	NA	NA	NA	A1081
nimesulide	nimesulide	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_nimesulide_Low_3hr_Single	Low	3 hr	Increase	A10946
puromycin_aminonucleoside	puromycin_aminonucleoside	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_puromycin_aminonucleoside_Middle_29day_Repeat	Middle	29 day	Decrease	A11520
R-RNO-4608870	Asymmetric localization of PCP proteins	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A172
methylene_dianiline	methylene_dianiline	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_methylene_dianiline_Middle_6hr_Single	Middle	6 hr	Decrease	A10639
R-RNO-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A322
methylene_dianiline	methylene_dianiline	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_methylene_dianiline_High_8day_Repeat	High	8 day	Decrease	A10588
R-RNO-3371568	Attenuation phase	A.G	albumin globulin ratio	Single	pheno2reactome	0.00533807829181495	0.155092815235164	NA	NA	NA	NA	NA	NA	A742
gefitinib	gefitinib	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_gefitinib_Control_24hr_Single	Control	24 hr	Increase	A9718
Alteration..nuclear	Alteration, nuclear	A.G	albumin globulin ratio	Repeat	pheno2pheno	0.00266903914590747	NA	NA	NA	NA	NA	NA	NA	A16686
R-RNO-4641258	degradation of DVL	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A162
R-RNO-77108	Utilization of Ketone Bodies	A.G	albumin globulin ratio	Single	pheno2reactome	0.00355871886120996	0.0982753900903367	NA	NA	NA	NA	NA	NA	A591
CRE.mg.dL.	creatinine	A.G	albumin globulin ratio	Repeat	pheno2pheno	0.00622775800711744	NA	NA	NA	NA	NA	NA	NA	A16877
nimesulide	nimesulide	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_nimesulide_Control_29day_Repeat	Control	29 day	Increase	A10913
AST.IU.L.	aspartate aminotransferase	A.G	albumin globulin ratio	Repeat	pheno2pheno	0.00622775800711744	NA	NA	NA	NA	NA	NA	NA	A17088
R-RNO-2142816	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)	A.G	albumin globulin ratio	Repeat	pheno2reactome	0.00266903914590747	0.0307130147432638	NA	NA	NA	NA	NA	NA	A1585
R-RNO-69017	CDK-mediated phosphorylation and removal of Cdc6	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A112
imatinib,_methanesulfonate_salt	imatinib,_methanesulfonate_salt	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_imatinib_methanesulfonate_salt_Low_3hr_Single	Low	3 hr	Increase	A9963
doxorubicin	doxorubicin	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_doxorubicin_High_29day_Repeat	High	29 day	Decrease	A9164
amphotericin_B	amphotericin_B	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_amphotericin_B_High_29day_Repeat	High	29 day	Decrease	A7861
ALT.IU.L.	alanine aminotransferase	A.G	albumin globulin ratio	Repeat	pheno2pheno	0.00622775800711744	NA	NA	NA	NA	NA	NA	NA	A17086
bortezomib	bortezomib	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_bortezomib_High_3hr_Single	High	3 hr	Increase	A8057
rosiglitazone_maleate	rosiglitazone_maleate	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_rosiglitazone_maleate_Middle_24hr_Single	Middle	24 hr	Increase	A11590
R-RNO-68827	CDT1 association with the CDC6:ORC:origin complex	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A232
nimesulide	nimesulide	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_nimesulide_Control_24hr_Single	Control	24 hr	Increase	A10911
amphotericin_B	amphotericin_B	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_amphotericin_B_High_15day_Repeat	High	15 day	Decrease	A7858
naproxen	naproxen	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_naproxen_High_15day_Repeat	High	15 day	Decrease	A10795
R-RNO-163685	Integration of energy metabolism	A.G	albumin globulin ratio	Single	pheno2reactome	0.00266903914590747	0.216192170818505	NA	NA	NA	NA	NA	NA	A102
butylated_hydroxyanisole	butylated_hydroxyanisole	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_butylated_hydroxyanisole_Middle_15day_Repeat	Middle	15 day	Decrease	A8199
R-RNO-879518	Transport of organic anions	A.G	albumin globulin ratio	Repeat	pheno2reactome	0.00355871886120996	0.0127870547799373	NA	NA	NA	NA	NA	NA	A1958
naproxen	naproxen	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_naproxen_High_4day_Repeat	High	4 day	Decrease	A10818
nimesulide	nimesulide	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_nimesulide_Control_9hr_Single	Control	9 hr	Increase	A10917
R-RNO-844456	The NLRP3 inflammasome	A.G	albumin globulin ratio	Repeat	pheno2reactome	0.00266903914590747	0.0164453873528607	NA	NA	NA	NA	NA	NA	A1690
gefitinib	gefitinib	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_gefitinib_Middle_24hr_Single	Middle	24 hr	Increase	A9732
amitriptyline	amitriptyline	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_amitriptyline_Control_15day_Repeat	Control	15 day	Decrease	A7843
R-RNO-1566977	Fibronectin matrix formation	A.G	albumin globulin ratio	Single	pheno2reactome	0.00266903914590747	0.0164453873528607	NA	NA	NA	NA	NA	NA	A865
benzbromarone	benzbromarone	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_benzbromarone_Middle_8day_Repeat	Middle	8 day	Increase	A8022
2,4-dinitrophenol	2,4-dinitrophenol	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_24dinitrophenol_Low_8day_Repeat	Low	8 day	Increase	A7439
R-RNO-174154	APC/C:Cdc20 mediated degradation of Securin	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A262
BUN.mg.dL.	blood urea nitrogen	A.G	albumin globulin ratio	Repeat	pheno2pheno	0.00800711743772242	NA	NA	NA	NA	NA	NA	NA	A17085
R-RNO-174084	Autodegradation of Cdh1 by Cdh1:APC/C	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A242
R-RNO-389960	Formation of tubulin folding intermediates by CCT/TriC	A.G	albumin globulin ratio	Single	pheno2reactome	0.00355871886120996	0.196915776986951	NA	NA	NA	NA	NA	NA	A500
methylene_dianiline	methylene_dianiline	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_methylene_dianiline_High_4day_Repeat	High	4 day	Decrease	A10579
R-RNO-3371511	HSF1 activation	A.G	albumin globulin ratio	Single	pheno2reactome	0.00355871886120996	0.196915776986951	NA	NA	NA	NA	NA	NA	A476
NA	NA	A.G	albumin globulin ratio	NA	ao2pheno	NA	NA	NA	NA	NA	NA	NA	NA	A17386
nimesulide	nimesulide	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_nimesulide_Low_24hr_Single	Low	24 hr	Increase	A10945
nitrosodiethylamine	nitrosodiethylamine	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_nitrosodiethylamine_High_15day_Repeat	High	15 day	Increase	A11020
R-RNO-1566977	Fibronectin matrix formation	A.G	albumin globulin ratio	Repeat	pheno2reactome	0.00266903914590747	0.0164453873528607	NA	NA	NA	NA	NA	NA	A1744
simvastatin	simvastatin	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_simvastatin_High_4day_Repeat	High	4 day	Increase	A11622
R-RNO-2871837	FCERI mediated NF-kB activation	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0937418626855308	NA	NA	NA	NA	NA	NA	A25
R-RNO-191273	Cholesterol biosynthesis	A.G	albumin globulin ratio	Single	pheno2reactome	0.00444839857651246	0.0152328385465443	NA	NA	NA	NA	NA	NA	A1104
benzbromarone	benzbromarone	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_benzbromarone_High_4day_Repeat	High	4 day	Increase	A8006
nimesulide	nimesulide	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_nimesulide_Middle_9hr_Single	Middle	9 hr	Increase	A10960
R-RNO-71032	Propionyl-CoA catabolism	A.G	albumin globulin ratio	Repeat	pheno2reactome	0.00266903914590747	0.0142259786476868	NA	NA	NA	NA	NA	NA	A1781
LDH.IU.L.	lactate dehydrogenase	A.G	albumin globulin ratio	Single	pheno2pheno	0.00444839857651246	NA	NA	NA	NA	NA	NA	NA	A16168
imatinib,_methanesulfonate_salt	imatinib,_methanesulfonate_salt	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_imatinib_methanesulfonate_salt_High_24hr_Single	High	24 hr	Increase	A9950
R-RNO-5668541	TNFR2 non-canonical NF-kB pathway	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0937418626855308	NA	NA	NA	NA	NA	NA	A23
bortezomib	bortezomib	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_bortezomib_Low_3hr_Single	Low	3 hr	Increase	A8084
R-RNO-191273	Cholesterol biosynthesis	A.G	albumin globulin ratio	Repeat	pheno2reactome	0.00444839857651246	0.0152328385465443	NA	NA	NA	NA	NA	NA	A2000
nimesulide	nimesulide	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_nimesulide_Middle_4day_Repeat	Middle	4 day	Increase	A10955
vitamin_A	vitamin_A	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_vitamin_A_High_29day_Repeat	High	29 day	Decrease	A11996
R-RNO-71262	Carnitine synthesis	A.G	albumin globulin ratio	Single	pheno2reactome	0.00266903914590747	0.107995996441281	NA	NA	NA	NA	NA	NA	A426
R-RNO-71240	Tryptophan catabolism	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0311894222145069	NA	NA	NA	NA	NA	NA	A416
amphotericin_B	amphotericin_B	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_amphotericin_B_Middle_15day_Repeat	Middle	15 day	Decrease	A7868
R-RNO-3371571	HSF1-dependent transactivation	A.G	albumin globulin ratio	Repeat	pheno2reactome	0.00533807829181495	0.233072040011542	NA	NA	NA	NA	NA	NA	A1591
R-RNO-5658442	Regulation of RAS by GAPs	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A332
R-RNO-2024096	HS-GAG degradation	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0937418626855308	NA	NA	NA	NA	NA	NA	A41
ethanol	ethanol	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_ethanol_Low_9hr_Single	Low	9 hr	Increase	A9277
nimesulide	nimesulide	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_nimesulide_Low_9hr_Single	Low	9 hr	Increase	A10951
R-RNO-450408	AUF1 (hnRNP D0) destabilizes mRNA	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A282
R-RNO-389957	Prefoldin mediated transfer of substrate  to CCT/TriC	A.G	albumin globulin ratio	Single	pheno2reactome	0.00355871886120996	0.394196550780181	NA	NA	NA	NA	NA	NA	A383
nimesulide	nimesulide	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_nimesulide_Low_8day_Repeat	Low	8 day	Increase	A10950
Single.cell.necrosis	Single cell necrosis	A.G	albumin globulin ratio	Repeat	pheno2pheno	0.00622775800711744	NA	NA	NA	NA	NA	NA	NA	A17087
naproxen	naproxen	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_naproxen_High_8day_Repeat	High	8 day	Decrease	A10830
R-RNO-3371568	Attenuation phase	A.G	albumin globulin ratio	Repeat	pheno2reactome	0.00533807829181495	0.155092815235164	NA	NA	NA	NA	NA	NA	A1613
ajmaline	ajmaline	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_ajmaline_Middle_9hr_Single	Middle	9 hr	Increase	A7761
