treatment	TERMINAL_BW.g.	LIVER.g.	RBC.x10_4.ul.	Hb.g.dL.	Ht...	MCV.fL.	MCH.pg.	MCHC...	Ret...	Plat.x10_4.uL.	WBC.x10_2.uL.	Neu...	Eos...	Bas...	Mono...	Lym...	PT.s.	APTT.s.	Fbg.mg.dL.	ALP.IU.L.	TC.mg.dL.	TG.mg.dL.	PL.mg.dL.	TBIL.mg.dL.	DBIL.mg.dL.	GLC.mg.dL.	BUN.mg.dL.	CRE.mg.dL.	Na.meq.L.	K.meq.L.	Cl.meq.L.	Ca.mg.dL.	IP.mg.dL.	TP.g.dL.	RALB.g.dL.	A.G	AST.IU.L.	ALT.IU.L.	LDH.IU.L.	GTP.IU.L.
Liver_aflatoxin_B1_Middle_24hr_Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
Liver_ajmaline_Control_3hr_Single	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_ajmaline_Control_9hr_Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Liver_ajmaline_High_15day_Repeat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_ajmaline_High_3hr_Single	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_ajmaline_High_4day_Repeat	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_ajmaline_High_6hr_Single	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_ajmaline_High_9hr_Single	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_ajmaline_Low_29day_Repeat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_ajmaline_Low_3hr_Single	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_ajmaline_Low_8day_Repeat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_ajmaline_Middle_24hr_Single	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_ajmaline_Middle_3hr_Single	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_ajmaline_Middle_6hr_Single	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_ajmaline_Middle_8day_Repeat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Liver_ajmaline_Middle_9hr_Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Liver_allopurinol_Control_4day_Repeat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_allopurinol_Control_8day_Repeat	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
Liver_allopurinol_High_15day_Repeat	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	-1	0	0	0	0	0	0	1
Liver_allopurinol_High_29day_Repeat	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
