V1	V2	SINGLE_REPEAT_TYPE	TYPE	support	interest	Padj	UniProtID	treatment	DOSE_LEVEL	SACRIFICE_PERIOD	Change	ID
R-RNO-5668541	A.G	Single	pheno2reactome	0.00177935943060498	0.0937418626855308	NA	NA	NA	NA	NA	NA	A23
R-RNO-5668541	Change..eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0503510628065788	NA	NA	NA	NA	NA	NA	A24
R-RNO-2871837	A.G	Single	pheno2reactome	0.00177935943060498	0.0937418626855308	NA	NA	NA	NA	NA	NA	A25
R-RNO-2871837	Change..eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0503510628065788	NA	NA	NA	NA	NA	NA	A26
R-RNO-5687128	A.G	Single	pheno2reactome	0.00177935943060498	0.0937418626855308	NA	NA	NA	NA	NA	NA	A27
R-RNO-5687128	Change..eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0503510628065788	NA	NA	NA	NA	NA	NA	A28
R-RNO-1169091	A.G	Single	pheno2reactome	0.00177935943060498	0.0937418626855308	NA	NA	NA	NA	NA	NA	A29
R-RNO-1169091	Change..eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0503510628065788	NA	NA	NA	NA	NA	NA	A30
R-RNO-68877	TG.mg.dL.	Single	pheno2reactome	0.00177935943060498	0.110421962379258	NA	NA	NA	NA	NA	NA	A31
R-RNO-68877	Increased.mitosis	Single	pheno2reactome	0.00177935943060498	0.0587744661921708	NA	NA	NA	NA	NA	NA	A32
R-RNO-68877	PT.s.	Single	pheno2reactome	0.00177935943060498	0.0526289409052178	NA	NA	NA	NA	NA	NA	A33
R-RNO-983189	TG.mg.dL.	Single	pheno2reactome	0.00177935943060498	0.110421962379258	NA	NA	NA	NA	NA	NA	A34
R-RNO-983189	Increased.mitosis	Single	pheno2reactome	0.00177935943060498	0.0587744661921708	NA	NA	NA	NA	NA	NA	A35
R-RNO-983189	PT.s.	Single	pheno2reactome	0.00177935943060498	0.0526289409052178	NA	NA	NA	NA	NA	NA	A36
R-RNO-2565942	TG.mg.dL.	Single	pheno2reactome	0.00177935943060498	0.110421962379258	NA	NA	NA	NA	NA	NA	A37
R-RNO-2565942	Increased.mitosis	Single	pheno2reactome	0.00177935943060498	0.0587744661921708	NA	NA	NA	NA	NA	NA	A38
R-RNO-2565942	PT.s.	Single	pheno2reactome	0.00177935943060498	0.0526289409052178	NA	NA	NA	NA	NA	NA	A39
R-RNO-2024096	Alteration..nuclear	Single	pheno2reactome	0.00177935943060498	0.281392984239959	NA	NA	NA	NA	NA	NA	A40
R-RNO-2024096	A.G	Single	pheno2reactome	0.00177935943060498	0.0937418626855308	NA	NA	NA	NA	NA	NA	A41
R-RNO-2024096	LDH.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0526289409052178	NA	NA	NA	NA	NA	NA	A42
R-RNO-2024096	Change..eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0503510628065788	NA	NA	NA	NA	NA	NA	A43
R-RNO-2024096	BUN.mg.dL.	Single	pheno2reactome	0.00177935943060498	0.0439332316556516	NA	NA	NA	NA	NA	NA	A44
R-RNO-2024096	ALT.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0375683310709176	NA	NA	NA	NA	NA	NA	A45
R-RNO-2024096	Single.cell.necrosis	Single	pheno2reactome	0.00177935943060498	0.0412651445479627	NA	NA	NA	NA	NA	NA	A46
R-RNO-2024096	AST.IU.L.	Single	pheno2reactome	0.00177935943060498	0.031435349940688	NA	NA	NA	NA	NA	NA	A47
R-RNO-2024096	Hypertrophy	Single	pheno2reactome	0.00177935943060498	0.0192374173868836	NA	NA	NA	NA	NA	NA	A48
R-RNO-166663	Alteration..nuclear	Single	pheno2reactome	0.00177935943060498	0.281392984239959	NA	NA	NA	NA	NA	NA	A49
R-RNO-166663	Vacuolization..cytoplasmic	Single	pheno2reactome	0.00177935943060498	0.0746633172842091	NA	NA	NA	NA	NA	NA	A50
R-RNO-166663	Neu...	Single	pheno2reactome	0.00177935943060498	0.0652227267149343	NA	NA	NA	NA	NA	NA	A51
R-RNO-166663	LDH.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0526289409052178	NA	NA	NA	NA	NA	NA	A52
R-RNO-166663	Change..eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0503510628065788	NA	NA	NA	NA	NA	NA	A53
R-RNO-166663	ALT.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0375683310709176	NA	NA	NA	NA	NA	NA	A54
R-RNO-166663	Single.cell.necrosis	Single	pheno2reactome	0.00177935943060498	0.0412651445479627	NA	NA	NA	NA	NA	NA	A55
R-RNO-166663	AST.IU.L.	Single	pheno2reactome	0.00177935943060498	0.031435349940688	NA	NA	NA	NA	NA	NA	A56
R-RNO-166663	Hypertrophy	Single	pheno2reactome	0.00177935943060498	0.0192374173868836	NA	NA	NA	NA	NA	NA	A57
R-RNO-166662	Alteration..nuclear	Single	pheno2reactome	0.00177935943060498	0.281392984239959	NA	NA	NA	NA	NA	NA	A58
R-RNO-166662	Vacuolization..cytoplasmic	Single	pheno2reactome	0.00177935943060498	0.0746633172842091	NA	NA	NA	NA	NA	NA	A59
R-RNO-166662	Neu...	Single	pheno2reactome	0.00177935943060498	0.0652227267149343	NA	NA	NA	NA	NA	NA	A60
R-RNO-166662	LDH.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0526289409052178	NA	NA	NA	NA	NA	NA	A61
R-RNO-166662	Change..eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0503510628065788	NA	NA	NA	NA	NA	NA	A62
R-RNO-166662	ALT.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0375683310709176	NA	NA	NA	NA	NA	NA	A63
R-RNO-166662	Single.cell.necrosis	Single	pheno2reactome	0.00177935943060498	0.0412651445479627	NA	NA	NA	NA	NA	NA	A64
R-RNO-166662	AST.IU.L.	Single	pheno2reactome	0.00177935943060498	0.031435349940688	NA	NA	NA	NA	NA	NA	A65
R-RNO-166662	Hypertrophy	Single	pheno2reactome	0.00177935943060498	0.0192374173868836	NA	NA	NA	NA	NA	NA	A66
R-RNO-427652	Degeneration	Single	pheno2reactome	0.00177935943060498	0.794306049822064	NA	NA	NA	NA	NA	NA	A67
R-RNO-427652	Cellular.infiltration	Single	pheno2reactome	0.00177935943060498	0.0618400326702059	NA	NA	NA	NA	NA	NA	A68
R-RNO-427652	Ht...	Single	pheno2reactome	0.00177935943060498	0.0689744419281786	NA	NA	NA	NA	NA	NA	A69
R-RNO-427652	PT.s.	Single	pheno2reactome	0.00177935943060498	0.0526289409052178	NA	NA	NA	NA	NA	NA	A70
R-RNO-427652	ALT.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0375683310709176	NA	NA	NA	NA	NA	NA	A71
R-RNO-427652	Single.cell.necrosis	Single	pheno2reactome	0.00177935943060498	0.0412651445479627	NA	NA	NA	NA	NA	NA	A72
R-RNO-427652	AST.IU.L.	Single	pheno2reactome	0.00177935943060498	0.031435349940688	NA	NA	NA	NA	NA	NA	A73
R-RNO-2559582	IP.mg.dL.	Single	pheno2reactome	0.00177935943060498	0.0506649185240682	NA	NA	NA	NA	NA	NA	A74
R-RNO-2559582	WBC.x10_2.uL.	Single	pheno2reactome	0.00266903914590747	0.200550360009931	NA	NA	NA	NA	NA	NA	A75
R-RNO-2559582	Cl.meq.L.	Single	pheno2reactome	0.00177935943060498	0.042506919731119	NA	NA	NA	NA	NA	NA	A76
R-RNO-2559582	RBC.x10_4.ul.	Single	pheno2reactome	0.00177935943060498	0.0406223972135988	NA	NA	NA	NA	NA	NA	A77
R-RNO-2559582	GTP.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0338078291814947	NA	NA	NA	NA	NA	NA	A78
R-RNO-2559582	Ht...	Single	pheno2reactome	0.00177935943060498	0.0344548689744419	NA	NA	NA	NA	NA	NA	A79
R-RNO-2559582	Hb.g.dL.	Single	pheno2reactome	0.00177935943060498	0.0303639077029044	NA	NA	NA	NA	NA	NA	A80
R-RNO-2559582	LDH.IU.L.	Single	pheno2reactome	0.00266903914590747	0.120106761565836	NA	NA	NA	NA	NA	NA	A81
R-RNO-2559582	PT.s.	Single	pheno2reactome	0.00266903914590747	0.120106761565836	NA	NA	NA	NA	NA	NA	A82
R-RNO-2559582	BUN.mg.dL.	Single	pheno2reactome	0.00266903914590747	0.100040732324315	NA	NA	NA	NA	NA	NA	A83
R-RNO-2559582	ALT.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0187658216238031	NA	NA	NA	NA	NA	NA	A84
R-RNO-2559582	Single.cell.necrosis	Single	pheno2reactome	0.00266903914590747	0.093901649951472	NA	NA	NA	NA	NA	NA	A85
R-RNO-2559582	AST.IU.L.	Single	pheno2reactome	0.00266903914590747	0.0713554624759865	NA	NA	NA	NA	NA	NA	A86
R-RNO-427413	IP.mg.dL.	Single	pheno2reactome	0.00177935943060498	0.0506649185240682	NA	NA	NA	NA	NA	NA	A87
R-RNO-427413	WBC.x10_2.uL.	Single	pheno2reactome	0.00266903914590747	0.200550360009931	NA	NA	NA	NA	NA	NA	A88
R-RNO-427413	APTT.s.	Single	pheno2reactome	0.00177935943060498	0.0435134260757037	NA	NA	NA	NA	NA	NA	A89
R-RNO-427413	RBC.x10_4.ul.	Single	pheno2reactome	0.00177935943060498	0.0406223972135988	NA	NA	NA	NA	NA	NA	A90
R-RNO-427413	Ht...	Single	pheno2reactome	0.00177935943060498	0.0344548689744419	NA	NA	NA	NA	NA	NA	A91
R-RNO-427413	Hb.g.dL.	Single	pheno2reactome	0.00266903914590747	0.139008809287673	NA	NA	NA	NA	NA	NA	A92
R-RNO-427413	LDH.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0262894090521778	NA	NA	NA	NA	NA	NA	A93
R-RNO-427413	PT.s.	Single	pheno2reactome	0.00266903914590747	0.120106761565836	NA	NA	NA	NA	NA	NA	A94
R-RNO-427413	BUN.mg.dL.	Single	pheno2reactome	0.00266903914590747	0.100040732324315	NA	NA	NA	NA	NA	NA	A95
R-RNO-427413	ALT.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0187658216238031	NA	NA	NA	NA	NA	NA	A96
R-RNO-427413	Single.cell.necrosis	Single	pheno2reactome	0.00266903914590747	0.093901649951472	NA	NA	NA	NA	NA	NA	A97
R-RNO-427413	AST.IU.L.	Single	pheno2reactome	0.00266903914590747	0.0713554624759865	NA	NA	NA	NA	NA	NA	A98
R-RNO-917937	Change..eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0251514860055785	NA	NA	NA	NA	NA	NA	A99
R-RNO-917937	BUN.mg.dL.	Single	pheno2reactome	0.00177935943060498	0.0219454329774614	NA	NA	NA	NA	NA	NA	A100
R-RNO-163685	Alteration..nuclear	Single	pheno2reactome	0.00177935943060498	0.140569395017794	NA	NA	NA	NA	NA	NA	A101
R-RNO-163685	A.G	Single	pheno2reactome	0.00266903914590747	0.216192170818505	NA	NA	NA	NA	NA	NA	A102
R-RNO-163685	LDH.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0262894090521778	NA	NA	NA	NA	NA	NA	A103
R-RNO-163685	Change..eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A104
R-RNO-163685	BUN.mg.dL.	Single	pheno2reactome	0.00266903914590747	0.100040732324315	NA	NA	NA	NA	NA	NA	A105
R-RNO-163685	ALT.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0187658216238031	NA	NA	NA	NA	NA	NA	A106
R-RNO-163685	Single.cell.necrosis	Single	pheno2reactome	0.00266903914590747	0.093901649951472	NA	NA	NA	NA	NA	NA	A107
R-RNO-163685	AST.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0157020665542861	NA	NA	NA	NA	NA	NA	A108
R-RNO-163685	Hypertrophy	Single	pheno2reactome	0.00177935943060498	0.0096085409252669	NA	NA	NA	NA	NA	NA	A109
R-RNO-69017	Alteration..nuclear	Single	pheno2reactome	0.00177935943060498	0.140569395017794	NA	NA	NA	NA	NA	NA	A110
R-RNO-69017	Vacuolization..cytoplasmic	Single	pheno2reactome	0.00177935943060498	0.0372967692415044	NA	NA	NA	NA	NA	NA	A111
R-RNO-69017	A.G	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A112
R-RNO-69017	Neu...	Single	pheno2reactome	0.00177935943060498	0.0325806847465947	NA	NA	NA	NA	NA	NA	A113
R-RNO-69017	LDH.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0262894090521778	NA	NA	NA	NA	NA	NA	A114
R-RNO-69017	Change..eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A115
R-RNO-69017	ALT.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0187658216238031	NA	NA	NA	NA	NA	NA	A116
R-RNO-69017	Single.cell.necrosis	Single	pheno2reactome	0.00177935943060498	0.0206125794713903	NA	NA	NA	NA	NA	NA	A117
R-RNO-69017	AST.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0157020665542861	NA	NA	NA	NA	NA	NA	A118
R-RNO-69017	Hypertrophy	Single	pheno2reactome	0.00177935943060498	0.0096085409252669	NA	NA	NA	NA	NA	NA	A119
R-RNO-69601	Alteration..nuclear	Single	pheno2reactome	0.00177935943060498	0.140569395017794	NA	NA	NA	NA	NA	NA	A120
R-RNO-69601	Vacuolization..cytoplasmic	Single	pheno2reactome	0.00177935943060498	0.0372967692415044	NA	NA	NA	NA	NA	NA	A121
R-RNO-69601	A.G	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A122
R-RNO-69601	Neu...	Single	pheno2reactome	0.00177935943060498	0.0325806847465947	NA	NA	NA	NA	NA	NA	A123
R-RNO-69601	LDH.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0262894090521778	NA	NA	NA	NA	NA	NA	A124
R-RNO-69601	Change..eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A125
R-RNO-69601	ALT.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0187658216238031	NA	NA	NA	NA	NA	NA	A126
R-RNO-69601	Single.cell.necrosis	Single	pheno2reactome	0.00177935943060498	0.0206125794713903	NA	NA	NA	NA	NA	NA	A127
R-RNO-69601	AST.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0157020665542861	NA	NA	NA	NA	NA	NA	A128
R-RNO-69601	Hypertrophy	Single	pheno2reactome	0.00177935943060498	0.0096085409252669	NA	NA	NA	NA	NA	NA	A129
R-RNO-5632684	Alteration..nuclear	Single	pheno2reactome	0.00177935943060498	0.140569395017794	NA	NA	NA	NA	NA	NA	A130
R-RNO-5632684	Vacuolization..cytoplasmic	Single	pheno2reactome	0.00177935943060498	0.0372967692415044	NA	NA	NA	NA	NA	NA	A131
R-RNO-5632684	A.G	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A132
R-RNO-5632684	Neu...	Single	pheno2reactome	0.00177935943060498	0.0325806847465947	NA	NA	NA	NA	NA	NA	A133
R-RNO-5632684	LDH.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0262894090521778	NA	NA	NA	NA	NA	NA	A134
R-RNO-5632684	Change..eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A135
R-RNO-5632684	ALT.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0187658216238031	NA	NA	NA	NA	NA	NA	A136
R-RNO-5632684	Single.cell.necrosis	Single	pheno2reactome	0.00177935943060498	0.0206125794713903	NA	NA	NA	NA	NA	NA	A137
R-RNO-5632684	AST.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0157020665542861	NA	NA	NA	NA	NA	NA	A138
R-RNO-5632684	Hypertrophy	Single	pheno2reactome	0.00177935943060498	0.0096085409252669	NA	NA	NA	NA	NA	NA	A139
R-RNO-5607761	Alteration..nuclear	Single	pheno2reactome	0.00177935943060498	0.140569395017794	NA	NA	NA	NA	NA	NA	A140
R-RNO-5607761	Vacuolization..cytoplasmic	Single	pheno2reactome	0.00177935943060498	0.0372967692415044	NA	NA	NA	NA	NA	NA	A141
R-RNO-5607761	A.G	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A142
R-RNO-5607761	Neu...	Single	pheno2reactome	0.00177935943060498	0.0325806847465947	NA	NA	NA	NA	NA	NA	A143
R-RNO-5607761	LDH.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0262894090521778	NA	NA	NA	NA	NA	NA	A144
R-RNO-5607761	Change..eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A145
R-RNO-5607761	ALT.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0187658216238031	NA	NA	NA	NA	NA	NA	A146
R-RNO-5607761	Single.cell.necrosis	Single	pheno2reactome	0.00177935943060498	0.0206125794713903	NA	NA	NA	NA	NA	NA	A147
R-RNO-5607761	AST.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0157020665542861	NA	NA	NA	NA	NA	NA	A148
R-RNO-5607761	Hypertrophy	Single	pheno2reactome	0.00177935943060498	0.0096085409252669	NA	NA	NA	NA	NA	NA	A149
R-RNO-5676590	Alteration..nuclear	Single	pheno2reactome	0.00177935943060498	0.140569395017794	NA	NA	NA	NA	NA	NA	A150
R-RNO-5676590	Vacuolization..cytoplasmic	Single	pheno2reactome	0.00177935943060498	0.0372967692415044	NA	NA	NA	NA	NA	NA	A151
R-RNO-5676590	A.G	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A152
R-RNO-5676590	Neu...	Single	pheno2reactome	0.00177935943060498	0.0325806847465947	NA	NA	NA	NA	NA	NA	A153
R-RNO-5676590	LDH.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0262894090521778	NA	NA	NA	NA	NA	NA	A154
R-RNO-5676590	Change..eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A155
R-RNO-5676590	ALT.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0187658216238031	NA	NA	NA	NA	NA	NA	A156
R-RNO-5676590	Single.cell.necrosis	Single	pheno2reactome	0.00177935943060498	0.0206125794713903	NA	NA	NA	NA	NA	NA	A157
R-RNO-5676590	AST.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0157020665542861	NA	NA	NA	NA	NA	NA	A158
R-RNO-5676590	Hypertrophy	Single	pheno2reactome	0.00177935943060498	0.0096085409252669	NA	NA	NA	NA	NA	NA	A159
R-RNO-4641258	Alteration..nuclear	Single	pheno2reactome	0.00177935943060498	0.140569395017794	NA	NA	NA	NA	NA	NA	A160
R-RNO-4641258	Vacuolization..cytoplasmic	Single	pheno2reactome	0.00177935943060498	0.0372967692415044	NA	NA	NA	NA	NA	NA	A161
R-RNO-4641258	A.G	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A162
R-RNO-4641258	Neu...	Single	pheno2reactome	0.00177935943060498	0.0325806847465947	NA	NA	NA	NA	NA	NA	A163
R-RNO-4641258	LDH.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0262894090521778	NA	NA	NA	NA	NA	NA	A164
R-RNO-4641258	Change..eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A165
R-RNO-4641258	ALT.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0187658216238031	NA	NA	NA	NA	NA	NA	A166
R-RNO-4641258	Single.cell.necrosis	Single	pheno2reactome	0.00177935943060498	0.0206125794713903	NA	NA	NA	NA	NA	NA	A167
R-RNO-4641258	AST.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0157020665542861	NA	NA	NA	NA	NA	NA	A168
R-RNO-4641258	Hypertrophy	Single	pheno2reactome	0.00177935943060498	0.0096085409252669	NA	NA	NA	NA	NA	NA	A169
R-RNO-4608870	Alteration..nuclear	Single	pheno2reactome	0.00177935943060498	0.140569395017794	NA	NA	NA	NA	NA	NA	A170
R-RNO-4608870	Vacuolization..cytoplasmic	Single	pheno2reactome	0.00177935943060498	0.0372967692415044	NA	NA	NA	NA	NA	NA	A171
R-RNO-4608870	A.G	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A172
R-RNO-4608870	Neu...	Single	pheno2reactome	0.00177935943060498	0.0325806847465947	NA	NA	NA	NA	NA	NA	A173
R-RNO-4608870	LDH.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0262894090521778	NA	NA	NA	NA	NA	NA	A174
R-RNO-4608870	Change..eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A175
R-RNO-4608870	ALT.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0187658216238031	NA	NA	NA	NA	NA	NA	A176
R-RNO-4608870	Single.cell.necrosis	Single	pheno2reactome	0.00177935943060498	0.0206125794713903	NA	NA	NA	NA	NA	NA	A177
R-RNO-4608870	AST.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0157020665542861	NA	NA	NA	NA	NA	NA	A178
R-RNO-4608870	Hypertrophy	Single	pheno2reactome	0.00177935943060498	0.0096085409252669	NA	NA	NA	NA	NA	NA	A179
R-RNO-69229	Alteration..nuclear	Single	pheno2reactome	0.00177935943060498	0.140569395017794	NA	NA	NA	NA	NA	NA	A180
R-RNO-69229	Vacuolization..cytoplasmic	Single	pheno2reactome	0.00177935943060498	0.0372967692415044	NA	NA	NA	NA	NA	NA	A181
R-RNO-69229	A.G	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A182
R-RNO-69229	Neu...	Single	pheno2reactome	0.00177935943060498	0.0325806847465947	NA	NA	NA	NA	NA	NA	A183
R-RNO-69229	LDH.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0262894090521778	NA	NA	NA	NA	NA	NA	A184
R-RNO-69229	Change..eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A185
R-RNO-69229	ALT.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0187658216238031	NA	NA	NA	NA	NA	NA	A186
R-RNO-69229	Single.cell.necrosis	Single	pheno2reactome	0.00177935943060498	0.0206125794713903	NA	NA	NA	NA	NA	NA	A187
R-RNO-69229	AST.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0157020665542861	NA	NA	NA	NA	NA	NA	A188
R-RNO-69229	Hypertrophy	Single	pheno2reactome	0.00177935943060498	0.0096085409252669	NA	NA	NA	NA	NA	NA	A189
R-RNO-174113	Alteration..nuclear	Single	pheno2reactome	0.00177935943060498	0.140569395017794	NA	NA	NA	NA	NA	NA	A190
R-RNO-174113	Vacuolization..cytoplasmic	Single	pheno2reactome	0.00177935943060498	0.0372967692415044	NA	NA	NA	NA	NA	NA	A191
R-RNO-174113	A.G	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A192
R-RNO-174113	Neu...	Single	pheno2reactome	0.00177935943060498	0.0325806847465947	NA	NA	NA	NA	NA	NA	A193
R-RNO-174113	LDH.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0262894090521778	NA	NA	NA	NA	NA	NA	A194
R-RNO-174113	Change..eosinophilic	Single	pheno2reactome	0.00266903914590747	0.114841807634183	NA	NA	NA	NA	NA	NA	A195
R-RNO-174113	ALT.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0187658216238031	NA	NA	NA	NA	NA	NA	A196
R-RNO-174113	Single.cell.necrosis	Single	pheno2reactome	0.00177935943060498	0.0206125794713903	NA	NA	NA	NA	NA	NA	A197
R-RNO-174113	AST.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0157020665542861	NA	NA	NA	NA	NA	NA	A198
R-RNO-174113	Hypertrophy	Single	pheno2reactome	0.00177935943060498	0.0096085409252669	NA	NA	NA	NA	NA	NA	A199
R-RNO-5610785	Alteration..nuclear	Single	pheno2reactome	0.00177935943060498	0.140569395017794	NA	NA	NA	NA	NA	NA	A200
R-RNO-5610785	Vacuolization..cytoplasmic	Single	pheno2reactome	0.00177935943060498	0.0372967692415044	NA	NA	NA	NA	NA	NA	A201
R-RNO-5610785	A.G	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A202
