treatment	chems	SACRIFICE_PERIOD	DOSE_LEVEL	SIN_REP_TYPE	Out
Liver_acetamide_High_29day_Repeat	acetamide	29 day	High	Repeat	Change..acidophilic
Liver_acetamide_High_4day_Repeat	acetamide	4 day	High	Repeat	Single.cell.necrosis
Liver_acetamide_High_4day_Repeat	acetamide	4 day	High	Repeat	Anisonucleosis
Liver_acetamide_High_4day_Repeat	acetamide	4 day	High	Repeat	Pyknosis
Liver_acetamide_High_4day_Repeat	acetamide	4 day	High	Repeat	Change..acidophilic
Liver_acetamide_High_8day_Repeat	acetamide	8 day	High	Repeat	Cellular.infiltration..mononuclear.cell
Liver_acetamide_High_8day_Repeat	acetamide	8 day	High	Repeat	Increased.mitosis
Liver_acetamide_High_8day_Repeat	acetamide	8 day	High	Repeat	Single.cell.necrosis
Liver_acetamide_High_8day_Repeat	acetamide	8 day	High	Repeat	Anisonucleosis
Liver_acetamide_High_8day_Repeat	acetamide	8 day	High	Repeat	Pyknosis
Liver_acetamide_High_8day_Repeat	acetamide	8 day	High	Repeat	Change..acidophilic
Liver_acetamide_Middle_15day_Repeat	acetamide	15 day	Middle	Repeat	Anisonucleosis
Liver_acetamide_Middle_15day_Repeat	acetamide	15 day	Middle	Repeat	Pyknosis
Liver_acetamide_Middle_15day_Repeat	acetamide	15 day	Middle	Repeat	Change..acidophilic
Liver_acetamide_Middle_29day_Repeat	acetamide	29 day	Middle	Repeat	Anisonucleosis
Liver_acetamide_Middle_29day_Repeat	acetamide	29 day	Middle	Repeat	Pyknosis
Liver_acetamide_Middle_29day_Repeat	acetamide	29 day	Middle	Repeat	Change..acidophilic
Liver_acetamide_Middle_4day_Repeat	acetamide	4 day	Middle	Repeat	Pyknosis
Liver_acetamide_Middle_8day_Repeat	acetamide	8 day	Middle	Repeat	Increased.mitosis
Liver_acetamide_Middle_8day_Repeat	acetamide	8 day	Middle	Repeat	Pyknosis
Liver_acetamide_Middle_8day_Repeat	acetamide	8 day	Middle	Repeat	Change..acidophilic
Liver_acetamidofluorene_High_15day_Repeat	acetamidofluorene	15 day	High	Repeat	Proliferation..oval.cell
Liver_acetamidofluorene_High_15day_Repeat	acetamidofluorene	15 day	High	Repeat	Proliferation..bile.duct
Liver_acetamidofluorene_High_15day_Repeat	acetamidofluorene	15 day	High	Repeat	Swelling
Liver_acetamidofluorene_High_24hr_Single	acetamidofluorene	24 hr	High	Single	Swelling
Liver_acetamidofluorene_High_29day_Repeat	acetamidofluorene	29 day	High	Repeat	Proliferation..oval.cell
Liver_acetamidofluorene_High_29day_Repeat	acetamidofluorene	29 day	High	Repeat	Proliferation..bile.duct
Liver_acetamidofluorene_High_29day_Repeat	acetamidofluorene	29 day	High	Repeat	Swelling
Liver_acetamidofluorene_High_29day_Repeat	acetamidofluorene	29 day	High	Repeat	Cellular.foci
Liver_acetamidofluorene_High_4day_Repeat	acetamidofluorene	4 day	High	Repeat	Swelling
Liver_acetamidofluorene_High_6hr_Single	acetamidofluorene	6 hr	High	Single	Swelling
Liver_acetamidofluorene_High_8day_Repeat	acetamidofluorene	8 day	High	Repeat	Proliferation..oval.cell
Liver_acetamidofluorene_High_8day_Repeat	acetamidofluorene	8 day	High	Repeat	Proliferation..bile.duct
Liver_acetamidofluorene_High_8day_Repeat	acetamidofluorene	8 day	High	Repeat	Swelling
Liver_acetamidofluorene_High_8day_Repeat	acetamidofluorene	8 day	High	Repeat	Cellular.infiltration
Liver_acetamidofluorene_High_9hr_Single	acetamidofluorene	9 hr	High	Single	Swelling
Liver_acetamidofluorene_Low_15day_Repeat	acetamidofluorene	15 day	Low	Repeat	Proliferation..oval.cell
Liver_acetamidofluorene_Low_15day_Repeat	acetamidofluorene	15 day	Low	Repeat	Proliferation..bile.duct
Liver_acetamidofluorene_Low_15day_Repeat	acetamidofluorene	15 day	Low	Repeat	Swelling
Liver_acetamidofluorene_Low_24hr_Single	acetamidofluorene	24 hr	Low	Single	Swelling
Liver_acetamidofluorene_Low_29day_Repeat	acetamidofluorene	29 day	Low	Repeat	Proliferation..oval.cell
Liver_acetamidofluorene_Low_29day_Repeat	acetamidofluorene	29 day	Low	Repeat	Proliferation..bile.duct
Liver_acetamidofluorene_Low_29day_Repeat	acetamidofluorene	29 day	Low	Repeat	Swelling
Liver_acetamidofluorene_Low_29day_Repeat	acetamidofluorene	29 day	Low	Repeat	Cellular.foci
Liver_acetamidofluorene_Low_4day_Repeat	acetamidofluorene	4 day	Low	Repeat	Swelling
Liver_acetamidofluorene_Low_8day_Repeat	acetamidofluorene	8 day	Low	Repeat	Proliferation..oval.cell
Liver_acetamidofluorene_Low_8day_Repeat	acetamidofluorene	8 day	Low	Repeat	Proliferation..bile.duct
Liver_acetamidofluorene_Low_8day_Repeat	acetamidofluorene	8 day	Low	Repeat	Swelling
Liver_acetamidofluorene_Low_8day_Repeat	acetamidofluorene	8 day	Low	Repeat	Cellular.infiltration
Liver_acetamidofluorene_Low_9hr_Single	acetamidofluorene	9 hr	Low	Single	Swelling
Liver_acetamidofluorene_Middle_15day_Repeat	acetamidofluorene	15 day	Middle	Repeat	Proliferation..oval.cell
Liver_acetamidofluorene_Middle_15day_Repeat	acetamidofluorene	15 day	Middle	Repeat	Proliferation..bile.duct
Liver_acetamidofluorene_Middle_15day_Repeat	acetamidofluorene	15 day	Middle	Repeat	Swelling
Liver_acetamidofluorene_Middle_24hr_Single	acetamidofluorene	24 hr	Middle	Single	Swelling
Liver_acetamidofluorene_Middle_29day_Repeat	acetamidofluorene	29 day	Middle	Repeat	Proliferation..oval.cell
Liver_acetamidofluorene_Middle_29day_Repeat	acetamidofluorene	29 day	Middle	Repeat	Proliferation..bile.duct
Liver_acetamidofluorene_Middle_29day_Repeat	acetamidofluorene	29 day	Middle	Repeat	Swelling
Liver_acetamidofluorene_Middle_29day_Repeat	acetamidofluorene	29 day	Middle	Repeat	Cellular.foci
Liver_acetamidofluorene_Middle_4day_Repeat	acetamidofluorene	4 day	Middle	Repeat	Swelling
Liver_acetamidofluorene_Middle_8day_Repeat	acetamidofluorene	8 day	Middle	Repeat	Proliferation..oval.cell
Liver_acetamidofluorene_Middle_8day_Repeat	acetamidofluorene	8 day	Middle	Repeat	Proliferation..bile.duct
Liver_acetamidofluorene_Middle_8day_Repeat	acetamidofluorene	8 day	Middle	Repeat	Swelling
Liver_acetamidofluorene_Middle_8day_Repeat	acetamidofluorene	8 day	Middle	Repeat	Cellular.infiltration
Liver_acetamidofluorene_Middle_9hr_Single	acetamidofluorene	9 hr	Middle	Single	Swelling
Liver_acetaminophen_High_15day_Repeat	acetaminophen	15 day	High	Repeat	Ground.glass.appearance
Liver_acetaminophen_High_24hr_Single	acetaminophen	24 hr	High	Single	Cellular.infiltration
Liver_acetaminophen_High_24hr_Single	acetaminophen	24 hr	High	Single	Change..eosinophilic
Liver_acetaminophen_High_29day_Repeat	acetaminophen	29 day	High	Repeat	Swelling
Liver_acetaminophen_High_29day_Repeat	acetaminophen	29 day	High	Repeat	Ground.glass.appearance
Liver_acetaminophen_High_4day_Repeat	acetaminophen	4 day	High	Repeat	Necrosis
Liver_acetaminophen_High_4day_Repeat	acetaminophen	4 day	High	Repeat	Increased.mitosis
Liver_acetaminophen_High_4day_Repeat	acetaminophen	4 day	High	Repeat	Cellular.infiltration
Liver_acetaminophen_High_4day_Repeat	acetaminophen	4 day	High	Repeat	Change..eosinophilic
Liver_acetaminophen_High_9hr_Single	acetaminophen	9 hr	High	Single	Change..eosinophilic
Liver_acetaminophen_Middle_15day_Repeat	acetaminophen	15 day	Middle	Repeat	Ground.glass.appearance
Liver_acetaminophen_Middle_24hr_Single	acetaminophen	24 hr	Middle	Single	Cellular.infiltration
Liver_acetaminophen_Middle_24hr_Single	acetaminophen	24 hr	Middle	Single	Change..eosinophilic
Liver_adapin_High_29day_Repeat	adapin	29 day	High	Repeat	Change..eosinophilic
Liver_aflatoxin_B1_High_24hr_Single	aflatoxin_B1	24 hr	High	Single	Cellular.infiltration..mononuclear.cell
Liver_aflatoxin_B1_High_24hr_Single	aflatoxin_B1	24 hr	High	Single	Single.cell.necrosis
Liver_aflatoxin_B1_High_24hr_Single	aflatoxin_B1	24 hr	High	Single	Change..eosinophilic
Liver_aflatoxin_B1_High_24hr_Single	aflatoxin_B1	24 hr	High	Single	Atrophy
Liver_aflatoxin_B1_Low_24hr_Single	aflatoxin_B1	24 hr	Low	Single	Single.cell.necrosis
Liver_aflatoxin_B1_Low_24hr_Single	aflatoxin_B1	24 hr	Low	Single	Change..eosinophilic
Liver_aflatoxin_B1_Middle_24hr_Single	aflatoxin_B1	24 hr	Middle	Single	Cellular.infiltration..mononuclear.cell
Liver_aflatoxin_B1_Middle_24hr_Single	aflatoxin_B1	24 hr	Middle	Single	Single.cell.necrosis
Liver_aflatoxin_B1_Middle_24hr_Single	aflatoxin_B1	24 hr	Middle	Single	Change..eosinophilic
Liver_ajmaline_Low_29day_Repeat	ajmaline	29 day	Low	Repeat	Microgranuloma
Liver_ajmaline_Middle_24hr_Single	ajmaline	24 hr	Middle	Single	Microgranuloma
Liver_allyl_alcohol_High_15day_Repeat	allyl_alcohol	15 day	High	Repeat	Necrosis
Liver_allyl_alcohol_High_15day_Repeat	allyl_alcohol	15 day	High	Repeat	Fibrosis
Liver_allyl_alcohol_High_15day_Repeat	allyl_alcohol	15 day	High	Repeat	Deposit..pigment
Liver_allyl_alcohol_High_15day_Repeat	allyl_alcohol	15 day	High	Repeat	Proliferation..bile.duct
Liver_allyl_alcohol_High_15day_Repeat	allyl_alcohol	15 day	High	Repeat	Accumulation..foam.cell
Liver_allyl_alcohol_High_15day_Repeat	allyl_alcohol	15 day	High	Repeat	Degeneration..acidophilic..eosinophilic
Liver_allyl_alcohol_High_24hr_Single	allyl_alcohol	24 hr	High	Single	Degeneration..acidophilic..eosinophilic
Liver_allyl_alcohol_High_8day_Repeat	allyl_alcohol	8 day	High	Repeat	Necrosis
Liver_allyl_alcohol_High_8day_Repeat	allyl_alcohol	8 day	High	Repeat	Cellular.infiltration
Liver_allyl_alcohol_High_8day_Repeat	allyl_alcohol	8 day	High	Repeat	Degeneration..acidophilic..eosinophilic
Liver_amiodarone_High_15day_Repeat	amiodarone	15 day	High	Repeat	Change..eosinophilic
Liver_amiodarone_High_15day_Repeat	amiodarone	15 day	High	Repeat	Vacuolization..cytoplasmic
Liver_amiodarone_High_29day_Repeat	amiodarone	29 day	High	Repeat	Change..eosinophilic
Liver_amiodarone_High_29day_Repeat	amiodarone	29 day	High	Repeat	Vacuolization..cytoplasmic
Liver_amiodarone_High_8day_Repeat	amiodarone	8 day	High	Repeat	Vacuolization..cytoplasmic
Liver_amitriptyline_High_15day_Repeat	amitriptyline	15 day	High	Repeat	Hypertrophy
Liver_amitriptyline_High_15day_Repeat	amitriptyline	15 day	High	Repeat	Vacuolization..cytoplasmic
Liver_amitriptyline_High_29day_Repeat	amitriptyline	29 day	High	Repeat	Hypertrophy
Liver_amitriptyline_High_29day_Repeat	amitriptyline	29 day	High	Repeat	Vacuolization..cytoplasmic
Liver_amitriptyline_High_8day_Repeat	amitriptyline	8 day	High	Repeat	Hypertrophy
Liver_amitriptyline_High_8day_Repeat	amitriptyline	8 day	High	Repeat	Vacuolization..cytoplasmic
Liver_amitriptyline_Middle_29day_Repeat	amitriptyline	29 day	Middle	Repeat	Hypertrophy
Liver_amitriptyline_Middle_29day_Repeat	amitriptyline	29 day	Middle	Repeat	Vacuolization..cytoplasmic
Liver_amphotericin_B_High_29day_Repeat	amphotericin_B	29 day	High	Repeat	Necrosis
Liver_amphotericin_B_Middle_24hr_Single	amphotericin_B	24 hr	Middle	Single	Necrosis
Liver_amphotericin_B_Middle_9hr_Single	amphotericin_B	9 hr	Middle	Single	Necrosis
Liver_aspirin_High_15day_Repeat	aspirin	15 day	High	Repeat	Change..eosinophilic
Liver_aspirin_High_24hr_Single	aspirin	24 hr	High	Single	Necrosis
Liver_aspirin_High_29day_Repeat	aspirin	29 day	High	Repeat	Change..eosinophilic
Liver_aspirin_High_3hr_Single	aspirin	3 hr	High	Single	Swelling
Liver_aspirin_High_4day_Repeat	aspirin	4 day	High	Repeat	Change..eosinophilic
Liver_aspirin_High_6hr_Single	aspirin	6 hr	High	Single	Swelling
Liver_aspirin_High_8day_Repeat	aspirin	8 day	High	Repeat	Change..eosinophilic
Liver_aspirin_High_9hr_Single	aspirin	9 hr	High	Single	Swelling
Liver_aspirin_Low_6hr_Single	aspirin	6 hr	Low	Single	Swelling
Liver_aspirin_Middle_3hr_Single	aspirin	3 hr	Middle	Single	Swelling
Liver_aspirin_Middle_6hr_Single	aspirin	6 hr	Middle	Single	Swelling
Liver_azathioprine_High_15day_Repeat	azathioprine	15 day	High	Repeat	Necrosis
Liver_bendazac_High_15day_Repeat	bendazac	15 day	High	Repeat	Hypertrophy
Liver_bendazac_High_29day_Repeat	bendazac	29 day	High	Repeat	Hypertrophy
Liver_bendazac_High_4day_Repeat	bendazac	4 day	High	Repeat	Increased.mitosis
Liver_bendazac_High_4day_Repeat	bendazac	4 day	High	Repeat	Hypertrophy
Liver_bendazac_High_8day_Repeat	bendazac	8 day	High	Repeat	Hypertrophy
Liver_bendazac_Middle_29day_Repeat	bendazac	29 day	Middle	Repeat	Microgranuloma
Liver_bendazac_Middle_29day_Repeat	bendazac	29 day	Middle	Repeat	Hypertrophy
Liver_bendazac_Middle_3hr_Single	bendazac	3 hr	Middle	Single	Increased.mitosis
Liver_bendazac_Middle_4day_Repeat	bendazac	4 day	Middle	Repeat	Hypertrophy
Liver_bendazac_Middle_8day_Repeat	bendazac	8 day	Middle	Repeat	Hypertrophy
Liver_benzbromarone_High_15day_Repeat	benzbromarone	15 day	High	Repeat	Hypertrophy
Liver_benzbromarone_High_15day_Repeat	benzbromarone	15 day	High	Repeat	Ground.glass.appearance
Liver_benzbromarone_High_24hr_Single	benzbromarone	24 hr	High	Single	Hypertrophy
Liver_benzbromarone_High_29day_Repeat	benzbromarone	29 day	High	Repeat	Hypertrophy
Liver_benzbromarone_High_29day_Repeat	benzbromarone	29 day	High	Repeat	Ground.glass.appearance
Liver_benzbromarone_High_4day_Repeat	benzbromarone	4 day	High	Repeat	Hypertrophy
Liver_benzbromarone_High_8day_Repeat	benzbromarone	8 day	High	Repeat	Hypertrophy
Liver_benzbromarone_High_8day_Repeat	benzbromarone	8 day	High	Repeat	Ground.glass.appearance
Liver_benzbromarone_Low_15day_Repeat	benzbromarone	15 day	Low	Repeat	Hypertrophy
Liver_benzbromarone_Low_29day_Repeat	benzbromarone	29 day	Low	Repeat	Hypertrophy
Liver_benzbromarone_Low_8day_Repeat	benzbromarone	8 day	Low	Repeat	Hypertrophy
Liver_benzbromarone_Middle_15day_Repeat	benzbromarone	15 day	Middle	Repeat	Hypertrophy
Liver_benzbromarone_Middle_15day_Repeat	benzbromarone	15 day	Middle	Repeat	Ground.glass.appearance
Liver_benzbromarone_Middle_29day_Repeat	benzbromarone	29 day	Middle	Repeat	Hypertrophy
Liver_benzbromarone_Middle_4day_Repeat	benzbromarone	4 day	Middle	Repeat	Hypertrophy
Liver_benzbromarone_Middle_8day_Repeat	benzbromarone	8 day	Middle	Repeat	Hypertrophy
Liver_benziodarone_High_15day_Repeat	benziodarone	15 day	High	Repeat	Hypertrophy
Liver_benziodarone_High_29day_Repeat	benziodarone	29 day	High	Repeat	Hypertrophy
Liver_benziodarone_High_4day_Repeat	benziodarone	4 day	High	Repeat	Increased.mitosis
Liver_benziodarone_High_4day_Repeat	benziodarone	4 day	High	Repeat	Hypertrophy
Liver_benziodarone_High_8day_Repeat	benziodarone	8 day	High	Repeat	Hypertrophy
Liver_benziodarone_Middle_15day_Repeat	benziodarone	15 day	Middle	Repeat	Hypertrophy
Liver_benziodarone_Middle_29day_Repeat	benziodarone	29 day	Middle	Repeat	Hypertrophy
Liver_benziodarone_Middle_4day_Repeat	benziodarone	4 day	Middle	Repeat	Increased.mitosis
Liver_benziodarone_Middle_8day_Repeat	benziodarone	8 day	Middle	Repeat	Hypertrophy
Liver_bortezomib_High_24hr_Single	bortezomib	24 hr	High	Single	Necrosis
Liver_bortezomib_High_24hr_Single	bortezomib	24 hr	High	Single	Single.cell.necrosis
Liver_bortezomib_High_24hr_Single	bortezomib	24 hr	High	Single	Hypertrophy
Liver_bortezomib_High_24hr_Single	bortezomib	24 hr	High	Single	Change..eosinophilic
Liver_bortezomib_High_24hr_Single	bortezomib	24 hr	High	Single	Vacuolization..cytoplasmic
Liver_bortezomib_High_24hr_Single	bortezomib	24 hr	High	Single	Alteration..nuclear
Liver_bortezomib_High_6hr_Single	bortezomib	6 hr	High	Single	Single.cell.necrosis
Liver_bortezomib_High_6hr_Single	bortezomib	6 hr	High	Single	Hypertrophy
Liver_bortezomib_High_6hr_Single	bortezomib	6 hr	High	Single	Change..eosinophilic
Liver_bortezomib_High_6hr_Single	bortezomib	6 hr	High	Single	Alteration..nuclear
Liver_bortezomib_High_9hr_Single	bortezomib	9 hr	High	Single	Single.cell.necrosis
Liver_bortezomib_High_9hr_Single	bortezomib	9 hr	High	Single	Hypertrophy
Liver_bortezomib_High_9hr_Single	bortezomib	9 hr	High	Single	Change..eosinophilic
Liver_bortezomib_High_9hr_Single	bortezomib	9 hr	High	Single	Vacuolization..cytoplasmic
Liver_bortezomib_High_9hr_Single	bortezomib	9 hr	High	Single	Alteration..nuclear
Liver_bortezomib_Middle_24hr_Single	bortezomib	24 hr	Middle	Single	Hypertrophy
Liver_bortezomib_Middle_24hr_Single	bortezomib	24 hr	Middle	Single	Change..eosinophilic
Liver_bortezomib_Middle_24hr_Single	bortezomib	24 hr	Middle	Single	Alteration..nuclear
Liver_bortezomib_Middle_6hr_Single	bortezomib	6 hr	Middle	Single	Single.cell.necrosis
Liver_bortezomib_Middle_6hr_Single	bortezomib	6 hr	Middle	Single	Change..eosinophilic
Liver_bortezomib_Middle_9hr_Single	bortezomib	9 hr	Middle	Single	Change..eosinophilic
Liver_bromobenzene_High_15day_Repeat	bromobenzene	15 day	High	Repeat	Hypertrophy
Liver_bromobenzene_High_24hr_Single	bromobenzene	24 hr	High	Single	Necrosis
Liver_bromobenzene_High_24hr_Single	bromobenzene	24 hr	High	Single	Hypertrophy
Liver_bromobenzene_High_24hr_Single	bromobenzene	24 hr	High	Single	Cellular.infiltration
Liver_bromobenzene_High_24hr_Single	bromobenzene	24 hr	High	Single	Degeneration..hydropic
Liver_bromobenzene_High_29day_Repeat	bromobenzene	29 day	High	Repeat	Hypertrophy
Liver_bromobenzene_High_4day_Repeat	bromobenzene	4 day	High	Repeat	Hypertrophy
Liver_bromobenzene_High_4day_Repeat	bromobenzene	4 day	High	Repeat	Cellular.infiltration
Liver_bromobenzene_High_8day_Repeat	bromobenzene	8 day	High	Repeat	Hypertrophy
Liver_bromoethylamine_High_15day_Repeat	bromoethylamine	15 day	High	Repeat	Vacuolization..cytoplasmic
Liver_bromoethylamine_High_29day_Repeat	bromoethylamine	29 day	High	Repeat	Deposit..glycogen
Liver_bromoethylamine_High_29day_Repeat	bromoethylamine	29 day	High	Repeat	Vacuolization..cytoplasmic
Liver_bromoethylamine_High_6hr_Single	bromoethylamine	6 hr	High	Single	Deposit..glycogen
Liver_bromoethylamine_High_9hr_Single	bromoethylamine	9 hr	High	Single	Deposit..glycogen
Liver_bromoethylamine_Middle_29day_Repeat	bromoethylamine	29 day	Middle	Repeat	Vacuolization..cytoplasmic
Liver_bucetin_High_15day_Repeat	bucetin	15 day	High	Repeat	Change..eosinophilic
Liver_bucetin_High_29day_Repeat	bucetin	29 day	High	Repeat	Change..eosinophilic
Liver_bucetin_High_8day_Repeat	bucetin	8 day	High	Repeat	Change..eosinophilic
Liver_caffeine_High_29day_Repeat	caffeine	29 day	High	Repeat	Hypertrophy
Liver_captopril_Middle_8day_Repeat	captopril	8 day	Middle	Repeat	Necrosis
Liver_carbamazepine_High_15day_Repeat	carbamazepine	15 day	High	Repeat	Hypertrophy
Liver_carbamazepine_High_29day_Repeat	carbamazepine	29 day	High	Repeat	Hypertrophy
Liver_carbamazepine_High_8day_Repeat	carbamazepine	8 day	High	Repeat	Hypertrophy
Liver_carbamazepine_Low_15day_Repeat	carbamazepine	15 day	Low	Repeat	Hypertrophy
Liver_carbamazepine_Low_29day_Repeat	carbamazepine	29 day	Low	Repeat	Hypertrophy
Liver_carbamazepine_Middle_15day_Repeat	carbamazepine	15 day	Middle	Repeat	Hypertrophy
Liver_carbamazepine_Middle_29day_Repeat	carbamazepine	29 day	Middle	Repeat	Hypertrophy
Liver_carbon_tetrachloride_High_15day_Repeat	carbon_tetrachloride	15 day	High	Repeat	Degeneration..fatty
Liver_carbon_tetrachloride_High_15day_Repeat	carbon_tetrachloride	15 day	High	Repeat	Fibrosis
Liver_carbon_tetrachloride_High_15day_Repeat	carbon_tetrachloride	15 day	High	Repeat	Cellular.infiltration
Liver_carbon_tetrachloride_High_15day_Repeat	carbon_tetrachloride	15 day	High	Repeat	Degeneration..hydropic
Liver_carbon_tetrachloride_High_24hr_Single	carbon_tetrachloride	24 hr	High	Single	Degeneration..fatty
Liver_carbon_tetrachloride_High_24hr_Single	carbon_tetrachloride	24 hr	High	Single	Cellular.infiltration
Liver_carbon_tetrachloride_High_24hr_Single	carbon_tetrachloride	24 hr	High	Single	Degeneration..hydropic
Liver_carbon_tetrachloride_High_29day_Repeat	carbon_tetrachloride	29 day	High	Repeat	Degeneration..fatty
Liver_carbon_tetrachloride_High_29day_Repeat	carbon_tetrachloride	29 day	High	Repeat	Fibrosis
Liver_carbon_tetrachloride_High_29day_Repeat	carbon_tetrachloride	29 day	High	Repeat	Cellular.infiltration
Liver_carbon_tetrachloride_High_29day_Repeat	carbon_tetrachloride	29 day	High	Repeat	Degeneration..hydropic
Liver_carbon_tetrachloride_High_3hr_Single	carbon_tetrachloride	3 hr	High	Single	Degeneration..hydropic
Liver_carbon_tetrachloride_High_4day_Repeat	carbon_tetrachloride	4 day	High	Repeat	Degeneration..fatty
Liver_carbon_tetrachloride_High_4day_Repeat	carbon_tetrachloride	4 day	High	Repeat	Cellular.infiltration
Liver_carbon_tetrachloride_High_4day_Repeat	carbon_tetrachloride	4 day	High	Repeat	Degeneration..hydropic
Liver_carbon_tetrachloride_High_6hr_Single	carbon_tetrachloride	6 hr	High	Single	Degeneration..hydropic
Liver_carbon_tetrachloride_High_8day_Repeat	carbon_tetrachloride	8 day	High	Repeat	Degeneration..fatty
Liver_carbon_tetrachloride_High_8day_Repeat	carbon_tetrachloride	8 day	High	Repeat	Cellular.infiltration
Liver_carbon_tetrachloride_High_8day_Repeat	carbon_tetrachloride	8 day	High	Repeat	Degeneration..hydropic
Liver_carbon_tetrachloride_High_9hr_Single	carbon_tetrachloride	9 hr	High	Single	Degeneration..hydropic
Liver_carbon_tetrachloride_Low_15day_Repeat	carbon_tetrachloride	15 day	Low	Repeat	Degeneration..fatty
Liver_carbon_tetrachloride_Low_15day_Repeat	carbon_tetrachloride	15 day	Low	Repeat	Cellular.infiltration
Liver_carbon_tetrachloride_Low_29day_Repeat	carbon_tetrachloride	29 day	Low	Repeat	Degeneration..fatty
Liver_carbon_tetrachloride_Low_29day_Repeat	carbon_tetrachloride	29 day	Low	Repeat	Fibrosis
Liver_carbon_tetrachloride_Low_29day_Repeat	carbon_tetrachloride	29 day	Low	Repeat	Cellular.infiltration
Liver_carbon_tetrachloride_Low_4day_Repeat	carbon_tetrachloride	4 day	Low	Repeat	Degeneration..fatty
Liver_carbon_tetrachloride_Low_8day_Repeat	carbon_tetrachloride	8 day	Low	Repeat	Degeneration..fatty
Liver_carbon_tetrachloride_Middle_15day_Repeat	carbon_tetrachloride	15 day	Middle	Repeat	Degeneration..fatty
Liver_carbon_tetrachloride_Middle_15day_Repeat	carbon_tetrachloride	15 day	Middle	Repeat	Fibrosis
Liver_carbon_tetrachloride_Middle_15day_Repeat	carbon_tetrachloride	15 day	Middle	Repeat	Cellular.infiltration
Liver_carbon_tetrachloride_Middle_15day_Repeat	carbon_tetrachloride	15 day	Middle	Repeat	Degeneration..hydropic
Liver_carbon_tetrachloride_Middle_29day_Repeat	carbon_tetrachloride	29 day	Middle	Repeat	Degeneration..fatty
Liver_carbon_tetrachloride_Middle_29day_Repeat	carbon_tetrachloride	29 day	Middle	Repeat	Fibrosis
