NAME	BARCODE	TEST_TYPE	SINGLE_REPEAT_TYPE	ADMINISTRATION_ROUTE_TYPE	SACRIFICE_PERIOD	DOSE	DOSE_LEVEL	CATEGORY	VALUE
15	ACARBOSE	3017395023	in vivo	Repeat	Gavage	4 day	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
16	ACARBOSE	3017400029	in vivo	Single	Gavage	24 hr	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
17	ACARBOSE	3017400020	in vivo	Single	Gavage	9 hr	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
18	ACARBOSE	3017396014	in vivo	Repeat	Gavage	15 day	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
19	ACARBOSE	3017401015	in vivo	Single	Gavage	3 hr	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
20	ACARBOSE	3017400023	in vivo	Single	Gavage	24 hr	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
21	ACARBOSE	3017396010	in vivo	Repeat	Gavage	8 day	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
22	ACARBOSE	3017395022	in vivo	Repeat	Gavage	4 day	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
23	ACARBOSE	3017396009	in vivo	Repeat	Gavage	8 day	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
24	ACARBOSE	3017401013	in vivo	Single	Gavage	3 hr	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
25	ACARBOSE	3017401005	in vivo	Single	Gavage	3 hr	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
26	ACARBOSE	3017400018	in vivo	Single	Gavage	9 hr	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
27	ACARBOSE	3017396002	in vivo	Repeat	Gavage	8 day	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
28	ACARBOSE	3017402020	in vivo	Single	Gavage	24 hr	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
29	ACARBOSE	3017400021	in vivo	Single	Gavage	9 hr	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
30	ACARBOSE	3017400016	in vivo	Single	Gavage	9 hr	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
31	ACARBOSE	3017396013	in vivo	Repeat	Gavage	15 day	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
32	ACARBOSE	3017400015	in vivo	Single	Gavage	9 hr	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
33	ACARBOSE	3017396024	in vivo	Repeat	Gavage	29 day	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
34	ACARBOSE	3017400024	in vivo	Single	Gavage	24 hr	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
35	ACARBOSE	3017396004	in vivo	Repeat	Gavage	8 day	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
36	ACARBOSE	3017396003	in vivo	Repeat	Gavage	8 day	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
37	ACARBOSE	3017401004	in vivo	Single	Gavage	3 hr	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
38	ACARBOSE	3017397004	in vivo	Repeat	Gavage	29 day	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
39	ACARBOSE	3017401006	in vivo	Single	Gavage	3 hr	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
40	ACARBOSE	3017395027	in vivo	Repeat	Gavage	4 day	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
41	ACARBOSE	3017400010	in vivo	Single	Gavage	9 hr	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
42	ACARBOSE	3017400028	in vivo	Single	Gavage	24 hr	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
43	ACARBOSE	3017401017	in vivo	Single	Gavage	6 hr	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
44	ACARBOSE	3017396029	in vivo	Repeat	Gavage	29 day	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
45	ACARBOSE	3017396012	in vivo	Repeat	Gavage	15 day	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
46	ACARBOSE	3017395025	in vivo	Repeat	Gavage	4 day	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
47	ACARBOSE	3017401018	in vivo	Single	Gavage	6 hr	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
48	ACARBOSE	3017396025	in vivo	Repeat	Gavage	29 day	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
49	ACARBOSE	3017396011	in vivo	Repeat	Gavage	8 day	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
50	ACARBOSE	3017396021	in vivo	Repeat	Gavage	15 day	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
51	ACARBOSE	3017396016	in vivo	Repeat	Gavage	15 day	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
52	ACARBOSE	3017401026	in vivo	Single	Gavage	6 hr	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
53	ACARBOSE	3017401016	in vivo	Single	Gavage	6 hr	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
54	ACARBOSE	3017400017	in vivo	Single	Gavage	9 hr	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
55	ACARBOSE	3017401024	in vivo	Single	Gavage	6 hr	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
56	ACARBOSE	3017401019	in vivo	Single	Gavage	6 hr	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
57	ACARBOSE	3017401022	in vivo	Single	Gavage	6 hr	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
58	ACARBOSE	3017395024	in vivo	Repeat	Gavage	4 day	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
59	ACARBOSE	3017401020	in vivo	Single	Gavage	6 hr	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
60	ACARBOSE	3017400013	in vivo	Single	Gavage	9 hr	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
61	ACARBOSE	3017400014	in vivo	Single	Gavage	9 hr	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
62	ACARBOSE	3017395021	in vivo	Repeat	Gavage	4 day	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
63	ACARBOSE	3017396026	in vivo	Repeat	Gavage	29 day	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
64	ACARBOSE	3017397005	in vivo	Repeat	Gavage	29 day	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
65	ACARBOSE	3017396017	in vivo	Repeat	Gavage	15 day	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
66	ACARBOSE	3017401027	in vivo	Single	Gavage	6 hr	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
67	ACARBOSE	3017400019	in vivo	Single	Gavage	9 hr	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
68	ACARBOSE	3017396001	in vivo	Repeat	Gavage	8 day	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
69	ACARBOSE	3017397001	in vivo	Repeat	Gavage	29 day	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
70	ACARBOSE	3017401011	in vivo	Single	Gavage	3 hr	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
71	ACARBOSE	3017396008	in vivo	Repeat	Gavage	8 day	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
72	ACARBOSE	3017400025	in vivo	Single	Gavage	24 hr	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
73	ACARBOSE	3017400026	in vivo	Single	Gavage	24 hr	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
74	ACARBOSE	3017401021	in vivo	Single	Gavage	6 hr	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
75	ACARBOSE	3017397003	in vivo	Repeat	Gavage	29 day	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
76	ACARBOSE	3017397002	in vivo	Repeat	Gavage	29 day	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
77	ACARBOSE	3017396028	in vivo	Repeat	Gavage	29 day	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
78	ACARBOSE	3017396023	in vivo	Repeat	Gavage	15 day	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
79	ACARBOSE	3017396007	in vivo	Repeat	Gavage	8 day	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
80	ACARBOSE	3017396006	in vivo	Repeat	Gavage	8 day	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
81	ACARBOSE	3017395030	in vivo	Repeat	Gavage	8 day	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
82	ACARBOSE	3017396019	in vivo	Repeat	Gavage	15 day	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
83	ACARBOSE	3017396022	in vivo	Repeat	Gavage	15 day	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
84	ACARBOSE	3017395019	in vivo	Repeat	Gavage	4 day	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
85	ACARBOSE	3017396030	in vivo	Repeat	Gavage	29 day	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
86	ACARBOSE	3017401023	in vivo	Single	Gavage	6 hr	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
87	ACARBOSE	3017401010	in vivo	Single	Gavage	3 hr	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
88	ACARBOSE	3017395026	in vivo	Repeat	Gavage	4 day	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
89	ACARBOSE	3017396018	in vivo	Repeat	Gavage	15 day	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
90	ACARBOSE	3017396027	in vivo	Repeat	Gavage	29 day	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
91	ACARBOSE	3017401009	in vivo	Single	Gavage	3 hr	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
92	ACARBOSE	3017400027	in vivo	Single	Gavage	24 hr	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
93	ACARBOSE	3017395018	in vivo	Repeat	Gavage	4 day	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
94	ACARBOSE	3017395020	in vivo	Repeat	Gavage	4 day	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
95	ACARBOSE	3017401012	in vivo	Single	Gavage	3 hr	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
96	ACARBOSE	3017396020	in vivo	Repeat	Gavage	15 day	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
193	ACETAMINOPHEN	3017645025	in vivo	Single	Gavage	24 hr	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
194	ACETAMINOPHEN	3017644026	in vivo	Single	Gavage	3 hr	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
195	ACETAMINOPHEN	3017643001	in vivo	Repeat	Gavage	4 day	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
196	ACETAMINOPHEN	3017645019	in vivo	Single	Gavage	9 hr	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
197	ACETAMINOPHEN	3017643026	in vivo	Repeat	Gavage	15 day	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
198	ACETAMINOPHEN	3017643024	in vivo	Repeat	Gavage	15 day	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
199	ACETAMINOPHEN	3017645026	in vivo	Single	Gavage	24 hr	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
200	ACETAMINOPHEN	3017645024	in vivo	Single	Gavage	24 hr	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
201	ACETAMINOPHEN	3017643006	in vivo	Repeat	Gavage	4 day	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
202	ACETAMINOPHEN	3017644025	in vivo	Single	Gavage	3 hr	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
203	ACETAMINOPHEN	3017642030	in vivo	Repeat	Gavage	4 day	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
204	ACETAMINOPHEN	3017643007	in vivo	Repeat	Gavage	4 day	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
205	ACETAMINOPHEN	3017645006	in vivo	Single	Gavage	6 hr	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
206	ACETAMINOPHEN	3017643025	in vivo	Repeat	Gavage	15 day	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
207	ACETAMINOPHEN	3017644022	in vivo	Single	Gavage	3 hr	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
208	ACETAMINOPHEN	3017645008	in vivo	Single	Gavage	6 hr	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
209	ACETAMINOPHEN	3017644011	in vivo	Repeat	Gavage	29 day	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
210	ACETAMINOPHEN	3017645014	in vivo	Single	Gavage	9 hr	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
211	ACETAMINOPHEN	3017643030	in vivo	Repeat	Gavage	15 day	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
212	ACETAMINOPHEN	3017645020	in vivo	Single	Gavage	9 hr	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
213	ACETAMINOPHEN	3017643009	in vivo	Repeat	Gavage	4 day	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
214	ACETAMINOPHEN	3017643002	in vivo	Repeat	Gavage	4 day	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
215	ACETAMINOPHEN	3017644021	in vivo	Single	Gavage	3 hr	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
216	ACETAMINOPHEN	3017644002	in vivo	Repeat	Gavage	15 day	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
217	ACETAMINOPHEN	3017644005	in vivo	Repeat	Gavage	15 day	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
218	ACETAMINOPHEN	3017645013	in vivo	Single	Gavage	9 hr	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
219	ACETAMINOPHEN	3017644001	in vivo	Repeat	Gavage	15 day	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
220	ACETAMINOPHEN	3017645018	in vivo	Single	Gavage	9 hr	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
221	ACETAMINOPHEN	3017644010	in vivo	Repeat	Gavage	29 day	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
222	ACETAMINOPHEN	3017644014	in vivo	Repeat	Gavage	29 day	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
223	ACETAMINOPHEN	3017644013	in vivo	Repeat	Gavage	29 day	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
224	ACETAMINOPHEN	3017646004	in vivo	Single	Gavage	24 hr	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
225	ACETAMINOPHEN	3017644007	in vivo	Repeat	Gavage	29 day	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
226	ACETAMINOPHEN	3017643014	in vivo	Repeat	Gavage	8 day	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
227	ACETAMINOPHEN	3017645030	in vivo	Single	Gavage	24 hr	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
228	ACETAMINOPHEN	3017643012	in vivo	Repeat	Gavage	8 day	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
229	ACETAMINOPHEN	3017645007	in vivo	Single	Gavage	6 hr	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
230	ACETAMINOPHEN	3017645029	in vivo	Single	Gavage	24 hr	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
231	ACETAMINOPHEN	3017644024	in vivo	Single	Gavage	3 hr	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
232	ACETAMINOPHEN	3017646002	in vivo	Single	Gavage	24 hr	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
233	ACETAMINOPHEN	3017646003	in vivo	Single	Gavage	24 hr	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
234	ACETAMINOPHEN	3017643017	in vivo	Repeat	Gavage	8 day	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
235	ACETAMINOPHEN	3017643016	in vivo	Repeat	Gavage	8 day	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
236	ACETAMINOPHEN	3017645009	in vivo	Single	Gavage	6 hr	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
237	ACETAMINOPHEN	3017643010	in vivo	Repeat	Gavage	4 day	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
238	ACETAMINOPHEN	3017643011	in vivo	Repeat	Gavage	4 day	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
239	ACETAMINOPHEN	3017643013	in vivo	Repeat	Gavage	8 day	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
240	ACETAMINOPHEN	3017644015	in vivo	Repeat	Gavage	29 day	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
241	ACETAMINOPHEN	3017644006	in vivo	Repeat	Gavage	29 day	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
242	ACETAMINOPHEN	3017645028	in vivo	Single	Gavage	24 hr	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
243	ACETAMINOPHEN	3017644009	in vivo	Repeat	Gavage	29 day	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
244	ACETAMINOPHEN	3017645012	in vivo	Single	Gavage	9 hr	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
245	ACETAMINOPHEN	3017643028	in vivo	Repeat	Gavage	15 day	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
246	ACETAMINOPHEN	3017644020	in vivo	Single	Gavage	3 hr	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
247	ACETAMINOPHEN	3017644019	in vivo	Single	Gavage	3 hr	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
248	ACETAMINOPHEN	3017644018	in vivo	Single	Gavage	3 hr	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
249	ACETAMINOPHEN	3017644027	in vivo	Single	Gavage	3 hr	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
250	ACETAMINOPHEN	3017644012	in vivo	Repeat	Gavage	29 day	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
251	ACETAMINOPHEN	3017645010	in vivo	Single	Gavage	6 hr	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
252	ACETAMINOPHEN	3017643015	in vivo	Repeat	Gavage	8 day	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
253	ACETAMINOPHEN	3017644003	in vivo	Repeat	Gavage	15 day	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
254	ACETAMINOPHEN	3017645003	in vivo	Single	Gavage	6 hr	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
255	ACETAMINOPHEN	3017645027	in vivo	Single	Gavage	24 hr	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
256	ACETAMINOPHEN	3017645017	in vivo	Single	Gavage	9 hr	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
257	ACETAMINOPHEN	3017645016	in vivo	Single	Gavage	9 hr	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
258	ACETAMINOPHEN	3017645015	in vivo	Single	Gavage	9 hr	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
259	ACETAMINOPHEN	3017645022	in vivo	Single	Gavage	9 hr	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
260	ACETAMINOPHEN	3017645023	in vivo	Single	Gavage	9 hr	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
261	ACETAMINOPHEN	3017644029	in vivo	Single	Gavage	3 hr	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
262	ACETAMINOPHEN	3017655025	in vivo	Repeat	Gavage	8 day	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
263	ACETAMINOPHEN	3017644028	in vivo	Single	Gavage	3 hr	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
264	ACETAMINOPHEN	3017644008	in vivo	Repeat	Gavage	29 day	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
265	ACETAMINOPHEN	3017644017	in vivo	Repeat	Gavage	29 day	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
266	ACETAMINOPHEN	3017646001	in vivo	Single	Gavage	24 hr	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
267	ACETAMINOPHEN	3017644004	in vivo	Repeat	Gavage	15 day	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
268	ACETAMINOPHEN	3017644016	in vivo	Repeat	Gavage	29 day	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
269	ACETAMINOPHEN	3017643018	in vivo	Repeat	Gavage	8 day	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
270	ACETAMINOPHEN	3017645004	in vivo	Single	Gavage	6 hr	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
271	ACETAMINOPHEN	3017643027	in vivo	Repeat	Gavage	15 day	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
272	ACETAMINOPHEN	3017645021	in vivo	Single	Gavage	9 hr	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
273	ACETAMINOPHEN	3017643022	in vivo	Repeat	Gavage	8 day	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
274	ACETAMINOPHEN	3017645011	in vivo	Single	Gavage	6 hr	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
275	ACETAMINOPHEN	3017643003	in vivo	Repeat	Gavage	4 day	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
276	ACETAMINOPHEN	3017644023	in vivo	Single	Gavage	3 hr	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
277	ACETAMINOPHEN	3017643029	in vivo	Repeat	Gavage	15 day	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
278	ACETAMINOPHEN	3017643021	in vivo	Repeat	Gavage	8 day	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
279	ACETAMINOPHEN	3017645002	in vivo	Single	Gavage	6 hr	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
280	ACETAMINOPHEN	3017643020	in vivo	Repeat	Gavage	8 day	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
281	ACETAMINOPHEN	3017643019	in vivo	Repeat	Gavage	8 day	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
282	ACETAMINOPHEN	3017643008	in vivo	Repeat	Gavage	4 day	600	Middle	MECHANISM	Inhibit eicosanoid biosynthesis
283	ACETAMINOPHEN	3017645001	in vivo	Single	Gavage	6 hr	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
284	ACETAMINOPHEN	3017643005	in vivo	Repeat	Gavage	4 day	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
285	ACETAMINOPHEN	3017644030	in vivo	Single	Gavage	6 hr	0	Control	MECHANISM	Inhibit eicosanoid biosynthesis
286	ACETAMINOPHEN	3017646005	in vivo	Single	Gavage	24 hr	1000	High	MECHANISM	Inhibit eicosanoid biosynthesis
287	ACETAMINOPHEN	3017645005	in vivo	Single	Gavage	6 hr	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
288	ACETAMINOPHEN	3017643004	in vivo	Repeat	Gavage	4 day	300	Low	MECHANISM	Inhibit eicosanoid biosynthesis
289	ACETAZOLAMIDE	3017262029	in vivo	Single	Gavage	3 hr	60	Low	MECHANISM	Inhibit NaCl/ fluid reabsorption in kidney
290	ACETAZOLAMIDE	3017262014	in vivo	Single	Gavage	24 hr	0	Control	MECHANISM	Inhibit NaCl/ fluid reabsorption in kidney
291	ACETAZOLAMIDE	3017262015	in vivo	Single	Gavage	24 hr	0	Control	MECHANISM	Inhibit NaCl/ fluid reabsorption in kidney
292	ACETAZOLAMIDE	3017262025	in vivo	Single	Gavage	24 hr	600	High	MECHANISM	Inhibit NaCl/ fluid reabsorption in kidney
293	ACETAZOLAMIDE	3017263001	in vivo	Single	Gavage	3 hr	60	Low	MECHANISM	Inhibit NaCl/ fluid reabsorption in kidney
294	ACETAZOLAMIDE	3017296020	in vivo	Single	Gavage	9 hr	0	Control	MECHANISM	Inhibit NaCl/ fluid reabsorption in kidney
295	ACETAZOLAMIDE	3017262024	in vivo	Single	Gavage	24 hr	600	High	MECHANISM	Inhibit NaCl/ fluid reabsorption in kidney
296	ACETAZOLAMIDE	3017262030	in vivo	Single	Gavage	3 hr	60	Low	MECHANISM	Inhibit NaCl/ fluid reabsorption in kidney
297	ACETAZOLAMIDE	3017262016	in vivo	Single	Gavage	24 hr	0	Control	MECHANISM	Inhibit NaCl/ fluid reabsorption in kidney
298	ACETAZOLAMIDE	3017263011	in vivo	Single	Gavage	6 hr	60	Low	MECHANISM	Inhibit NaCl/ fluid reabsorption in kidney
299	ACETAZOLAMIDE	3017272008	in vivo	Repeat	Gavage	8 day	200	Middle	MECHANISM	Inhibit NaCl/ fluid reabsorption in kidney
300	ACETAZOLAMIDE	3017310028	in vivo	Repeat	Gavage	29 day	60	Low	MECHANISM	Inhibit NaCl/ fluid reabsorption in kidney
301	ACETAZOLAMIDE	3017271025	in vivo	Repeat	Gavage	4 day	200	Middle	MECHANISM	Inhibit NaCl/ fluid reabsorption in kidney
302	ACETAZOLAMIDE	3017262004	in vivo	Single	Gavage	9 hr	0	Control	MECHANISM	Inhibit NaCl/ fluid reabsorption in kidney
