Label	CLID	CLSZ	NumAnn	Size	SampleMatch	Phyper	Padj	SampleKeys	Name
R-RNO-112409	Liver_galactosamine_High_3hr_Single	45	8579	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_ajmaline_Middle_6hr_Single	9	4254	2	2	0.00421494091457356	0.00421494091457356	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_thioacetamide_High_6hr_Single	30	4671	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_aflatoxin_B1_High_24hr_Single	265	26922	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_ajmaline_Low_6hr_Single	7	1959	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_phenytoin_High_4day_Repeat	14	6135	2	2	0.00876712021094513	0.0175342404218903	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_phenacetin_High_6hr_Single	55	8254	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_cycloheximide_Low_3hr_Single	177	13055	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_promethazine_High_6hr_Single	28	7057	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_azathioprine_High_29day_Repeat	28	8107	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_coumarin_Middle_8day_Repeat	15	4994	2	2	0.00580909831686111	0.00580909831686111	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_fluphenazine_High_3hr_Single	13	4171	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_thioacetamide_High_3hr_Single	13	2076	2	2	0.00100356168718475	0.00301068506155425	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_desmopressin_acetate_High_8day_Repeat	25	7214	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_chlorpromazine_Low_6hr_Single	28	6372	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_promethazine_Middle_6hr_Single	18	6708	2	2	0.0104814165997493	0.0419256663989971	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_allyl_alcohol_High_6hr_Single	13	4892	2	2	0.00557420239970398	0.00557420239970398	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_cycloheximide_Middle_3hr_Single	262	16000	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_galactosamine_Middle_24hr_Single	623	36831	2	3	0	0	P63086 Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_bortezomib_High_9hr_Single	1011	42329	2	3	0	0	P63086 Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_phenytoin_Middle_4day_Repeat	12	5625	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_cycloheximide_High_9hr_Single	542	26674	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_propylthiouracil_High_9hr_Single	16	4397	2	2	0.00450311224241979	0.00900622448483958	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_glibenclamide_Low_6hr_Single	13	5029	2	2	0.00589081694467033	0.017672450834011	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_bromobenzene_Low_24hr_Single	10	4048	2	2	0.00381656207982276	0.00763312415964551	Q64346	RAF-independent MAPK1/3 activation
R-RNO-113507	Liver_furosemide_Middle_24hr_Single	21	3828	4	3	0.000762337451717225	0.0266818108101029	P30277 P39951	E2F-enabled inhibition of pre-replication complex formation
R-RNO-113507	Liver_chlorpropamide_High_24hr_Single	11	1884	4	3	9.29211633616242e-05	0.00204426559395573	P30277 P39951	E2F-enabled inhibition of pre-replication complex formation
R-RNO-113507	Liver_fluphenazine_Middle_24hr_Single	14	1732	4	3	7.23146876511201e-05	0.00195249656658024	P30277 P39951	E2F-enabled inhibition of pre-replication complex formation
R-RNO-113507	Liver_methimazole_Low_24hr_Single	13	4444	4	3	0.00118409374434293	0.0260500623755445	P30277 P39951	E2F-enabled inhibition of pre-replication complex formation
R-RNO-113507	Liver_fluphenazine_Low_24hr_Single	9	1193	4	3	2.3762342295201e-05	0.000546533872789624	P30277 P39951	E2F-enabled inhibition of pre-replication complex formation
R-RNO-113507	Liver_24dinitrophenol_High_24hr_Single	10	1840	4	3	8.66028880286722e-05	0.00199186642465946	P30277 P39951	E2F-enabled inhibition of pre-replication complex formation
R-RNO-113507	Liver_chlormadinone_Low_4day_Repeat	13	2403	4	3	0.00019170681744215	0.0046009636186116	P30277 P39951	E2F-enabled inhibition of pre-replication complex formation
R-RNO-113507	Liver_pemoline_High_24hr_Single	17	4405	4	3	0.00115372768621377	0.0276894644691305	P30277 P39951	E2F-enabled inhibition of pre-replication complex formation
R-RNO-113507	Liver_imipramine_Middle_24hr_Single	13	4991	4	3	0.00166641844910633	0.0383276243294456	P30277 P39951	E2F-enabled inhibition of pre-replication complex formation
R-RNO-113507	Liver_ethambutol_Middle_24hr_Single	13	4160	4	3	0.000974560887818753	0.0292368266345626	P30277 P39951	E2F-enabled inhibition of pre-replication complex formation
R-RNO-113507	Liver_methyldopa_High_4day_Repeat	12	2845	4	3	0.00031654965163672	0.00696409233600785	P30277 P39951	E2F-enabled inhibition of pre-replication complex formation
R-RNO-113507	Liver_methyltestosterone_High_24hr_Single	25	3807	4	3	0.000750045130204511	0.0285017149477714	P30277 P39951	E2F-enabled inhibition of pre-replication complex formation
R-RNO-113507	Liver_ketoconazole_High_24hr_Single	13	4105	4	3	0.000937025238060101	0.0215515804753823	P30277 P39951	E2F-enabled inhibition of pre-replication complex formation
R-RNO-113510	Liver_galactosamine_Low_24hr_Single	3	1845	6	2	0.0110249726392094	0.0110249726392094	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_chlorpromazine_Middle_8day_Repeat	4	2697	6	2	0.0227480630258272	0.0227480630258272	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_captopril_Low_8day_Repeat	2	581	6	2	0.0011501114857049	0.0011501114857049	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_enalapril_Middle_8day_Repeat	6	2350	6	3	0.000849606079858461	0.0169921215971692	P39951 Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_imipramine_High_4day_Repeat	8	3922	6	2	0.0457239532908866	0.0457239532908866	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_NmethylNnitrosourea_Low_24hr_Single	6	1591	6	2	0.00828373707705727	0.00828373707705727	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_chlorpropamide_High_24hr_Single	11	1884	6	3	0.000444854814656902	0.00978680592245184	P39951 Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_meloxicam_Low_4day_Repeat	2	581	6	2	0.0011501114857049	0.0011501114857049	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_caffeine_Middle_8day_Repeat	4	1471	6	2	0.00711591609303792	0.00711591609303792	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_cisplatin_High_4day_Repeat	4	2618	6	2	0.021504869710973	0.021504869710973	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_chlormadinone_Low_4day_Repeat	13	2403	6	3	0.000906730223606945	0.0217615253665667	P39951 Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_captopril_Middle_8day_Repeat	9	3740	6	2	0.0418948662842528	0.0418948662842528	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_desmopressin_acetate_High_4day_Repeat	7	2971	6	2	0.0272943523290533	0.0272943523290533	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_acetazolamide_High_4day_Repeat	13	4549	6	3	0.00570266685464682	0.0342160011278809	P39951 Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_24dinitrophenol_High_24hr_Single	10	1840	6	3	0.000415031518071613	0.00954572491564711	P39951 Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_chlorpropamide_Middle_24hr_Single	6	2441	6	2	0.0188321443563799	0.0188321443563799	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_tacrine_High_4day_Repeat	6	2461	6	2	0.0191262525168435	0.0191262525168435	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_fluphenazine_Middle_24hr_Single	14	1732	6	3	0.000347429622722537	0.00938059981350851	P39951 Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_methylene_dianiline_Middle_4day_Repeat	8	3714	6	2	0.0413590852835027	0.0413590852835027	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_propylthiouracil_Low_8day_Repeat	11	3330	6	2	0.0337831415165751	0.0337831415165751	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_fluphenazine_Middle_4day_Repeat	6	1167	6	2	0.00453407775804487	0.00453407775804487	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_chloramphenicol_Low_24hr_Single	3	1845	6	2	0.0110249726392094	0.0110249726392094	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_nitrofurazone_Middle_24hr_Single	17	3625	6	4	0.000128228604551115	0.00153874325461338	P04961 P39951 Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_methyldopa_High_4day_Repeat	12	2845	6	3	0.0014817682291421	0.0325989010411263	P39951 Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_penicillamine_High_4day_Repeat	6	2053	6	2	0.0135351921806391	0.0135351921806391	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_amphotericin_B_Middle_24hr_Single	5	1579	6	3	0.000264616290518931	0.000529232581037862	P39951 Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_clofibrate_Middle_24hr_Single	11	5214	6	3	0.0083842172384016	0.0251526517152048	P39951 Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_monocrotaline_Middle_8day_Repeat	22	4300	6	4	0.000249593413070382	0.00449268143526687	P04961 P39951 Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_fluphenazine_Low_24hr_Single	9	1193	6	3	0.00011560096382327	0.00265882216793521	P39951 Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_ticlopidine_Low_24hr_Single	11	4540	6	3	0.00567071321973228	0.0453657057578583	P39951 Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_methyldopa_High_24hr_Single	12	3768	6	2	0.0424750265136982	0.0424750265136982	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-113510	Liver_cisplatin_Middle_3hr_Single	7	1707	6	2	0.00949072991371975	0.0284721897411593	Q4KLN6	E2F mediated regulation of DNA replication
R-RNO-114294	Liver_aflatoxin_B1_Low_24hr_Single	16	3984	3	2	0.0106410736213935	0.0425642944855738	G3V8T9 Q9JKL3	Activation, translocation and oligomerization of BAX
R-RNO-1169091	Liver_bortezomib_Middle_9hr_Single	583	34185	44	41	4.05188797588576e-09	1.38574568775293e-06	B0BN93 B2RYP1 D3Z950 D4AEH3 F1LMQ3 G3V6W6 G3V7Q6 G3V8G2 O88321 P17220 P18420 P18422 P21670 P28073 P40307 P60901 P62193 P62198 Q32PW9 Q3B8P5 Q4FZT9 Q4KM35 Q4V8E2 Q5U2S7 Q5U342 Q5XIC6 Q63569 Q63570 Q6MGA6 Q6PCT9 Q6PDW4 Q9ESH1 Q9JHW0	Activation of NF-kappaB in B cells
R-RNO-1169091	Liver_bortezomib_High_9hr_Single	1011	42329	44	42	1.37981068847679e-06	0.000699564019057732	B0BN93 B1WBY1 B2RYP1 D3Z950 D4AEH3 F1LMQ3 G3V6W6 G3V8G2 O88321 P17220 P18420 P18422 P21670 P28073 P40307 P60901 P62193 P62198 Q32PW9 Q3B8P5 Q4FZT9 Q4KM35 Q4V8E2 Q5U2S7 Q5U342 Q5XIC6 Q63569 Q63570 Q6PCT9 Q6PDW4 Q9ESH1 Q9JHW0 Q9QYN5	Activation of NF-kappaB in B cells
R-RNO-1169408	Liver_acetamide_High_8day_Repeat	10	2301	14	4	0.00114476268110823	0.010302864129974	D4A3X3 F1M9D6 Q6AYC7 Q6P6Q7	ISG15 antiviral mechanism
R-RNO-1169408	Liver_carbon_tetrachloride_Middle_4day_Repeat	16	3884	14	5	0.000929989555142971	0.00836990599628674	D4A3X3 F1M9D6 Q6P6Q7	ISG15 antiviral mechanism
R-RNO-1169408	Liver_acetamide_High_29day_Repeat	6	838	14	2	0.0134291343606548	0.0134291343606548	D4A3X3 Q6AYC7	ISG15 antiviral mechanism
R-RNO-1169408	Liver_ibuprofen_Low_24hr_Single	2	167	14	2	0.000575992231600887	0.000575992231600887	D4A3X3 Q6AYC7	ISG15 antiviral mechanism
R-RNO-1169408	Liver_dexamethasone_Low_24hr_Single	47	7899	14	10	4.06759006374314e-07	1.17960111848551e-05	D3ZEU5 D4A3X3 F1M9D6 Q4V8J2 Q6AYC7 Q6P6Q7	ISG15 antiviral mechanism
R-RNO-1169408	Liver_acetamide_Middle_29day_Repeat	4	1149	14	2	0.0243173820364265	0.0243173820364265	D4A3X3 Q6AYC7	ISG15 antiviral mechanism
R-RNO-1169408	Liver_acetamide_Middle_8day_Repeat	4	1100	14	2	0.0224197771961845	0.0224197771961845	D4A3X3 Q6AYC7	ISG15 antiviral mechanism
R-RNO-1170546	Liver_chlorpheniramine_Low_15day_Repeat	5	3173	7	2	0.0418507875068745	0.0418507875068745	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_cyclophosphamide_High_6hr_Single	11	5208	7	3	0.0137646641775141	0.0137646641775141	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_doxorubicin_Low_8day_Repeat	4	2633	7	2	0.0296304420333451	0.0296304420333451	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_furosemide_High_9hr_Single	21	5435	7	3	0.0154746873777034	0.0464240621331101	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_doxorubicin_Low_24hr_Single	6	2727	7	3	0.00222202079663537	0.00222202079663537	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_triazolam_High_29day_Repeat	14	5769	7	3	0.0182115409074666	0.0182115409074666	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_famotidine_Middle_6hr_Single	7	2950	7	3	0.0027838331956693	0.0027838331956693	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_carbamazepine_Low_6hr_Single	7	3453	7	3	0.00436043923602826	0.00436043923602826	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_sulpiride_Middle_15day_Repeat	7	3584	7	3	0.00484582502084655	0.00484582502084655	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_cisplatin_Middle_6hr_Single	4	1860	7	3	0.000733866311594745	0.000733866311594745	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_fluphenazine_High_4day_Repeat	24	6310	7	3	0.023215696684555	0.023215696684555	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_phenylanthranilic_acid_Middle_4day_Repeat	5	3347	7	2	0.0461505086009016	0.0461505086009016	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_triamterene_Low_15day_Repeat	11	4905	7	3	0.0116671770600126	0.0116671770600126	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_ethinylestradiol_Low_8day_Repeat	24	7830	7	3	0.0411879018718963	0.0411879018718963	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_dantrolene_Middle_15day_Repeat	8	3455	7	3	0.00436760972398536	0.00436760972398536	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_naphthyl_isothiocyanate_Middle_4day_Repeat	9	4385	7	3	0.0085450965999225	0.017090193199845	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_ciprofloxacin_High_3hr_Single	6	2814	7	2	0.0335306882604413	0.0335306882604413	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_methimazole_Low_29day_Repeat	14	5373	7	3	0.0149956940239353	0.0299913880478707	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_sulpiride_Middle_29day_Repeat	7	3565	7	3	0.00477343294207717	0.00477343294207717	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_allopurinol_Low_4day_Repeat	3	1435	7	2	0.00935707538251096	0.00935707538251096	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_TNFa_Middle_24hr_Single	8	3346	7	2	0.046125316122609	0.046125316122609	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_isoniazid_High_29day_Repeat	13	5609	7	3	0.0168673594033098	0.0168673594033098	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_acetamide_Low_29day_Repeat	4	2108	7	2	0.01951068241132	0.01951068241132	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_ranitidine_Middle_4day_Repeat	7	3056	7	3	0.00307953889729119	0.00307953889729119	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_carboplatin_Middle_4day_Repeat	6	2182	7	3	0.00116740757661937	0.00116740757661937	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_ethionamide_Low_4day_Repeat	10	2154	7	3	0.00112449002371961	0.00674694014231767	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_theophylline_High_15day_Repeat	14	6196	7	3	0.022101655695545	0.022101655695545	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_iproniazid_Middle_8day_Repeat	9	4006	7	3	0.00663354261003307	0.00663354261003307	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_famotidine_High_15day_Repeat	13	4402	7	3	0.00863788617873821	0.00863788617873821	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_ciprofloxacin_High_29day_Repeat	4	2138	7	2	0.0200391683590693	0.0200391683590693	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_allopurinol_High_8day_Repeat	12	5346	7	3	0.0147899143915396	0.0147899143915396	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_propylthiouracil_Low_6hr_Single	5	2352	7	2	0.0239870275431624	0.0239870275431624	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_fluphenazine_High_29day_Repeat	12	4936	7	3	0.0118721929342754	0.0118721929342754	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_propranolol_Middle_15day_Repeat	19	7728	7	3	0.039798034063044	0.039798034063044	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_promethazine_Middle_9hr_Single	11	5528	7	3	0.0162101350555302	0.0162101350555302	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_cimetidine_Low_4day_Repeat	4	2524	7	2	0.0273808518459979	0.0273808518459979	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_glibenclamide_High_29day_Repeat	6	3005	7	3	0.00293490896602363	0.00293490896602363	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_amphotericin_B_Middle_15day_Repeat	4	1660	7	3	0.00052645343756425	0.00052645343756425	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_iproniazid_Low_29day_Repeat	6	2822	7	2	0.0337077320984632	0.0337077320984632	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_carboplatin_Middle_15day_Repeat	3	1660	7	2	0.0123789408080802	0.0123789408080802	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_flutamide_Middle_29day_Repeat	11	4310	7	3	0.00814304757856574	0.00814304757856574	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_propranolol_Low_29day_Repeat	5	1836	7	3	0.000706598031472613	0.000706598031472613	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_clomipramine_Middle_15day_Repeat	6	3291	7	3	0.00380389378294588	0.00380389378294588	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_nicotinic_acid_Middle_29day_Repeat	7	3238	7	3	0.00363207499439764	0.00363207499439764	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_phenylanthranilic_acid_Middle_15day_Repeat	8	4545	7	3	0.0094429021686698	0.0094429021686698	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_papaverine_Low_4day_Repeat	5	3425	7	2	0.0481323896101341	0.0481323896101341	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_tetracycline_High_15day_Repeat	4	1933	7	3	0.000820961818970743	0.000820961818970743	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_cephalothin_Middle_4day_Repeat	4	1662	7	3	0.000528310596537261	0.000528310596537261	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_triazolam_Low_15day_Repeat	4	2098	7	2	0.0193359045227762	0.0193359045227762	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_captopril_High_15day_Repeat	11	5728	7	3	0.0178612538262349	0.0178612538262349	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_sulpiride_High_29day_Repeat	6	2956	7	3	0.00280006911997645	0.00280006911997645	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_iproniazid_Middle_29day_Repeat	12	3952	7	3	0.00638517541507001	0.00638517541507001	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_methyldopa_Low_8day_Repeat	14	5714	7	3	0.0177425673963397	0.0177425673963397	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_valproic_acid_Low_8day_Repeat	4	2518	7	2	0.0272592256603261	0.0272592256603261	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_colchicine_Low_29day_Repeat	6	2673	7	2	0.0304748415408336	0.0304748415408336	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_thioridazine_High_15day_Repeat	11	5305	7	3	0.0144806886275147	0.0144806886275147	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_carbon_tetrachloride_Middle_9hr_Single	4	2588	7	2	0.0286925501760917	0.0286925501760917	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_amphotericin_B_High_29day_Repeat	12	5344	7	3	0.0147747392264787	0.0147747392264787	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_chlorpheniramine_Low_8day_Repeat	6	2401	7	3	0.0015397193828611	0.0015397193828611	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_disulfiram_Low_15day_Repeat	9	4332	7	3	0.00825974908403702	0.016519498168074	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_chloramphenicol_Middle_15day_Repeat	8	4138	7	3	0.00726556890374178	0.00726556890374178	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_tetracycline_Middle_15day_Repeat	2	1081	7	2	0.0054057998026607	0.0054057998026607	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_perhexiline_High_3hr_Single	3	1860	7	2	0.0153837921898568	0.0153837921898568	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_famotidine_Low_6hr_Single	9	4544	7	3	0.00943711973617695	0.00943711973617695	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_tolbutamide_High_15day_Repeat	4	2712	7	2	0.0313077695079212	0.0313077695079212	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_fluoxetine_hydrochloride_Middle_15day_Repeat	5	3327	7	2	0.0456477059350075	0.0456477059350075	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_tiopronin_Middle_9hr_Single	15	5933	7	3	0.0196532024043463	0.0196532024043463	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_acetamide_Low_15day_Repeat	6	3024	7	2	0.0383056008190055	0.0383056008190055	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_methyldopa_Low_3hr_Single	6	2874	7	2	0.0348679839190948	0.0348679839190948	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_methyldopa_Middle_8day_Repeat	15	7105	7	3	0.0318858079436238	0.0318858079436238	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_ketoconazole_Middle_4day_Repeat	3	1292	7	2	0.00764027816195374	0.00764027816195374	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_gentamicin_Low_24hr_Single	5	2544	7	3	0.00181944079267212	0.00181944079267212	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_iproniazid_Middle_15day_Repeat	17	7070	7	3	0.0314706135973603	0.0314706135973603	P05710	Prolactin receptor signaling
R-RNO-1170546	Liver_butylated_hydroxyanisole_Middle_29day_Repeat	16	6485	7	3	0.0249884288457639	0.0249884288457639	P05710	Prolactin receptor signaling
