treatment	chems	SIN_REP_TYPE	SACRI_PERIOD	DOSE_LEVEL	Out	Change
Liver_24dinitrophenol_High_3hr_Single	2,4-dinitrophenol	Single	3 hr	High	GLC.mg.dL.	Increase
Liver_24dinitrophenol_High_4day_Repeat	2,4-dinitrophenol	Repeat	4 day	High	Ret...	Increase
Liver_24dinitrophenol_High_6hr_Single	2,4-dinitrophenol	Single	6 hr	High	Mono...	Increase
Liver_24dinitrophenol_High_6hr_Single	2,4-dinitrophenol	Single	6 hr	High	GLC.mg.dL.	Increase
Liver_24dinitrophenol_High_9hr_Single	2,4-dinitrophenol	Single	9 hr	High	GLC.mg.dL.	Increase
Liver_24dinitrophenol_Low_15day_Repeat	2,4-dinitrophenol	Repeat	15 day	Low	Na.meq.L.	Decrease
Liver_24dinitrophenol_Low_8day_Repeat	2,4-dinitrophenol	Repeat	8 day	Low	A.G	Increase
Liver_24dinitrophenol_Low_9hr_Single	2,4-dinitrophenol	Single	9 hr	Low	Mono...	Increase
Liver_24dinitrophenol_Middle_15day_Repeat	2,4-dinitrophenol	Repeat	15 day	Middle	TERMINAL_BW.g.	Increase
Liver_24dinitrophenol_Middle_15day_Repeat	2,4-dinitrophenol	Repeat	15 day	Middle	Ca.mg.dL.	Increase
Liver_24dinitrophenol_Middle_3hr_Single	2,4-dinitrophenol	Single	3 hr	Middle	Mono...	Increase
Liver_24dinitrophenol_Middle_3hr_Single	2,4-dinitrophenol	Single	3 hr	Middle	Ca.mg.dL.	Increase
Liver_24dinitrophenol_Middle_6hr_Single	2,4-dinitrophenol	Single	6 hr	Middle	Eos...	Increase
Liver_24dinitrophenol_Middle_8day_Repeat	2,4-dinitrophenol	Repeat	8 day	Middle	A.G	Increase
Liver_3methylcholanthrene_Low_9hr_Single	3-methylcholanthrene	Single	9 hr	Low	Hb.g.dL.	Decrease
Liver_3methylcholanthrene_Middle_3hr_Single	3-methylcholanthrene	Single	3 hr	Middle	PL.mg.dL.	Increase
Liver_3methylcholanthrene_Middle_3hr_Single	3-methylcholanthrene	Single	3 hr	Middle	TG.mg.dL.	Increase
Liver_acarbose_High_6hr_Single	acarbose	Single	6 hr	High	TP.g.dL.	Decrease
Liver_acarbose_High_6hr_Single	acarbose	Single	6 hr	High	RALB.g.dL.	Decrease
Liver_acetamide_High_15day_Repeat	acetamide	Repeat	15 day	High	AST.IU.L.	Increase
Liver_acetamide_High_15day_Repeat	acetamide	Repeat	15 day	High	ALT.IU.L.	Increase
Liver_acetamide_High_29day_Repeat	acetamide	Repeat	29 day	High	CRE.mg.dL.	Decrease
Liver_acetamide_High_4day_Repeat	acetamide	Repeat	4 day	High	ALT.IU.L.	Increase
Liver_acetamide_High_4day_Repeat	acetamide	Repeat	4 day	High	AST.IU.L.	Increase
Liver_acetamide_High_8day_Repeat	acetamide	Repeat	8 day	High	ALP.IU.L.	Increase
Liver_acetamide_High_8day_Repeat	acetamide	Repeat	8 day	High	MCH.pg.	Decrease
Liver_acetamide_Middle_29day_Repeat	acetamide	Repeat	29 day	Middle	CRE.mg.dL.	Decrease
Liver_acetamidofluorene_High_15day_Repeat	acetamidofluorene	Repeat	15 day	High	Plat.x10_4.uL.	Increase
Liver_acetamidofluorene_High_15day_Repeat	acetamidofluorene	Repeat	15 day	High	Ret...	Increase
Liver_acetamidofluorene_High_15day_Repeat	acetamidofluorene	Repeat	15 day	High	Fbg.mg.dL.	Decrease
Liver_acetamidofluorene_High_15day_Repeat	acetamidofluorene	Repeat	15 day	High	MCV.fL.	Increase
Liver_acetamidofluorene_High_15day_Repeat	acetamidofluorene	Repeat	15 day	High	RBC.x10_4.ul.	Decrease
Liver_acetamidofluorene_High_15day_Repeat	acetamidofluorene	Repeat	15 day	High	BUN.mg.dL.	Decrease
Liver_acetamidofluorene_High_15day_Repeat	acetamidofluorene	Repeat	15 day	High	DBIL.mg.dL.	Increase
Liver_acetamidofluorene_High_15day_Repeat	acetamidofluorene	Repeat	15 day	High	TP.g.dL.	Decrease
Liver_acetamidofluorene_High_15day_Repeat	acetamidofluorene	Repeat	15 day	High	MCH.pg.	Increase
Liver_acetamidofluorene_High_24hr_Single	acetamidofluorene	Single	24 hr	High	Hb.g.dL.	Increase
Liver_acetamidofluorene_High_29day_Repeat	acetamidofluorene	Repeat	29 day	High	RBC.x10_4.ul.	Decrease
Liver_acetamidofluorene_High_29day_Repeat	acetamidofluorene	Repeat	29 day	High	Ret...	Increase
Liver_acetamidofluorene_High_29day_Repeat	acetamidofluorene	Repeat	29 day	High	GTP.IU.L.	Increase
Liver_acetamidofluorene_High_29day_Repeat	acetamidofluorene	Repeat	29 day	High	Fbg.mg.dL.	Decrease
Liver_acetamidofluorene_High_29day_Repeat	acetamidofluorene	Repeat	29 day	High	DBIL.mg.dL.	Increase
Liver_acetamidofluorene_High_29day_Repeat	acetamidofluorene	Repeat	29 day	High	TP.g.dL.	Decrease
Liver_acetamidofluorene_High_29day_Repeat	acetamidofluorene	Repeat	29 day	High	MCV.fL.	Increase
Liver_acetamidofluorene_High_4day_Repeat	acetamidofluorene	Repeat	4 day	High	ALP.IU.L.	Decrease
Liver_acetamidofluorene_High_4day_Repeat	acetamidofluorene	Repeat	4 day	High	PL.mg.dL.	Decrease
Liver_acetamidofluorene_High_4day_Repeat	acetamidofluorene	Repeat	4 day	High	Ca.mg.dL.	Decrease
Liver_acetamidofluorene_High_4day_Repeat	acetamidofluorene	Repeat	4 day	High	ALT.IU.L.	Decrease
Liver_acetamidofluorene_High_4day_Repeat	acetamidofluorene	Repeat	4 day	High	Hb.g.dL.	Increase
Liver_acetamidofluorene_High_6hr_Single	acetamidofluorene	Single	6 hr	High	WBC.x10_2.uL.	Decrease
Liver_acetamidofluorene_High_6hr_Single	acetamidofluorene	Single	6 hr	High	GLC.mg.dL.	Increase
Liver_acetamidofluorene_High_8day_Repeat	acetamidofluorene	Repeat	8 day	High	WBC.x10_2.uL.	Increase
Liver_acetamidofluorene_High_8day_Repeat	acetamidofluorene	Repeat	8 day	High	TC.mg.dL.	Decrease
Liver_acetamidofluorene_High_8day_Repeat	acetamidofluorene	Repeat	8 day	High	TP.g.dL.	Decrease
Liver_acetamidofluorene_High_8day_Repeat	acetamidofluorene	Repeat	8 day	High	Plat.x10_4.uL.	Increase
Liver_acetamidofluorene_High_8day_Repeat	acetamidofluorene	Repeat	8 day	High	DBIL.mg.dL.	Increase
Liver_acetamidofluorene_High_8day_Repeat	acetamidofluorene	Repeat	8 day	High	MCHC...	Increase
Liver_acetamidofluorene_High_9hr_Single	acetamidofluorene	Single	9 hr	High	LIVER.g.	Increase
Liver_acetamidofluorene_High_9hr_Single	acetamidofluorene	Single	9 hr	High	Hb.g.dL.	Increase
Liver_acetamidofluorene_Low_15day_Repeat	acetamidofluorene	Repeat	15 day	Low	DBIL.mg.dL.	Increase
Liver_acetamidofluorene_Low_15day_Repeat	acetamidofluorene	Repeat	15 day	Low	BUN.mg.dL.	Decrease
Liver_acetamidofluorene_Low_15day_Repeat	acetamidofluorene	Repeat	15 day	Low	PL.mg.dL.	Decrease
Liver_acetamidofluorene_Low_15day_Repeat	acetamidofluorene	Repeat	15 day	Low	Fbg.mg.dL.	Decrease
Liver_acetamidofluorene_Low_15day_Repeat	acetamidofluorene	Repeat	15 day	Low	TBIL.mg.dL.	Increase
Liver_acetamidofluorene_Low_15day_Repeat	acetamidofluorene	Repeat	15 day	Low	TP.g.dL.	Decrease
Liver_acetamidofluorene_Low_15day_Repeat	acetamidofluorene	Repeat	15 day	Low	Ca.mg.dL.	Decrease
Liver_acetamidofluorene_Low_15day_Repeat	acetamidofluorene	Repeat	15 day	Low	TC.mg.dL.	Decrease
Liver_acetamidofluorene_Low_15day_Repeat	acetamidofluorene	Repeat	15 day	Low	RALB.g.dL.	Decrease
Liver_acetamidofluorene_Low_29day_Repeat	acetamidofluorene	Repeat	29 day	Low	Ca.mg.dL.	Decrease
Liver_acetamidofluorene_Low_29day_Repeat	acetamidofluorene	Repeat	29 day	Low	TP.g.dL.	Decrease
Liver_acetamidofluorene_Low_29day_Repeat	acetamidofluorene	Repeat	29 day	Low	Fbg.mg.dL.	Decrease
Liver_acetamidofluorene_Low_29day_Repeat	acetamidofluorene	Repeat	29 day	Low	TBIL.mg.dL.	Increase
Liver_acetamidofluorene_Low_29day_Repeat	acetamidofluorene	Repeat	29 day	Low	DBIL.mg.dL.	Increase
Liver_acetamidofluorene_Low_29day_Repeat	acetamidofluorene	Repeat	29 day	Low	GTP.IU.L.	Increase
Liver_acetamidofluorene_Low_29day_Repeat	acetamidofluorene	Repeat	29 day	Low	RALB.g.dL.	Decrease
Liver_acetamidofluorene_Low_4day_Repeat	acetamidofluorene	Repeat	4 day	Low	TP.g.dL.	Decrease
Liver_acetamidofluorene_Low_4day_Repeat	acetamidofluorene	Repeat	4 day	Low	ALT.IU.L.	Decrease
Liver_acetamidofluorene_Low_4day_Repeat	acetamidofluorene	Repeat	4 day	Low	PL.mg.dL.	Decrease
Liver_acetamidofluorene_Low_4day_Repeat	acetamidofluorene	Repeat	4 day	Low	TC.mg.dL.	Decrease
Liver_acetamidofluorene_Low_8day_Repeat	acetamidofluorene	Repeat	8 day	Low	TP.g.dL.	Decrease
Liver_acetamidofluorene_Low_8day_Repeat	acetamidofluorene	Repeat	8 day	Low	MCH.pg.	Increase
Liver_acetamidofluorene_Low_8day_Repeat	acetamidofluorene	Repeat	8 day	Low	MCHC...	Increase
Liver_acetamidofluorene_Low_8day_Repeat	acetamidofluorene	Repeat	8 day	Low	Hb.g.dL.	Increase
Liver_acetamidofluorene_Low_8day_Repeat	acetamidofluorene	Repeat	8 day	Low	Ret...	Decrease
Liver_acetamidofluorene_Low_8day_Repeat	acetamidofluorene	Repeat	8 day	Low	TC.mg.dL.	Decrease
Liver_acetamidofluorene_Middle_15day_Repeat	acetamidofluorene	Repeat	15 day	Middle	TBIL.mg.dL.	Increase
Liver_acetamidofluorene_Middle_15day_Repeat	acetamidofluorene	Repeat	15 day	Middle	DBIL.mg.dL.	Increase
Liver_acetamidofluorene_Middle_15day_Repeat	acetamidofluorene	Repeat	15 day	Middle	GLC.mg.dL.	Decrease
Liver_acetamidofluorene_Middle_15day_Repeat	acetamidofluorene	Repeat	15 day	Middle	Ca.mg.dL.	Decrease
Liver_acetamidofluorene_Middle_15day_Repeat	acetamidofluorene	Repeat	15 day	Middle	TC.mg.dL.	Decrease
Liver_acetamidofluorene_Middle_15day_Repeat	acetamidofluorene	Repeat	15 day	Middle	Fbg.mg.dL.	Decrease
Liver_acetamidofluorene_Middle_15day_Repeat	acetamidofluorene	Repeat	15 day	Middle	RALB.g.dL.	Decrease
Liver_acetamidofluorene_Middle_15day_Repeat	acetamidofluorene	Repeat	15 day	Middle	PL.mg.dL.	Decrease
Liver_acetamidofluorene_Middle_15day_Repeat	acetamidofluorene	Repeat	15 day	Middle	BUN.mg.dL.	Decrease
Liver_acetamidofluorene_Middle_15day_Repeat	acetamidofluorene	Repeat	15 day	Middle	TP.g.dL.	Decrease
Liver_acetamidofluorene_Middle_29day_Repeat	acetamidofluorene	Repeat	29 day	Middle	AST.IU.L.	Increase
Liver_acetamidofluorene_Middle_29day_Repeat	acetamidofluorene	Repeat	29 day	Middle	DBIL.mg.dL.	Increase
Liver_acetamidofluorene_Middle_29day_Repeat	acetamidofluorene	Repeat	29 day	Middle	GLC.mg.dL.	Decrease
Liver_acetamidofluorene_Middle_29day_Repeat	acetamidofluorene	Repeat	29 day	Middle	TP.g.dL.	Decrease
Liver_acetamidofluorene_Middle_29day_Repeat	acetamidofluorene	Repeat	29 day	Middle	BUN.mg.dL.	Decrease
Liver_acetamidofluorene_Middle_29day_Repeat	acetamidofluorene	Repeat	29 day	Middle	GTP.IU.L.	Increase
Liver_acetamidofluorene_Middle_29day_Repeat	acetamidofluorene	Repeat	29 day	Middle	Ca.mg.dL.	Decrease
Liver_acetamidofluorene_Middle_29day_Repeat	acetamidofluorene	Repeat	29 day	Middle	RALB.g.dL.	Decrease
Liver_acetamidofluorene_Middle_29day_Repeat	acetamidofluorene	Repeat	29 day	Middle	Fbg.mg.dL.	Decrease
Liver_acetamidofluorene_Middle_29day_Repeat	acetamidofluorene	Repeat	29 day	Middle	TBIL.mg.dL.	Increase
Liver_acetamidofluorene_Middle_29day_Repeat	acetamidofluorene	Repeat	29 day	Middle	Plat.x10_4.uL.	Increase
Liver_acetamidofluorene_Middle_29day_Repeat	acetamidofluorene	Repeat	29 day	Middle	PT.s.	Increase
Liver_acetamidofluorene_Middle_29day_Repeat	acetamidofluorene	Repeat	29 day	Middle	WBC.x10_2.uL.	Increase
Liver_acetamidofluorene_Middle_4day_Repeat	acetamidofluorene	Repeat	4 day	Middle	PL.mg.dL.	Decrease
Liver_acetamidofluorene_Middle_4day_Repeat	acetamidofluorene	Repeat	4 day	Middle	TP.g.dL.	Decrease
Liver_acetamidofluorene_Middle_4day_Repeat	acetamidofluorene	Repeat	4 day	Middle	ALT.IU.L.	Decrease
Liver_acetamidofluorene_Middle_4day_Repeat	acetamidofluorene	Repeat	4 day	Middle	Ht...	Increase
Liver_acetamidofluorene_Middle_4day_Repeat	acetamidofluorene	Repeat	4 day	Middle	Hb.g.dL.	Increase
Liver_acetamidofluorene_Middle_6hr_Single	acetamidofluorene	Single	6 hr	Middle	Hb.g.dL.	Increase
Liver_acetamidofluorene_Middle_8day_Repeat	acetamidofluorene	Repeat	8 day	Middle	TP.g.dL.	Decrease
Liver_acetamidofluorene_Middle_8day_Repeat	acetamidofluorene	Repeat	8 day	Middle	BUN.mg.dL.	Decrease
Liver_acetamidofluorene_Middle_8day_Repeat	acetamidofluorene	Repeat	8 day	Middle	Ret...	Decrease
Liver_acetamidofluorene_Middle_8day_Repeat	acetamidofluorene	Repeat	8 day	Middle	Plat.x10_4.uL.	Increase
Liver_acetamidofluorene_Middle_8day_Repeat	acetamidofluorene	Repeat	8 day	Middle	TERMINAL_BW.g.	Decrease
Liver_acetamidofluorene_Middle_8day_Repeat	acetamidofluorene	Repeat	8 day	Middle	PL.mg.dL.	Decrease
Liver_acetamidofluorene_Middle_8day_Repeat	acetamidofluorene	Repeat	8 day	Middle	TC.mg.dL.	Decrease
Liver_acetamidofluorene_Middle_8day_Repeat	acetamidofluorene	Repeat	8 day	Middle	Ca.mg.dL.	Decrease
Liver_acetamidofluorene_Middle_8day_Repeat	acetamidofluorene	Repeat	8 day	Middle	LIVER.g.	Decrease
Liver_acetamidofluorene_Middle_8day_Repeat	acetamidofluorene	Repeat	8 day	Middle	Fbg.mg.dL.	Decrease
Liver_acetaminophen_Control_15day_Repeat	acetaminophen	Repeat	15 day	Control	IP.mg.dL.	Increase
Liver_acetaminophen_Control_15day_Repeat	acetaminophen	Repeat	15 day	Control	K.meq.L.	Increase
Liver_acetaminophen_Control_24hr_Single	acetaminophen	Single	24 hr	Control	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_Control_29day_Repeat	acetaminophen	Repeat	29 day	Control	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_Control_3hr_Single	acetaminophen	Single	3 hr	Control	Eos...	Increase
Liver_acetaminophen_Control_3hr_Single	acetaminophen	Single	3 hr	Control	Mono...	Increase
Liver_acetaminophen_Control_3hr_Single	acetaminophen	Single	3 hr	Control	Fbg.mg.dL.	Decrease
Liver_acetaminophen_Control_3hr_Single	acetaminophen	Single	3 hr	Control	K.meq.L.	Increase
Liver_acetaminophen_Control_3hr_Single	acetaminophen	Single	3 hr	Control	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_Control_4day_Repeat	acetaminophen	Repeat	4 day	Control	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_Control_4day_Repeat	acetaminophen	Repeat	4 day	Control	IP.mg.dL.	Increase
Liver_acetaminophen_Control_6hr_Single	acetaminophen	Single	6 hr	Control	Ht...	Decrease
Liver_acetaminophen_Control_6hr_Single	acetaminophen	Single	6 hr	Control	RBC.x10_4.ul.	Decrease
Liver_acetaminophen_Control_6hr_Single	acetaminophen	Single	6 hr	Control	Hb.g.dL.	Decrease
Liver_acetaminophen_Control_6hr_Single	acetaminophen	Single	6 hr	Control	K.meq.L.	Increase
Liver_acetaminophen_Control_6hr_Single	acetaminophen	Single	6 hr	Control	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_Control_6hr_Single	acetaminophen	Single	6 hr	Control	Eos...	Increase
Liver_acetaminophen_Control_6hr_Single	acetaminophen	Single	6 hr	Control	TC.mg.dL.	Increase
Liver_acetaminophen_Control_6hr_Single	acetaminophen	Single	6 hr	Control	IP.mg.dL.	Increase
Liver_acetaminophen_Control_8day_Repeat	acetaminophen	Repeat	8 day	Control	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_Control_8day_Repeat	acetaminophen	Repeat	8 day	Control	IP.mg.dL.	Increase
Liver_acetaminophen_Control_9hr_Single	acetaminophen	Single	9 hr	Control	Hb.g.dL.	Decrease
Liver_acetaminophen_Control_9hr_Single	acetaminophen	Single	9 hr	Control	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_Control_9hr_Single	acetaminophen	Single	9 hr	Control	Eos...	Increase
Liver_acetaminophen_Control_9hr_Single	acetaminophen	Single	9 hr	Control	RBC.x10_4.ul.	Decrease
Liver_acetaminophen_High_15day_Repeat	acetaminophen	Repeat	15 day	High	K.meq.L.	Increase
Liver_acetaminophen_High_24hr_Single	acetaminophen	Single	24 hr	High	IP.mg.dL.	Increase
Liver_acetaminophen_High_24hr_Single	acetaminophen	Single	24 hr	High	Lym...	Decrease
Liver_acetaminophen_High_24hr_Single	acetaminophen	Single	24 hr	High	Fbg.mg.dL.	Decrease
Liver_acetaminophen_High_24hr_Single	acetaminophen	Single	24 hr	High	Mono...	Increase
Liver_acetaminophen_High_24hr_Single	acetaminophen	Single	24 hr	High	K.meq.L.	Increase
Liver_acetaminophen_High_24hr_Single	acetaminophen	Single	24 hr	High	DBIL.mg.dL.	Increase
Liver_acetaminophen_High_24hr_Single	acetaminophen	Single	24 hr	High	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_High_24hr_Single	acetaminophen	Single	24 hr	High	Eos...	Increase
Liver_acetaminophen_High_29day_Repeat	acetaminophen	Repeat	29 day	High	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_High_29day_Repeat	acetaminophen	Repeat	29 day	High	K.meq.L.	Increase
Liver_acetaminophen_High_29day_Repeat	acetaminophen	Repeat	29 day	High	MCH.pg.	Increase
Liver_acetaminophen_High_29day_Repeat	acetaminophen	Repeat	29 day	High	IP.mg.dL.	Increase
Liver_acetaminophen_High_29day_Repeat	acetaminophen	Repeat	29 day	High	MCV.fL.	Increase
Liver_acetaminophen_High_3hr_Single	acetaminophen	Single	3 hr	High	IP.mg.dL.	Increase
Liver_acetaminophen_High_3hr_Single	acetaminophen	Single	3 hr	High	Eos...	Increase
Liver_acetaminophen_High_3hr_Single	acetaminophen	Single	3 hr	High	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_High_4day_Repeat	acetaminophen	Repeat	4 day	High	K.meq.L.	Increase
Liver_acetaminophen_High_4day_Repeat	acetaminophen	Repeat	4 day	High	PL.mg.dL.	Increase
Liver_acetaminophen_High_4day_Repeat	acetaminophen	Repeat	4 day	High	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_High_4day_Repeat	acetaminophen	Repeat	4 day	High	Fbg.mg.dL.	Decrease
Liver_acetaminophen_High_4day_Repeat	acetaminophen	Repeat	4 day	High	Eos...	Increase
Liver_acetaminophen_High_6hr_Single	acetaminophen	Single	6 hr	High	Eos...	Increase
Liver_acetaminophen_High_6hr_Single	acetaminophen	Single	6 hr	High	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_High_6hr_Single	acetaminophen	Single	6 hr	High	RBC.x10_4.ul.	Decrease
Liver_acetaminophen_High_6hr_Single	acetaminophen	Single	6 hr	High	Mono...	Increase
Liver_acetaminophen_High_6hr_Single	acetaminophen	Single	6 hr	High	Lym...	Decrease
Liver_acetaminophen_High_8day_Repeat	acetaminophen	Repeat	8 day	High	IP.mg.dL.	Increase
Liver_acetaminophen_High_8day_Repeat	acetaminophen	Repeat	8 day	High	Eos...	Increase
Liver_acetaminophen_High_8day_Repeat	acetaminophen	Repeat	8 day	High	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_High_8day_Repeat	acetaminophen	Repeat	8 day	High	Mono...	Increase
Liver_acetaminophen_High_9hr_Single	acetaminophen	Single	9 hr	High	DBIL.mg.dL.	Increase
Liver_acetaminophen_High_9hr_Single	acetaminophen	Single	9 hr	High	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_High_9hr_Single	acetaminophen	Single	9 hr	High	Eos...	Increase
Liver_acetaminophen_High_9hr_Single	acetaminophen	Single	9 hr	High	Bas...	Increase
Liver_acetaminophen_High_9hr_Single	acetaminophen	Single	9 hr	High	K.meq.L.	Increase
Liver_acetaminophen_Low_15day_Repeat	acetaminophen	Repeat	15 day	Low	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_Low_24hr_Single	acetaminophen	Single	24 hr	Low	Mono...	Increase
Liver_acetaminophen_Low_24hr_Single	acetaminophen	Single	24 hr	Low	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_Low_3hr_Single	acetaminophen	Single	3 hr	Low	Ht...	Decrease
Liver_acetaminophen_Low_3hr_Single	acetaminophen	Single	3 hr	Low	IP.mg.dL.	Increase
Liver_acetaminophen_Low_3hr_Single	acetaminophen	Single	3 hr	Low	Eos...	Increase
Liver_acetaminophen_Low_3hr_Single	acetaminophen	Single	3 hr	Low	Lym...	Decrease
Liver_acetaminophen_Low_3hr_Single	acetaminophen	Single	3 hr	Low	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_Low_3hr_Single	acetaminophen	Single	3 hr	Low	K.meq.L.	Increase
Liver_acetaminophen_Low_3hr_Single	acetaminophen	Single	3 hr	Low	Hb.g.dL.	Decrease
Liver_acetaminophen_Low_3hr_Single	acetaminophen	Single	3 hr	Low	RBC.x10_4.ul.	Decrease
Liver_acetaminophen_Low_3hr_Single	acetaminophen	Single	3 hr	Low	Mono...	Increase
Liver_acetaminophen_Low_4day_Repeat	acetaminophen	Repeat	4 day	Low	Eos...	Increase
Liver_acetaminophen_Low_4day_Repeat	acetaminophen	Repeat	4 day	Low	WBC.x10_2.uL.	Decrease
Liver_acetaminophen_Low_6hr_Single	acetaminophen	Single	6 hr	Low	Hb.g.dL.	Decrease
Liver_acetaminophen_Low_6hr_Single	acetaminophen	Single	6 hr	Low	Mono...	Increase
Liver_acetaminophen_Low_6hr_Single	acetaminophen	Single	6 hr	Low	Ht...	Decrease
Liver_acetaminophen_Low_6hr_Single	acetaminophen	Single	6 hr	Low	Eos...	Increase
