V1	V2	Type	UniProtID
C10043353	ATG_GLI_CIS_up	TCA2TCC	NA
C10043353	ATG_PXRE_CIS_up	TCA2TCC	NA
C10043353	BSK_3C_MCP1_up	TCA2TCC	NA
C100516	ATG_RXRa_TRANS_up	TCA2TCC	NA
C100516	ATG_RXRb_TRANS_up	TCA2TCC	NA
C100516	NVS_ENZ_oCOX2	TCA2TCC	NA
C100549	BSK_CASM3C_TissueFactor_down	TCA2TCC	NA
C100549	NVS_ENZ_hPDE5	TCA2TCC	NA
C100549	NVS_ENZ_hPTPN13_Activator	TCA2TCC	NA
C100549	OT_AR_ARELUC_AG_1440	TCA2TCC	NA
C100641	OT_AR_ARELUC_AG_1440	TCA2TCC	NA
C100641	Tox21_ARE_BLA_agonist_viability	TCA2TCC	NA
C100641	Tox21_FXR_BLA_antagonist_ratio	TCA2TCC	NA
C100641	Tox21_HSE_BLA_agonist_ratio	TCA2TCC	NA
C100641	Tox21_PPARd_BLA_Agonist_viability	TCA2TCC	NA
C100641	Tox21_PPARd_BLA_antagonist_ratio	TCA2TCC	NA
C100641	Tox21_VDR_BLA_Agonist_viability	TCA2TCC	NA
C1007289	ATG_ERE_CIS_up	TCA2TCC	NA
C1007289	BSK_BE3C_uPA_down	TCA2TCC	NA
C1007289	BSK_CASM3C_SAA_up	TCA2TCC	NA
C1007289	BSK_LPS_TNFa_down	TCA2TCC	NA
C1007289	BSK_hDFCGF_CollagenIII_down	TCA2TCC	NA
C1007289	NVS_ENZ_hCK1D	TCA2TCC	NA
C1007289	NVS_ENZ_hPDE4A1	TCA2TCC	NA
C1007289	NVS_ENZ_rMAOAC	TCA2TCC	NA
C1007289	NVS_GPCR_h5HT5A	TCA2TCC	NA
C1007289	NVS_GPCR_hAdoRA1	TCA2TCC	NA
C1007289	NVS_GPCR_hAdoRA2a	TCA2TCC	NA
C1007289	NVS_GPCR_hH1	TCA2TCC	NA
C1007289	NVS_NR_bER	TCA2TCC	NA
C1007289	NVS_NR_rAR	TCA2TCC	NA
C1007289	Tox21_TR_LUC_GH3_Agonist	TCA2TCC	NA
C10081671	ATG_PXRE_CIS_up	TCA2TCC	NA
C10081671	ATG_TGFb_CIS_up	TCA2TCC	NA
C10081671	NVS_NR_mERa	TCA2TCC	NA
C10081671	Tox21_ERa_BLA_Antagonist_ratio	TCA2TCC	NA
C10081671	Tox21_ESRE_BLA_ratio	TCA2TCC	NA
C10081671	Tox21_HSE_BLA_agonist_ratio	TCA2TCC	NA
C1008726	ACEA_T47D_80hr_Positive	TCA2TCC	NA
C10094345	ATG_ERa_TRANS_up	TCA2TCC	NA
C10094345	ATG_NRF2_ARE_CIS_up	TCA2TCC	NA
C10094345	ATG_PXRE_CIS_up	TCA2TCC	NA
C10094345	ATG_RXRb_TRANS_up	TCA2TCC	NA
C10094345	NVS_NR_hPPARg	TCA2TCC	NA
C100970	ACEA_T47D_80hr_Positive	TCA2TCC	NA
C100970	ATG_AP_1_CIS_up	TCA2TCC	NA
C100970	ATG_Ahr_CIS_up	TCA2TCC	NA
C100970	ATG_BRE_CIS_up	TCA2TCC	NA
C100970	ATG_CRE_CIS_up	TCA2TCC	NA
C100970	ATG_NRF2_ARE_CIS_up	TCA2TCC	NA
C100970	ATG_Oct_MLP_CIS_up	TCA2TCC	NA
C100970	ATG_Xbp1_CIS_up	TCA2TCC	NA
C101020	ACEA_T47D_80hr_Positive	TCA2TCC	NA
C101020	APR_HepG2_MitoticArrest_72h_up	TCA2TCC	NA
C101020	ATG_ERE_CIS_up	TCA2TCC	NA
C101020	ATG_ERa_TRANS_up	TCA2TCC	NA
C101020	ATG_PXRE_CIS_up	TCA2TCC	NA
C101020	NVS_ENZ_hElastase	TCA2TCC	NA
C101020	NVS_MP_hPBR	TCA2TCC	NA
C101020	NVS_NR_hPPARg	TCA2TCC	NA
C101020	NVS_NR_mERa	TCA2TCC	NA
C101020	NVS_TR_hDAT	TCA2TCC	NA
C101020	OT_ER_ERbERb_1440	TCA2TCC	NA
C101053	ACEA_T47D_80hr_Positive	TCA2TCC	NA
C101053	ATG_AP_1_CIS_up	TCA2TCC	NA
C101053	ATG_Ahr_CIS_up	TCA2TCC	NA
C101053	ATG_BRE_CIS_up	TCA2TCC	NA
C101053	ATG_CMV_CIS_up	TCA2TCC	NA
C101053	ATG_CRE_CIS_up	TCA2TCC	NA
C101053	ATG_C_EBP_CIS_up	TCA2TCC	NA
C101053	ATG_DR5_CIS_up	TCA2TCC	NA
C101053	ATG_MRE_CIS_up	TCA2TCC	NA
C101053	ATG_NRF2_ARE_CIS_up	TCA2TCC	NA
C101053	ATG_Oct_MLP_CIS_up	TCA2TCC	NA
C101053	ATG_PPARg_TRANS_up	TCA2TCC	NA
C101053	ATG_PPRE_CIS_up	TCA2TCC	NA
C101053	ATG_PXRE_CIS_up	TCA2TCC	NA
C101053	ATG_SREBP_CIS_up	TCA2TCC	NA
C101053	ATG_VDRE_CIS_up	TCA2TCC	NA
C101053	BSK_BE3C_uPAR_up	TCA2TCC	NA
C101053	BSK_hDFCGF_IP10_down	TCA2TCC	NA
C101053	BSK_hDFCGF_MCSF_down	TCA2TCC	NA
C101053	BSK_hDFCGF_MIG_down	TCA2TCC	NA
C101053	BSK_hDFCGF_PAI1_down	TCA2TCC	NA
C101053	BSK_hDFCGF_Proliferation_down	TCA2TCC	NA
C101053	BSK_hDFCGF_SRB_down	TCA2TCC	NA
C101053	BSK_hDFCGF_VCAM1_down	TCA2TCC	NA
C101053	NVS_ENZ_hCK2a2b2	TCA2TCC	NA
C101053	NVS_ENZ_hEphA2	TCA2TCC	NA
C101053	NVS_ENZ_hMAPKAPK2	TCA2TCC	NA
C101053	NVS_ENZ_hMMP7	TCA2TCC	NA
C101053	NVS_ENZ_hTrkA	TCA2TCC	NA
C101053	NVS_GPCR_rGHB	TCA2TCC	NA
C101053	NVS_MP_hPBR	TCA2TCC	NA
C101053	NVS_MP_rPBR	TCA2TCC	NA
C101053	NVS_NR_hCAR_Antagonist	TCA2TCC	NA
C101053	NVS_NR_hTRa_Antagonist	TCA2TCC	NA
C101053	NVS_TR_rVMAT2	TCA2TCC	NA
C101053	Tox21_ARE_BLA_agonist_ratio	TCA2TCC	NA
C101053	Tox21_TR_LUC_GH3_Agonist	TCA2TCC	NA
C101100	BSK_BE3C_HLADR_up	TCA2TCC	NA
C101100	BSK_CASM3C_MCP1_down	TCA2TCC	NA
C101100	BSK_KF3CT_IL1a_up	TCA2TCC	NA
C101100	BSK_KF3CT_MCP1_up	TCA2TCC	NA
C101100	NVS_ENZ_hCK2a2b2	TCA2TCC	NA
C101100	NVS_TR_hNET	TCA2TCC	NA
C101202	ACEA_T47D_80hr_Negative	TCA2TCC	NA
C101202	APR_HepG2_CellCycleArrest_24h_dn	TCA2TCC	NA
C101202	APR_HepG2_CellCycleArrest_72h_dn	TCA2TCC	NA
C101202	APR_HepG2_CellLoss_24h_dn	TCA2TCC	NA
C101202	APR_HepG2_CellLoss_72h_dn	TCA2TCC	NA
C101202	APR_HepG2_MicrotubuleCSK_72h_up	TCA2TCC	NA
C101202	APR_HepG2_MitoMass_72h_dn	TCA2TCC	NA
C101202	APR_HepG2_MitoMembPot_24h_dn	TCA2TCC	NA
C101202	APR_HepG2_MitoMembPot_72h_dn	TCA2TCC	NA
C101202	APR_HepG2_MitoticArrest_24h_up	TCA2TCC	NA
C101202	APR_HepG2_MitoticArrest_72h_up	TCA2TCC	NA
C101202	APR_HepG2_OxidativeStress_24h_up	TCA2TCC	NA
C101202	APR_HepG2_OxidativeStress_72h_up	TCA2TCC	NA
C101202	APR_HepG2_StressKinase_72h_up	TCA2TCC	NA
C101202	APR_HepG2_p53Act_24h_up	TCA2TCC	NA
C101202	APR_HepG2_p53Act_72h_up	TCA2TCC	NA
C101202	ATG_AP_1_CIS_up	TCA2TCC	NA
C101202	ATG_Ahr_CIS_up	TCA2TCC	NA
C101202	ATG_BRE_CIS_up	TCA2TCC	NA
C101202	ATG_CRE_CIS_up	TCA2TCC	NA
C101202	ATG_NF_kB_CIS_up	TCA2TCC	NA
C101202	ATG_NRF2_ARE_CIS_up	TCA2TCC	NA
C101202	ATG_Oct_MLP_CIS_up	TCA2TCC	NA
C101202	ATG_PPRE_CIS_up	TCA2TCC	NA
C101202	ATG_RORE_CIS_up	TCA2TCC	NA
C101202	ATG_VDRE_CIS_up	TCA2TCC	NA
C101202	ATG_Xbp1_CIS_up	TCA2TCC	NA
C101202	BSK_3C_HLADR_down	TCA2TCC	NA
C101202	BSK_3C_IL8_down	TCA2TCC	NA
C101202	BSK_3C_MCP1_down	TCA2TCC	NA
C101202	BSK_3C_Proliferation_down	TCA2TCC	NA
C101202	BSK_3C_SRB_down	TCA2TCC	NA
C101202	BSK_3C_VCAM1_down	TCA2TCC	NA
C101202	BSK_3C_uPAR_down	TCA2TCC	NA
C101202	BSK_4H_Eotaxin3_down	TCA2TCC	NA
C101202	BSK_4H_MCP1_down	TCA2TCC	NA
C101202	BSK_4H_Pselectin_down	TCA2TCC	NA
C101202	BSK_4H_SRB_down	TCA2TCC	NA
C101202	BSK_4H_VCAM1_down	TCA2TCC	NA
C101202	BSK_4H_VEGFRII_down	TCA2TCC	NA
C101202	BSK_4H_uPAR_down	TCA2TCC	NA
C101202	BSK_BE3C_HLADR_down	TCA2TCC	NA
C101202	BSK_BE3C_IP10_down	TCA2TCC	NA
C101202	BSK_BE3C_MIG_down	TCA2TCC	NA
C101202	BSK_BE3C_PAI1_down	TCA2TCC	NA
C101202	BSK_BE3C_tPA_down	TCA2TCC	NA
C101202	BSK_BE3C_uPAR_down	TCA2TCC	NA
C101202	BSK_CASM3C_HLADR_down	TCA2TCC	NA
C101202	BSK_CASM3C_IL6_up	TCA2TCC	NA
C101202	BSK_CASM3C_LDLR_down	TCA2TCC	NA
C101202	BSK_CASM3C_MCSF_down	TCA2TCC	NA
C101202	BSK_CASM3C_Proliferation_down	TCA2TCC	NA
C101202	BSK_CASM3C_SAA_down	TCA2TCC	NA
C101202	BSK_CASM3C_SRB_down	TCA2TCC	NA
C101202	BSK_CASM3C_Thrombomodulin_up	TCA2TCC	NA
C101202	BSK_CASM3C_TissueFactor_down	TCA2TCC	NA
C101202	BSK_CASM3C_uPAR_down	TCA2TCC	NA
C101202	BSK_KF3CT_MMP9_down	TCA2TCC	NA
C101202	BSK_LPS_CD40_down	TCA2TCC	NA
C101202	BSK_LPS_Eselectin_down	TCA2TCC	NA
C101202	BSK_LPS_IL1a_down	TCA2TCC	NA
C101202	BSK_LPS_IL8_down	TCA2TCC	NA
C101202	BSK_LPS_MCP1_down	TCA2TCC	NA
C101202	BSK_LPS_MCSF_down	TCA2TCC	NA
C101202	BSK_LPS_PGE2_down	TCA2TCC	NA
C101202	BSK_LPS_SRB_down	TCA2TCC	NA
C101202	BSK_LPS_TNFa_down	TCA2TCC	NA
C101202	BSK_LPS_TissueFactor_down	TCA2TCC	NA
C101202	BSK_LPS_VCAM1_down	TCA2TCC	NA
C101202	BSK_SAg_CD38_down	TCA2TCC	NA
C101202	BSK_SAg_CD40_down	TCA2TCC	NA
C101202	BSK_SAg_CD69_down	TCA2TCC	NA
C101202	BSK_SAg_Eselectin_down	TCA2TCC	NA
C101202	BSK_SAg_IL8_down	TCA2TCC	NA
C101202	BSK_SAg_MCP1_down	TCA2TCC	NA
C101202	BSK_SAg_MIG_down	TCA2TCC	NA
C101202	BSK_SAg_PBMCCytotoxicity_down	TCA2TCC	NA
C101202	BSK_SAg_Proliferation_down	TCA2TCC	NA
C101202	BSK_SAg_SRB_down	TCA2TCC	NA
C101202	BSK_hDFCGF_CollagenIII_down	TCA2TCC	NA
C101202	BSK_hDFCGF_EGFR_down	TCA2TCC	NA
C101202	BSK_hDFCGF_IP10_down	TCA2TCC	NA
C101202	BSK_hDFCGF_MCSF_down	TCA2TCC	NA
C101202	BSK_hDFCGF_MIG_down	TCA2TCC	NA
C101202	BSK_hDFCGF_MMP1_up	TCA2TCC	NA
C101202	BSK_hDFCGF_PAI1_down	TCA2TCC	NA
C101202	BSK_hDFCGF_Proliferation_down	TCA2TCC	NA
C101202	BSK_hDFCGF_SRB_down	TCA2TCC	NA
C101202	BSK_hDFCGF_VCAM1_down	TCA2TCC	NA
C101202	NVS_ADME_hCYP2C19	TCA2TCC	NA
C101202	NVS_ENZ_hBACE	TCA2TCC	NA
C101202	NVS_ENZ_rAChE	TCA2TCC	NA
C101202	NVS_TR_hSERT	TCA2TCC	NA
C101202	OT_AR_ARELUC_AG_1440	TCA2TCC	NA
C101202	OT_AR_ARSRC1_0960	TCA2TCC	NA
C101202	Tox21_AR_BLA_Agonist_ratio	TCA2TCC	NA
C101202	Tox21_AR_BLA_Antagonist_ratio	TCA2TCC	NA
C101202	Tox21_AR_BLA_Antagonist_viability	TCA2TCC	NA
C101202	Tox21_AR_LUC_MDAKB2_Antagonist	TCA2TCC	NA
C101202	Tox21_AhR	TCA2TCC	NA
C101202	Tox21_Aromatase_Inhibition	TCA2TCC	NA
C101202	Tox21_ERa_BLA_Antagonist_ratio	TCA2TCC	NA
C101202	Tox21_ERa_LUC_BG1_Antagonist	TCA2TCC	NA
C101202	Tox21_FXR_BLA_antagonist_ratio	TCA2TCC	NA
C101202	Tox21_MitochondrialToxicity_ratio	TCA2TCC	NA
C101202	Tox21_MitochondrialToxicity_viability	TCA2TCC	NA
C101202	Tox21_TR_LUC_GH3_Antagonist	TCA2TCC	NA
C101202	Tox21_VDR_BLA_Agonist_viability	TCA2TCC	NA
C101202	Tox21_p53_BLA_p1_ratio	TCA2TCC	NA
C101202	Tox21_p53_BLA_p2_ratio	TCA2TCC	NA
C101202	Tox21_p53_BLA_p3_ratio	TCA2TCC	NA
C101202	Tox21_p53_BLA_p4_ratio	TCA2TCC	NA
C101202	Tox21_p53_BLA_p5_ratio	TCA2TCC	NA
C101213	ACEA_T47D_80hr_Negative	TCA2TCC	NA
C101213	APR_HepG2_MitoMembPot_72h_up	TCA2TCC	NA
C101213	ATG_BRE_CIS_up	TCA2TCC	NA
C101213	ATG_CMV_CIS_up	TCA2TCC	NA
C101213	ATG_CRE_CIS_up	TCA2TCC	NA
C101213	ATG_C_EBP_CIS_up	TCA2TCC	NA
C101213	ATG_DR5_CIS_up	TCA2TCC	NA
C101213	ATG_EGR_CIS_up	TCA2TCC	NA
C101213	ATG_IR1_CIS_up	TCA2TCC	NA
C101213	ATG_MRE_CIS_up	TCA2TCC	NA
C101213	ATG_Myc_CIS_up	TCA2TCC	NA
C101213	ATG_NFI_CIS_up	TCA2TCC	NA
C101213	ATG_NRF2_ARE_CIS_up	TCA2TCC	NA
C101213	ATG_Oct_MLP_CIS_up	TCA2TCC	NA
C101213	ATG_PBREM_CIS_up	TCA2TCC	NA
C101213	ATG_PPARg_TRANS_up	TCA2TCC	NA
C101213	ATG_PPRE_CIS_up	TCA2TCC	NA
C101213	ATG_PXRE_CIS_up	TCA2TCC	NA
C101213	ATG_PXR_TRANS_up	TCA2TCC	NA
C101213	ATG_RORE_CIS_up	TCA2TCC	NA
C101213	ATG_Sp1_CIS_up	TCA2TCC	NA
C101213	ATG_VDRE_CIS_up	TCA2TCC	NA
C101213	BSK_LPS_PGE2_down	TCA2TCC	NA
C101213	BSK_LPS_SRB_down	TCA2TCC	NA
C101213	BSK_SAg_SRB_down	TCA2TCC	NA
C101213	NVS_ENZ_hES	TCA2TCC	NA
C101213	NVS_GPCR_mCCKAPeripheral	TCA2TCC	NA
C101213	NVS_MP_hPBR	TCA2TCC	NA
C101213	NVS_MP_rPBR	TCA2TCC	NA
C101213	NVS_NR_hAR	TCA2TCC	NA
C101213	NVS_TR_gDAT	TCA2TCC	NA
C101213	NVS_TR_hDAT	TCA2TCC	NA
C101213	NVS_TR_hNET	TCA2TCC	NA
C101213	OT_FXR_FXRSRC1_0480	TCA2TCC	NA
C101213	OT_FXR_FXRSRC1_1440	TCA2TCC	NA
C101213	Tox21_MitochondrialToxicity_ratio	TCA2TCC	NA
C101371	ATG_CMV_CIS_up	TCA2TCC	NA
C101371	ATG_HIF1a_CIS_up	TCA2TCC	NA
C101371	ATG_PPARg_TRANS_up	TCA2TCC	NA
C101371	ATG_PXRE_CIS_up	TCA2TCC	NA
C101371	ATG_PXR_TRANS_up	TCA2TCC	NA
C101371	ATG_RXRb_TRANS_up	TCA2TCC	NA
C101371	NVS_MP_hPBR	TCA2TCC	NA
C101371	NVS_MP_rPBR	TCA2TCC	NA
C101371	OT_ER_ERaERb_1440	TCA2TCC	NA
C101371	OT_ER_ERbERb_1440	TCA2TCC	NA
C101371	Tox21_AhR	TCA2TCC	NA
C101428	OT_FXR_FXRSRC1_0480	TCA2TCC	NA
C101463698	ATG_CMV_CIS_up	TCA2TCC	NA
C101463698	ATG_NRF2_ARE_CIS_up	TCA2TCC	NA
C101463698	ATG_PPARg_TRANS_up	TCA2TCC	NA
C101463698	ATG_PXRE_CIS_up	TCA2TCC	NA
C101463698	ATG_RARa_TRANS_up	TCA2TCC	NA
C101463698	ATG_RARg_TRANS_up	TCA2TCC	NA
C101463698	OT_FXR_FXRSRC1_0480	TCA2TCC	NA
C101463698	OT_NURR1_NURR1RXRa_0480	TCA2TCC	NA
C101463698	Tox21_ARE_BLA_agonist_ratio	TCA2TCC	NA
C101463698	Tox21_AR_BLA_Antagonist_ratio	TCA2TCC	NA
C101463698	Tox21_AR_LUC_MDAKB2_Antagonist	TCA2TCC	NA
C101463698	Tox21_ERa_LUC_BG1_Antagonist	TCA2TCC	NA
C101463698	Tox21_MitochondrialToxicity_ratio	TCA2TCC	NA
C101463698	Tox21_PPARg_BLA_Agonist_ratio	TCA2TCC	NA
C101463698	Tox21_TR_LUC_GH3_Antagonist	TCA2TCC	NA
C101542	APR_HepG2_CellCycleArrest_72h_dn	TCA2TCC	NA
C101542	APR_HepG2_CellLoss_72h_dn	TCA2TCC	NA
C101542	APR_HepG2_MitoMembPot_24h_dn	TCA2TCC	NA
C101542	APR_HepG2_MitoticArrest_72h_up	TCA2TCC	NA
C101542	APR_HepG2_OxidativeStress_24h_up	TCA2TCC	NA
C101542	APR_HepG2_OxidativeStress_72h_up	TCA2TCC	NA
C101542	APR_HepG2_p53Act_72h_up	TCA2TCC	NA
C101542	ATG_CMV_CIS_up	TCA2TCC	NA
C101542	ATG_ERE_CIS_up	TCA2TCC	NA
C101542	ATG_ERa_TRANS_up	TCA2TCC	NA
C101542	ATG_MRE_CIS_up	TCA2TCC	NA
C101542	ATG_NRF2_ARE_CIS_up	TCA2TCC	NA
C101542	ATG_Oct_MLP_CIS_up	TCA2TCC	NA
C101542	ATG_PPRE_CIS_up	TCA2TCC	NA
C101542	ATG_RARb_TRANS_up	TCA2TCC	NA
C101542	BSK_3C_Eselectin_down	TCA2TCC	NA
C101542	BSK_3C_HLADR_down	TCA2TCC	NA
C101542	BSK_3C_Proliferation_down	TCA2TCC	NA
C101542	BSK_3C_SRB_down	TCA2TCC	NA
C101542	BSK_3C_TissueFactor_down	TCA2TCC	NA
C101542	BSK_3C_VCAM1_down	TCA2TCC	NA
C101542	BSK_3C_uPAR_up	TCA2TCC	NA
C101542	BSK_4H_Eotaxin3_down	TCA2TCC	NA
C101542	BSK_4H_Pselectin_down	TCA2TCC	NA
C101542	BSK_4H_VCAM1_down	TCA2TCC	NA
C101542	BSK_4H_uPAR_up	TCA2TCC	NA
C101542	BSK_BE3C_MMP1_up	TCA2TCC	NA
C101542	BSK_BE3C_uPA_up	TCA2TCC	NA
C101542	BSK_CASM3C_Proliferation_down	TCA2TCC	NA
C101542	BSK_CASM3C_Thrombomodulin_up	TCA2TCC	NA
C101542	BSK_CASM3C_uPAR_up	TCA2TCC	NA
C101542	BSK_KF3CT_IP10_down	TCA2TCC	NA
C101542	BSK_KF3CT_MMP9_down	TCA2TCC	NA
C101542	BSK_KF3CT_TGFb1_down	TCA2TCC	NA
C101542	BSK_LPS_CD40_down	TCA2TCC	NA
C101542	BSK_LPS_Eselectin_down	TCA2TCC	NA
C101542	BSK_LPS_IL1a_down	TCA2TCC	NA
C101542	BSK_LPS_IL8_down	TCA2TCC	NA
C101542	BSK_LPS_MCP1_down	TCA2TCC	NA
C101542	BSK_LPS_MCSF_down	TCA2TCC	NA
C101542	BSK_LPS_PGE2_down	TCA2TCC	NA
C101542	BSK_LPS_TNFa_down	TCA2TCC	NA
C101542	BSK_LPS_TissueFactor_down	TCA2TCC	NA
C101542	BSK_LPS_VCAM1_down	TCA2TCC	NA
C101542	BSK_SAg_CD38_down	TCA2TCC	NA
C101542	BSK_SAg_CD40_down	TCA2TCC	NA
C101542	BSK_SAg_CD69_down	TCA2TCC	NA
C101542	BSK_SAg_Eselectin_down	TCA2TCC	NA
C101542	BSK_SAg_IL8_down	TCA2TCC	NA
C101542	BSK_SAg_MCP1_down	TCA2TCC	NA
C101542	BSK_SAg_MIG_down	TCA2TCC	NA
C101542	BSK_SAg_PBMCCytotoxicity_down	TCA2TCC	NA
C101542	BSK_SAg_Proliferation_down	TCA2TCC	NA
C101542	BSK_hDFCGF_Proliferation_down	TCA2TCC	NA
C101542	BSK_hDFCGF_VCAM1_down	TCA2TCC	NA
C101542	NVS_ADME_hCYP1A2	TCA2TCC	NA
C101542	NVS_ADME_hCYP2B6	TCA2TCC	NA
C101542	NVS_ADME_hCYP2C19	TCA2TCC	NA
C101542	NVS_ADME_hCYP2C9	TCA2TCC	NA
C101542	NVS_ADME_hCYP2D6	TCA2TCC	NA
C101542	NVS_ADME_hCYP3A4	TCA2TCC	NA
C101542	NVS_ENZ_hDUSP3	TCA2TCC	NA
C101542	NVS_ENZ_hES	TCA2TCC	NA
C101542	NVS_ENZ_hMMP13	TCA2TCC	NA
C101542	NVS_ENZ_hPTPRC	TCA2TCC	NA
C101542	NVS_ENZ_hPTPRM	TCA2TCC	NA
C101542	NVS_ENZ_rACFSKBinding	TCA2TCC	NA
C101542	NVS_ENZ_rMAOBC	TCA2TCC	NA
C101542	NVS_ENZ_rabI2C	TCA2TCC	NA
C101542	NVS_GPCR_g5HT4	TCA2TCC	NA
C101542	NVS_GPCR_gH2	TCA2TCC	NA
C101542	NVS_GPCR_gOpiateK	TCA2TCC	NA
C101542	NVS_GPCR_h5HT5A	TCA2TCC	NA
C101542	NVS_GPCR_h5HT7	TCA2TCC	NA
C101542	NVS_GPCR_hAdoRA1	TCA2TCC	NA
C101542	NVS_GPCR_hAdra2A	TCA2TCC	NA
C101542	NVS_GPCR_hDRD1	TCA2TCC	NA
C101542	NVS_GPCR_hETA	TCA2TCC	NA
C101542	NVS_GPCR_hM2	TCA2TCC	NA
C101542	NVS_GPCR_hM3	TCA2TCC	NA
C101542	NVS_GPCR_hM4	TCA2TCC	NA
C101542	NVS_GPCR_hM5	TCA2TCC	NA
C101542	NVS_GPCR_rAdra1B	TCA2TCC	NA
C101542	NVS_GPCR_rAdra1_NonSelective	TCA2TCC	NA
C101542	NVS_GPCR_rAdra2_NonSelective	TCA2TCC	NA
C101542	NVS_GPCR_rH3	TCA2TCC	NA
C101542	NVS_IC_hKhERGCh	TCA2TCC	NA
C101542	NVS_IC_rNaCh_site2	TCA2TCC	NA
C101542	NVS_MP_hPBR	TCA2TCC	NA
C101542	NVS_NR_hGR	TCA2TCC	NA
C101542	NVS_NR_hPPARa	TCA2TCC	NA
C101542	NVS_TR_gDAT	TCA2TCC	NA
C101542	NVS_TR_hDAT	TCA2TCC	NA
C101542	NVS_TR_hNET	TCA2TCC	NA
C101542	NVS_TR_rNET	TCA2TCC	NA
C101542	NVS_TR_rVMAT2	TCA2TCC	NA
C101542	OT_FXR_FXRSRC1_1440	TCA2TCC	NA
C101542	Tox21_ARE_BLA_agonist_ratio	TCA2TCC	NA
C101542	Tox21_AR_BLA_Antagonist_ratio	TCA2TCC	NA
C101542	Tox21_TR_LUC_GH3_Antagonist	TCA2TCC	NA
C101553	APR_HepG2_CellLoss_24h_dn	TCA2TCC	NA
C101553	APR_HepG2_CellLoss_72h_dn	TCA2TCC	NA
C101553	APR_HepG2_MitoticArrest_72h_up	TCA2TCC	NA
C101553	ATG_AP_1_CIS_up	TCA2TCC	NA
C101553	ATG_CMV_CIS_up	TCA2TCC	NA
C101553	ATG_ERE_CIS_up	TCA2TCC	NA
C101553	ATG_ERa_TRANS_up	TCA2TCC	NA
C101553	ATG_NFI_CIS_up	TCA2TCC	NA
C101553	ATG_NRF1_CIS_up	TCA2TCC	NA
C101553	ATG_NRF2_ARE_CIS_up	TCA2TCC	NA
C101553	ATG_Oct_MLP_CIS_up	TCA2TCC	NA
C101553	ATG_RXRb_TRANS_up	TCA2TCC	NA
C101553	ATG_SREBP_CIS_up	TCA2TCC	NA
C101553	ATG_Sp1_CIS_up	TCA2TCC	NA
C101553	BSK_3C_Eselectin_down	TCA2TCC	NA
C101553	BSK_3C_HLADR_down	TCA2TCC	NA
C101553	BSK_3C_IL8_down	TCA2TCC	NA
C101553	BSK_3C_Proliferation_down	TCA2TCC	NA
C101553	BSK_3C_SRB_down	TCA2TCC	NA
C101553	OT_ER_ERaERa_0480	TCA2TCC	NA
C101553	OT_ER_ERaERb_0480	TCA2TCC	NA
C101611	ACEA_T47D_80hr_Positive	TCA2TCC	NA
C101611	APR_HepG2_CellCycleArrest_72h_dn	TCA2TCC	NA
C101611	APR_HepG2_CellLoss_72h_dn	TCA2TCC	NA
C101611	APR_HepG2_MicrotubuleCSK_72h_up	TCA2TCC	NA
C101611	APR_HepG2_MitoMembPot_24h_dn	TCA2TCC	NA
