ID	altID	ClassUpper	ClassLower	Group
APR_HepG2_CellCycleArrest_72h_up	APR_HepG2_CellCycleArrest_72h_up	cell cycle	arrest	Toxcast
APR_HepG2_CellLoss_72h_dn	APR_HepG2_CellLoss_72h_dn	cell death	cytotoxicity	Toxcast
APR_HepG2_CellLoss_72h_up	APR_HepG2_CellLoss_72h_up	cell death	proliferation	Toxcast
APR_HepG2_MicrotubuleCSK_72h_dn	APR_HepG2_MicrotubuleCSK_72h_dn	protein stabilization	cell conformation	Toxcast
APR_HepG2_MicrotubuleCSK_72h_up	APR_HepG2_MicrotubuleCSK_72h_up	protein stabilization	cell conformation	Toxcast
APR_HepG2_MitoMass_72h_dn	APR_HepG2_MitoMass_72h_dn	cell cycle	organelle conformation	Toxcast
APR_HepG2_MitoMass_72h_up	APR_HepG2_MitoMass_72h_up	cell cycle	organelle conformation	Toxcast
APR_HepG2_MitoMembPot_72h_dn	APR_HepG2_MitoMembPot_72h_dn	mitochondrial depolarization	organelle conformation	Toxcast
APR_HepG2_MitoMembPot_72h_up	APR_HepG2_MitoMembPot_72h_up	mitochondrial depolarization	organelle conformation	Toxcast
APR_HepG2_MitoticArrest_72h_dn	APR_HepG2_MitoticArrest_72h_dn	cell cycle	proliferation	Toxcast
APR_HepG2_MitoticArrest_72h_up	APR_HepG2_MitoticArrest_72h_up	cell cycle	arrest	Toxcast
APR_HepG2_NuclearSize_72h_dn	APR_HepG2_NuclearSize_72h_dn	cell cycle	organelle conformation	Toxcast
APR_HepG2_NuclearSize_72h_up	APR_HepG2_NuclearSize_72h_up	cell cycle	organelle conformation	Toxcast
APR_HepG2_OxidativeStress_72h_dn	APR_HepG2_OxidativeStress_72h_dn	oxidative phosphorylation	stress response	Toxcast
APR_HepG2_OxidativeStress_72h_up	APR_HepG2_OxidativeStress_72h_up	oxidative phosphorylation	stress response	Toxcast
APR_HepG2_p53Act_72h_dn	APR_HepG2_p53Act_72h_dn	cell death	tumor suppressor	Toxcast
APR_HepG2_p53Act_72h_up	APR_HepG2_p53Act_72h_up	cell death	tumor suppressor	Toxcast
APR_HepG2_StressKinase_72h_dn	APR_HepG2_StressKinase_72h_dn	oxidative phosphorylation	stress response	Toxcast
APR_HepG2_StressKinase_72h_up	APR_HepG2_StressKinase_72h_up	oxidative phosphorylation	stress response	Toxcast
ATG_Ahr_CIS_up	ATG_Ahr_CIS_up	regulation of transcription factor activity	basic helix-loop-helix protein	Toxcast
ATG_AP_1_CIS_up	ATG_AP_1_CIS_up	regulation of transcription factor activity	basic leucine zipper	Toxcast
ATG_AP_2_CIS_up	ATG_AP_2_CIS_up	regulation of transcription factor activity	basic helix-turn-helix leucine zipper	Toxcast
ATG_BRE_CIS_up	ATG_BRE_CIS_up	regulation of transcription factor activity	Smad protein	Toxcast
ATG_C_EBP_CIS_up	ATG_C_EBP_CIS_up	regulation of transcription factor activity	basic leucine zipper	Toxcast
ATG_CMV_CIS_up	ATG_CMV_CIS_up	regulation of transcription factor activity	internal marker	Toxcast
ATG_CRE_CIS_up	ATG_CRE_CIS_up	regulation of transcription factor activity	basic leucine zipper	Toxcast
ATG_DR4_LXR_CIS_up	ATG_DR4_LXR_CIS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_DR5_CIS_up	ATG_DR5_CIS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_E_Box_CIS_up	ATG_E_Box_CIS_up	regulation of transcription factor activity	basic helix-loop-helix protein	Toxcast
ATG_E2F_CIS_up	ATG_E2F_CIS_up	regulation of transcription factor activity	E2F transcription factor	Toxcast
ATG_EGR_CIS_up	ATG_EGR_CIS_up	regulation of transcription factor activity	zinc finger	Toxcast
ATG_ERE_CIS_up	ATG_ERE_CIS_up	regulation of transcription factor activity	steroidal	Toxcast
ATG_Ets_CIS_up	ATG_Ets_CIS_up	regulation of transcription factor activity	winged helix-turn-helix	Toxcast
ATG_FoxA2_CIS_up	ATG_FoxA2_CIS_up	regulation of transcription factor activity	forkhead box protein	Toxcast
ATG_FoxO_CIS_up	ATG_FoxO_CIS_up	regulation of transcription factor activity	forkhead box protein	Toxcast
ATG_GATA_CIS_up	ATG_GATA_CIS_up	regulation of transcription factor activity	GATA proteins	Toxcast
ATG_GLI_CIS_up	ATG_GLI_CIS_up	regulation of transcription factor activity	zinc finger	Toxcast
ATG_GRE_CIS_up	ATG_GRE_CIS_up	regulation of transcription factor activity	steroidal	Toxcast
ATG_HIF1a_CIS_up	ATG_HIF1a_CIS_up	regulation of transcription factor activity	basic helix-loop-helix protein	Toxcast
ATG_HNF6_CIS_up	ATG_HNF6_CIS_up	regulation of transcription factor activity	homeobox protein	Toxcast
ATG_HSE_CIS_up	ATG_HSE_CIS_up	regulation of transcription factor activity	heat shock protein	Toxcast
ATG_IR1_CIS_up	ATG_IR1_CIS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_ISRE_CIS_up	ATG_ISRE_CIS_up	regulation of transcription factor activity	interferon regulatory factors	Toxcast
ATG_M_06_CIS_up	ATG_M_06_CIS_up	regulation of transcription factor activity	internal marker	Toxcast
ATG_M_19_CIS_up	ATG_M_19_CIS_up	regulation of transcription factor activity	internal marker	Toxcast
ATG_M_32_CIS_up	ATG_M_32_CIS_up	regulation of transcription factor activity	internal marker	Toxcast
ATG_M_61_CIS_up	ATG_M_61_CIS_up	regulation of transcription factor activity	internal marker	Toxcast
ATG_MRE_CIS_up	ATG_MRE_CIS_up	regulation of transcription factor activity	zinc finger	Toxcast
ATG_Myb_CIS_up	ATG_Myb_CIS_up	regulation of transcription factor activity	MYB proteins	Toxcast
ATG_Myc_CIS_up	ATG_Myc_CIS_up	regulation of transcription factor activity	basic helix-loop-helix leucine zipper	Toxcast
ATG_NF_kB_CIS_up	ATG_NF_kB_CIS_up	regulation of transcription factor activity	NF-kappa B	Toxcast
ATG_NFI_CIS_up	ATG_NFI_CIS_up	regulation of transcription factor activity	nuclear factor I	Toxcast
ATG_NRF1_CIS_up	ATG_NRF1_CIS_up	regulation of transcription factor activity	nuclear respiratory factors	Toxcast
ATG_NRF2_ARE_CIS_up	ATG_NRF2_ARE_CIS_up	regulation of transcription factor activity	basic leucine zipper	Toxcast
ATG_Oct_MLP_CIS_up	ATG_Oct_MLP_CIS_up	regulation of transcription factor activity	POU domain protein	Toxcast
ATG_p53_CIS_up	ATG_p53_CIS_up	regulation of transcription factor activity	tumor suppressor	Toxcast
ATG_Pax6_CIS_up	ATG_Pax6_CIS_up	regulation of transcription factor activity	paired box protein	Toxcast
ATG_PBREM_CIS_up	ATG_PBREM_CIS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_PPRE_CIS_up	ATG_PPRE_CIS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_PXRE_CIS_up	ATG_PXRE_CIS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_RORE_CIS_up	ATG_RORE_CIS_up	regulation of transcription factor activity	orphan	Toxcast
ATG_Sox_CIS_up	ATG_Sox_CIS_up	regulation of transcription factor activity	HMG box protein	Toxcast
ATG_Sp1_CIS_up	ATG_Sp1_CIS_up	regulation of transcription factor activity	zinc finger	Toxcast
ATG_SREBP_CIS_up	ATG_SREBP_CIS_up	regulation of transcription factor activity	basic helix-loop-helix leucine zipper	Toxcast
ATG_STAT3_CIS_up	ATG_STAT3_CIS_up	regulation of transcription factor activity	stat protein	Toxcast
ATG_TA_CIS_up	ATG_TA_CIS_up	regulation of transcription factor activity	internal marker	Toxcast
ATG_TAL_CIS_up	ATG_TAL_CIS_up	regulation of transcription factor activity	internal marker	Toxcast
ATG_TCF_b_cat_CIS_up	ATG_TCF_b_cat_CIS_up	regulation of transcription factor activity	HMG box protein	Toxcast
ATG_TGFb_CIS_up	ATG_TGFb_CIS_up	regulation of transcription factor activity	transforming growth factor beta	Toxcast
ATG_VDRE_CIS_up	ATG_VDRE_CIS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_Xbp1_CIS_up	ATG_Xbp1_CIS_up	regulation of transcription factor activity	basic leucine zipper	Toxcast
ATG_AR_TRANS_up	ATG_AR_TRANS_up	regulation of transcription factor activity	steroidal	Toxcast
ATG_CAR_TRANS_up	ATG_CAR_TRANS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_ERa_TRANS_up	ATG_ERa_TRANS_up	regulation of transcription factor activity	steroidal	Toxcast
ATG_ERRa_TRANS_up	ATG_ERRa_TRANS_up	regulation of transcription factor activity	steroidal	Toxcast
ATG_ERRg_TRANS_up	ATG_ERRg_TRANS_up	regulation of transcription factor activity	steroidal	Toxcast
ATG_FXR_TRANS_up	ATG_FXR_TRANS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_GAL4_TRANS_up	ATG_GAL4_TRANS_up	regulation of transcription factor activity	baseline control	Toxcast
ATG_GR_TRANS_up	ATG_GR_TRANS_up	regulation of transcription factor activity	steroidal	Toxcast
ATG_HNF4a_TRANS_up	ATG_HNF4a_TRANS_up	regulation of transcription factor activity	orphan	Toxcast
ATG_Hpa5_TRANS_up	ATG_Hpa5_TRANS_up	regulation of transcription factor activity	internal marker	Toxcast
ATG_LXRa_TRANS_up	ATG_LXRa_TRANS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_LXRb_TRANS_up	ATG_LXRb_TRANS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_M_06_TRANS_up	ATG_M_06_TRANS_up	regulation of transcription factor activity	internal marker	Toxcast
ATG_M_19_TRANS_up	ATG_M_19_TRANS_up	regulation of transcription factor activity	internal marker	Toxcast
ATG_M_32_TRANS_up	ATG_M_32_TRANS_up	regulation of transcription factor activity	internal marker	Toxcast
ATG_M_61_TRANS_up	ATG_M_61_TRANS_up	regulation of transcription factor activity	internal marker	Toxcast
ATG_NURR1_TRANS_up	ATG_NURR1_TRANS_up	regulation of transcription factor activity	orphan	Toxcast
ATG_PPARa_TRANS_up	ATG_PPARa_TRANS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_PPARd_TRANS_up	ATG_PPARd_TRANS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_PPARg_TRANS_up	ATG_PPARg_TRANS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_PXR_TRANS_up	ATG_PXR_TRANS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_RARa_TRANS_up	ATG_RARa_TRANS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_RARb_TRANS_up	ATG_RARb_TRANS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_RARg_TRANS_up	ATG_RARg_TRANS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_RORb_TRANS_up	ATG_RORb_TRANS_up	regulation of transcription factor activity	orphan	Toxcast
ATG_RORg_TRANS_up	ATG_RORg_TRANS_up	regulation of transcription factor activity	orphan	Toxcast
ATG_RXRa_TRANS_up	ATG_RXRa_TRANS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_RXRb_TRANS_up	ATG_RXRb_TRANS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_THRa1_TRANS_up	ATG_THRa1_TRANS_up	regulation of transcription factor activity	non-steroidal	Toxcast
ATG_VDR_TRANS_up	ATG_VDR_TRANS_up	regulation of transcription factor activity	non-steroidal	Toxcast
BSK_3C_Eselectin_down	BSK_3C_Eselectin_down	regulation of gene expression	selectins	Toxcast
BSK_3C_Eselectin_up	BSK_3C_Eselectin_up	regulation of gene expression	selectins	Toxcast
BSK_3C_HLADR_down	BSK_3C_HLADR_down	regulation of gene expression	MHC Class II	Toxcast
BSK_3C_HLADR_up	BSK_3C_HLADR_up	regulation of gene expression	MHC Class II	Toxcast
BSK_3C_ICAM1_down	BSK_3C_ICAM1_down	regulation of gene expression	Immunoglobulin CAM	Toxcast
BSK_3C_ICAM1_up	BSK_3C_ICAM1_up	regulation of gene expression	Immunoglobulin CAM	Toxcast
BSK_3C_IL8_down	BSK_3C_IL8_down	regulation of gene expression	interleukins	Toxcast
BSK_3C_IL8_up	BSK_3C_IL8_up	regulation of gene expression	interleukins	Toxcast
BSK_3C_MCP1_down	BSK_3C_MCP1_down	regulation of gene expression	chemotactic factor	Toxcast
BSK_3C_MCP1_up	BSK_3C_MCP1_up	regulation of gene expression	chemotactic factor	Toxcast
BSK_3C_MIG_down	BSK_3C_MIG_down	regulation of gene expression	chemotactic factor	Toxcast
BSK_3C_MIG_up	BSK_3C_MIG_up	regulation of gene expression	chemotactic factor	Toxcast
BSK_3C_Proliferation_down	BSK_3C_Proliferation_down	cell proliferation	cytotoxicity	Toxcast
BSK_3C_Proliferation_up	BSK_3C_Proliferation_up	cell proliferation	proliferation	Toxcast
BSK_3C_SRB_down	BSK_3C_SRB_down	cell death	cytotoxicity	Toxcast
BSK_3C_SRB_up	BSK_3C_SRB_up	cell death	cell conformation	Toxcast
BSK_3C_Thrombomodulin_down	BSK_3C_Thrombomodulin_down	regulation of gene expression	rhodopsin-like receptor	Toxcast
BSK_3C_Thrombomodulin_up	BSK_3C_Thrombomodulin_up	regulation of gene expression	rhodopsin-like receptor	Toxcast
BSK_3C_TissueFactor_down	BSK_3C_TissueFactor_down	regulation of gene expression	coagulation factor	Toxcast
BSK_3C_TissueFactor_up	BSK_3C_TissueFactor_up	regulation of gene expression	coagulation factor	Toxcast
BSK_3C_uPAR_down	BSK_3C_uPAR_down	regulation of gene expression	plasmogen activator	Toxcast
BSK_3C_uPAR_up	BSK_3C_uPAR_up	regulation of gene expression	plasmogen activator	Toxcast
BSK_3C_VCAM1_down	BSK_3C_VCAM1_down	regulation of gene expression	Immunoglobulin CAM	Toxcast
BSK_3C_VCAM1_up	BSK_3C_VCAM1_up	regulation of gene expression	Immunoglobulin CAM	Toxcast
BSK_3C_Vis_down	BSK_3C_Vis_down	cell morphology	cell conformation	Toxcast
BSK_3C_Vis_up	BSK_3C_Vis_up	cell morphology	cell conformation	Toxcast
BSK_4H_Eotaxin3_down	BSK_4H_Eotaxin3_down	regulation of gene expression	chemotactic factor	Toxcast
BSK_4H_Eotaxin3_up	BSK_4H_Eotaxin3_up	regulation of gene expression	chemotactic factor	Toxcast
BSK_4H_MCP1_down	BSK_4H_MCP1_down	regulation of gene expression	chemotactic factor	Toxcast
BSK_4H_MCP1_up	BSK_4H_MCP1_up	regulation of gene expression	chemotactic factor	Toxcast
BSK_4H_Pselectin_down	BSK_4H_Pselectin_down	regulation of gene expression	selectins	Toxcast
BSK_4H_Pselectin_up	BSK_4H_Pselectin_up	regulation of gene expression	selectins	Toxcast
BSK_4H_SRB_down	BSK_4H_SRB_down	cell death	cytotoxicity	Toxcast
BSK_4H_SRB_up	BSK_4H_SRB_up	cell death	cell conformation	Toxcast
BSK_4H_uPAR_down	BSK_4H_uPAR_down	regulation of gene expression	plasmogen activator	Toxcast
BSK_4H_uPAR_up	BSK_4H_uPAR_up	regulation of gene expression	plasmogen activator	Toxcast
BSK_4H_VCAM1_down	BSK_4H_VCAM1_down	regulation of gene expression	Immunoglobulin CAM	Toxcast
BSK_4H_VCAM1_up	BSK_4H_VCAM1_up	regulation of gene expression	Immunoglobulin CAM	Toxcast
BSK_4H_VEGFRII_down	BSK_4H_VEGFRII_down	regulation of gene expression	receptor tyrosine kinase	Toxcast
BSK_4H_VEGFRII_up	BSK_4H_VEGFRII_up	regulation of gene expression	receptor tyrosine kinase	Toxcast
BSK_BE3C_HLADR_down	BSK_BE3C_HLADR_down	regulation of gene expression	MHC Class II	Toxcast
BSK_BE3C_HLADR_up	BSK_BE3C_HLADR_up	regulation of gene expression	MHC Class II	Toxcast
BSK_BE3C_IL1a_down	BSK_BE3C_IL1a_down	regulation of gene expression	interleukins	Toxcast
BSK_BE3C_IL1a_up	BSK_BE3C_IL1a_up	regulation of gene expression	interleukins	Toxcast
BSK_BE3C_IP10_down	BSK_BE3C_IP10_down	regulation of gene expression	chemotactic factor	Toxcast
BSK_BE3C_IP10_up	BSK_BE3C_IP10_up	regulation of gene expression	chemotactic factor	Toxcast
BSK_BE3C_MIG_down	BSK_BE3C_MIG_down	regulation of gene expression	chemotactic factor	Toxcast
BSK_BE3C_MIG_up	BSK_BE3C_MIG_up	regulation of gene expression	chemotactic factor	Toxcast
BSK_BE3C_MMP1_down	BSK_BE3C_MMP1_down	regulation of gene expression	matrix metalloproteinase	Toxcast
BSK_BE3C_MMP1_up	BSK_BE3C_MMP1_up	regulation of gene expression	matrix metalloproteinase	Toxcast
BSK_BE3C_PAI1_down	BSK_BE3C_PAI1_down	regulation of gene expression	plasmogen activator inhibitor	Toxcast
BSK_BE3C_PAI1_up	BSK_BE3C_PAI1_up	regulation of gene expression	plasmogen activator inhibitor	Toxcast
BSK_BE3C_SRB_down	BSK_BE3C_SRB_down	cell death	cytotoxicity	Toxcast
BSK_BE3C_SRB_up	BSK_BE3C_SRB_up	cell death	cell conformation	Toxcast
BSK_BE3C_TGFb1_down	BSK_BE3C_TGFb1_down	regulation of gene expression	transforming growth factor beta	Toxcast
BSK_BE3C_TGFb1_up	BSK_BE3C_TGFb1_up	regulation of gene expression	transforming growth factor beta	Toxcast
BSK_BE3C_tPA_down	BSK_BE3C_tPA_down	regulation of gene expression	serine protease	Toxcast
BSK_BE3C_tPA_up	BSK_BE3C_tPA_up	regulation of gene expression	serine protease	Toxcast
BSK_BE3C_uPA_down	BSK_BE3C_uPA_down	regulation of gene expression	serine protease	Toxcast
BSK_BE3C_uPA_up	BSK_BE3C_uPA_up	regulation of gene expression	serine protease	Toxcast
BSK_BE3C_uPAR_down	BSK_BE3C_uPAR_down	regulation of gene expression	plasmogen activator	Toxcast
BSK_BE3C_uPAR_up	BSK_BE3C_uPAR_up	regulation of gene expression	plasmogen activator	Toxcast
BSK_CASM3C_HLADR_down	BSK_CASM3C_HLADR_down	regulation of gene expression	MHC Class II	Toxcast
BSK_CASM3C_HLADR_up	BSK_CASM3C_HLADR_up	regulation of gene expression	MHC Class II	Toxcast
BSK_CASM3C_IL6_down	BSK_CASM3C_IL6_down	regulation of gene expression	interleukins	Toxcast
BSK_CASM3C_IL6_up	BSK_CASM3C_IL6_up	regulation of gene expression	interleukins	Toxcast
BSK_CASM3C_IL8_down	BSK_CASM3C_IL8_down	regulation of gene expression	interleukins	Toxcast
BSK_CASM3C_IL8_up	BSK_CASM3C_IL8_up	regulation of gene expression	interleukins	Toxcast
BSK_CASM3C_LDLR_down	BSK_CASM3C_LDLR_down	regulation of gene expression	LDL receptor	Toxcast
BSK_CASM3C_LDLR_up	BSK_CASM3C_LDLR_up	regulation of gene expression	LDL receptor	Toxcast
BSK_CASM3C_MCP1_down	BSK_CASM3C_MCP1_down	regulation of gene expression	chemotactic factor	Toxcast
BSK_CASM3C_MCP1_up	BSK_CASM3C_MCP1_up	regulation of gene expression	chemotactic factor	Toxcast
BSK_CASM3C_MCSF_down	BSK_CASM3C_MCSF_down	regulation of gene expression	colony stimulating factor	Toxcast
BSK_CASM3C_MCSF_up	BSK_CASM3C_MCSF_up	regulation of gene expression	colony stimulating factor	Toxcast
BSK_CASM3C_MIG_down	BSK_CASM3C_MIG_down	regulation of gene expression	chemotactic factor	Toxcast
BSK_CASM3C_MIG_up	BSK_CASM3C_MIG_up	regulation of gene expression	chemotactic factor	Toxcast
BSK_CASM3C_Proliferation_down	BSK_CASM3C_Proliferation_down	cell proliferation	cytotoxicity	Toxcast
BSK_CASM3C_Proliferation_up	BSK_CASM3C_Proliferation_up	cell proliferation	proliferation	Toxcast
BSK_CASM3C_SAA_down	BSK_CASM3C_SAA_down	regulation of gene expression	apolipoproteins	Toxcast
BSK_CASM3C_SAA_up	BSK_CASM3C_SAA_up	regulation of gene expression	apolipoproteins	Toxcast
BSK_CASM3C_SRB_down	BSK_CASM3C_SRB_down	cell death	cytotoxicity	Toxcast
BSK_CASM3C_SRB_up	BSK_CASM3C_SRB_up	cell death	cell conformation	Toxcast
BSK_CASM3C_Thrombomodulin_down	BSK_CASM3C_Thrombomodulin_down	regulation of gene expression	rhodopsin-like receptor	Toxcast
BSK_CASM3C_Thrombomodulin_up	BSK_CASM3C_Thrombomodulin_up	regulation of gene expression	rhodopsin-like receptor	Toxcast
BSK_CASM3C_TissueFactor_down	BSK_CASM3C_TissueFactor_down	regulation of gene expression	coagulation factor	Toxcast
BSK_CASM3C_TissueFactor_up	BSK_CASM3C_TissueFactor_up	regulation of gene expression	coagulation factor	Toxcast
BSK_CASM3C_uPAR_down	BSK_CASM3C_uPAR_down	regulation of gene expression	plasmogen activator	Toxcast
BSK_CASM3C_uPAR_up	BSK_CASM3C_uPAR_up	regulation of gene expression	plasmogen activator	Toxcast
BSK_CASM3C_VCAM1_down	BSK_CASM3C_VCAM1_down	regulation of gene expression	Immunoglobulin CAM	Toxcast
BSK_CASM3C_VCAM1_up	BSK_CASM3C_VCAM1_up	regulation of gene expression	Immunoglobulin CAM	Toxcast
BSK_hDFCGF_CollagenIII_down	BSK_hDFCGF_CollagenIII_down	regulation of gene expression	collagen	Toxcast
BSK_hDFCGF_CollagenIII_up	BSK_hDFCGF_CollagenIII_up	regulation of gene expression	collagen	Toxcast
BSK_hDFCGF_EGFR_down	BSK_hDFCGF_EGFR_down	regulation of gene expression	receptor tyrosine kinase	Toxcast
BSK_hDFCGF_EGFR_up	BSK_hDFCGF_EGFR_up	regulation of gene expression	receptor tyrosine kinase	Toxcast
BSK_hDFCGF_IL8_down	BSK_hDFCGF_IL8_down	regulation of gene expression	interleukins	Toxcast
BSK_hDFCGF_IL8_up	BSK_hDFCGF_IL8_up	regulation of gene expression	interleukins	Toxcast
BSK_hDFCGF_IP10_down	BSK_hDFCGF_IP10_down	regulation of gene expression	chemotactic factor	Toxcast
BSK_hDFCGF_IP10_up	BSK_hDFCGF_IP10_up	regulation of gene expression	chemotactic factor	Toxcast
BSK_hDFCGF_MCSF_down	BSK_hDFCGF_MCSF_down	regulation of gene expression	colony stimulating factor	Toxcast
BSK_hDFCGF_MCSF_up	BSK_hDFCGF_MCSF_up	regulation of gene expression	colony stimulating factor	Toxcast
BSK_hDFCGF_MIG_down	BSK_hDFCGF_MIG_down	regulation of gene expression	chemotactic factor	Toxcast
BSK_hDFCGF_MIG_up	BSK_hDFCGF_MIG_up	regulation of gene expression	chemotactic factor	Toxcast
BSK_hDFCGF_MMP1_down	BSK_hDFCGF_MMP1_down	regulation of gene expression	matrix metalloproteinase	Toxcast
BSK_hDFCGF_MMP1_up	BSK_hDFCGF_MMP1_up	regulation of gene expression	matrix metalloproteinase	Toxcast
